date,Albedo_original,Albedo_linear,Albedo_spline,station
2014-01-01,,0.6085207539646769,0.3906644732262951,Tanay
2014-01-02,,0.6085207539646769,0.39059226178970335,Tanay
2014-01-03,,0.6085207539646769,0.39052008633386964,Tanay
2014-01-04,,0.6085207539646769,0.39044794685879414,Tanay
2014-01-05,,0.6085207539646769,0.39037584336447656,Tanay
2014-01-06,0.6085207539646769,0.6085207539646769,0.6085207539646769,Tanay
2014-01-07,,0.5977085175856511,0.3902317443181157,Tanay
2014-01-08,,0.5868962812066254,0.39015974876607235,Tanay
2014-01-09,,0.5760840448275998,0.39008778919478715,Tanay
2014-01-10,,0.565271808448574,0.39001586560425994,Tanay
2014-01-11,,0.5544595720695483,0.3899439779944908,Tanay
2014-01-12,,0.5436473356905227,0.38987212636547974,Tanay
2014-01-13,,0.532835099311497,0.3898003107172267,Tanay
2014-01-14,,0.5220228629324712,0.3897285310497318,Tanay
2014-01-15,,0.5112106265534455,0.389656787362995,Tanay
2014-01-16,,0.5003983901744198,0.38958507965701616,Tanay
2014-01-17,,0.48958615379539416,0.38951340793179545,Tanay
2014-01-18,,0.47877391741636843,0.38944177218733284,Tanay
2014-01-19,,0.4679616810373427,0.3893701724236282,Tanay
2014-01-20,,0.45714944465831703,0.38929860864068166,Tanay
2014-01-21,,0.44633720827929135,0.38922708083849333,Tanay
2014-01-22,0.4355249719002656,0.4355249719002656,0.4355249719002656,Tanay
2014-01-23,,0.4178593748968503,0.3890841331763905,Tanay
2014-01-24,,0.400193777893435,0.38901271331647636,Tanay
2014-01-25,,0.3825281808900198,0.3889413294373201,Tanay
2014-01-26,,0.3648625838866045,0.388869981538922,Tanay
2014-01-27,,0.3471969868831892,0.38879866962128196,Tanay
2014-01-28,,0.32953138987977393,0.38872739368439996,Tanay
2014-01-29,,0.3118657928763586,0.388656153728276,Tanay
2014-01-30,,0.2942001958729433,0.38858494975291025,Tanay
2014-01-31,,0.276534598869528,0.3885137817583024,Tanay
2014-02-01,,0.2588690018661127,0.38844264974445264,Tanay
2014-02-02,,0.24120340486269748,0.38837155371136106,Tanay
2014-02-03,,0.22353780785928218,0.3883004936590274,Tanay
2014-02-04,,0.20587221085586688,0.3882294695874519,Tanay
2014-02-05,,0.1882066138524516,0.3881584814966345,Tanay
2014-02-06,,0.17054101684903633,0.3880875293865751,Tanay
2014-02-07,0.15287541984562106,0.15287541984562106,0.15287541984562106,Tanay
2014-02-08,,0.18761064585240617,0.3879457331087305,Tanay
2014-02-09,,0.2223458718591913,0.3878748889409454,Tanay
2014-02-10,,0.25708109786597644,0.3878040807539182,Tanay
2014-02-11,,0.2918163238727615,0.3877333085476492,Tanay
2014-02-12,,0.3265515498795466,0.3876625723221382,Tanay
2014-02-13,,0.36128677588633173,0.3875918720773852,Tanay
2014-02-14,,0.39602200189311687,0.3875212078133905,Tanay
2014-02-15,,0.430757227899902,0.38745057953015366,Tanay
2014-02-16,,0.46549245390668714,0.3873799872276749,Tanay
2014-02-17,,0.5002276799134722,0.3873094309059543,Tanay
2014-02-18,,0.5349629059202573,0.3872389105649917,Tanay
2014-02-19,,0.5696981319270424,0.38716842620478714,Tanay
2014-02-20,,0.6044333579338276,0.3870979778253407,Tanay
2014-02-21,,0.6391685839406127,0.3870275654266523,Tanay
2014-02-22,,0.6739038099473977,0.38695718900872195,Tanay
2014-02-23,0.7086390359541829,0.7086390359541829,0.7086390359541829,Tanay
2014-02-24,,0.7083712971859806,0.3868165441151356,Tanay
2014-02-25,,0.7081035584177782,0.38674627563947944,Tanay
2014-02-26,,0.7078358196495759,0.3866760431445815,Tanay
2014-02-27,,0.7075680808813736,0.38660584663044145,Tanay
2014-02-28,,0.7073003421131712,0.38653568609705946,Tanay
2014-03-01,,0.7070326033449689,0.38646556154443573,Tanay
2014-03-02,,0.7067648645767665,0.38639547297256993,Tanay
2014-03-03,,0.7064971258085642,0.38632542038146217,Tanay
2014-03-04,,0.7062293870403619,0.3862554037711126,Tanay
2014-03-05,,0.7059616482721595,0.386185423141521,Tanay
2014-03-06,,0.7056939095039572,0.3861154784926874,Tanay
2014-03-07,,0.7054261707357548,0.3860455698246121,Tanay
2014-03-08,,0.7051584319675525,0.3859756971372946,Tanay
2014-03-09,,0.7048906931993502,0.38590586043073527,Tanay
2014-03-10,,0.7046229544311478,0.3858360597049341,Tanay
2014-03-11,0.7043552156629455,0.7043552156629455,0.7043552156629455,Tanay
2014-03-12,,0.7060349585357614,0.3856965661956058,Tanay
2014-03-13,,0.7077147014085773,0.3856268734120788,Tanay
2014-03-14,,0.7093944442813932,0.3855572166093098,Tanay
2014-03-15,,0.7110741871542091,0.38548759578729885,Tanay
2014-03-16,,0.712753930027025,0.38541801094604605,Tanay
2014-03-17,,0.7144336728998409,0.38534846208555124,Tanay
2014-03-18,,0.7161134157726569,0.38527894920581446,Tanay
2014-03-19,,0.7177931586454727,0.38520947230683594,Tanay
2014-03-20,,0.7194729015182886,0.3851400313886153,Tanay
2014-03-21,,0.7211526443911045,0.38507062645115275,Tanay
2014-03-22,,0.7228323872639204,0.3850012574944484,Tanay
2014-03-23,,0.7245121301367363,0.384931924518502,Tanay
2014-03-24,,0.7261918730095522,0.3848626275233136,Tanay
2014-03-25,,0.7278716158823682,0.3847933665088835,Tanay
2014-03-26,,0.7295513587551841,0.38472414147521133,Tanay
2014-03-27,0.731231101628,0.731231101628,0.731231101628,Tanay
2014-03-28,,0.7230339750943577,0.3845857993501412,Tanay
2014-03-29,,0.7148368485607154,0.38451668225874314,Tanay
2014-03-30,,0.7066397220270731,0.3844476011481032,Tanay
2014-03-31,,0.6984425954934308,0.38437855601822146,Tanay
2014-04-01,,0.6902454689597886,0.3843095468690977,Tanay
2014-04-02,,0.6820483424261462,0.38424057370073184,Tanay
2014-04-03,,0.673851215892504,0.38417163651312436,Tanay
2014-04-04,,0.6656540893588616,0.3841027353062747,Tanay
2014-04-05,,0.6574569628252194,0.38403387008018314,Tanay
2014-04-06,,0.6492598362915771,0.3839650408348498,Tanay
2014-04-07,,0.6410627097579348,0.3838962475702744,Tanay
2014-04-08,,0.6328655832242925,0.3838274902864571,Tanay
2014-04-09,,0.6246684566906502,0.3837587689833979,Tanay
2014-04-10,,0.616471330157008,0.3836900836610967,Tanay
2014-04-11,,0.6082742036233657,0.38362143431955353,Tanay
2014-04-12,0.6000770770897234,0.6000770770897234,0.6000770770897234,Tanay
2014-04-13,,0.572620698974001,0.38348424357874156,Tanay
2014-04-14,,0.5451643208582786,0.38341570217947263,Tanay
2014-04-15,,0.5177079427425563,0.3833471967609618,Tanay
2014-04-16,,0.4902515646268339,0.3832787273232091,Tanay
2014-04-17,,0.4627951865111115,0.38321029386621436,Tanay
2014-04-18,,0.4353388083953892,0.38314189638997775,Tanay
2014-04-19,,0.4078824302796668,0.38307353489449913,Tanay
2014-04-20,,0.38042605216394443,0.3830052093797786,Tanay
2014-04-21,,0.3529696740482221,0.3829369198458162,Tanay
2014-04-22,,0.3255132959324997,0.38286866629261185,Tanay
2014-04-23,,0.29805691781677734,0.38280044872016555,Tanay
2014-04-24,,0.270600539701055,0.38273226712847735,Tanay
2014-04-25,,0.24314416158533264,0.38266412151754714,Tanay
2014-04-26,,0.21568778346961026,0.382596011887375,Tanay
2014-04-27,,0.18823140535388794,0.38252793823796105,Tanay
2014-04-28,0.16077502723816556,0.16077502723816556,0.16077502723816556,Tanay
2014-04-29,,0.16890285633964786,0.3823918988814072,Tanay
2014-04-30,,0.17703068544113013,0.3823239331742673,Tanay
2014-05-01,,0.18515851454261242,0.3822560034478855,Tanay
2014-05-02,,0.1932863436440947,0.3821881097022618,Tanay
2014-05-03,,0.201414172745577,0.38212025193739624,Tanay
2014-05-04,,0.2095420018470593,0.3820524301532886,Tanay
2014-05-05,,0.2176698309485416,0.38198464434993906,Tanay
2014-05-06,,0.22579766005002386,0.3819168945273477,Tanay
2014-05-07,,0.23392548915150613,0.3818491806855143,Tanay
2014-05-08,,0.24205331825298843,0.38178150282443896,Tanay
2014-05-09,,0.2501811473544707,0.3817138609441218,Tanay
2014-05-10,,0.258308976455953,0.3816462550445626,Tanay
2014-05-11,,0.2664368055574353,0.3815786851257615,Tanay
2014-05-12,,0.27456463465891756,0.38151115118771844,Tanay
2014-05-13,,0.28269246376039986,0.3814436532304335,Tanay
2014-05-14,0.29082029286188216,0.29082029286188216,0.29082029286188216,Tanay
