date,NDBI_original,NDBI_linear,NDBI_spline
2014-01-01,,-0.44790183007326684,-0.14974100408256907
2014-01-02,,-0.44790183007326684,-0.14993233393792513
2014-01-03,,-0.44790183007326684,-0.15012345686522657
2014-01-04,,-0.44790183007326684,-0.15031437296673159
2014-01-05,,-0.44790183007326684,-0.15050508234469864
2014-01-06,,-0.44790183007326684,-0.15069558510138598
2014-01-07,,-0.44790183007326684,-0.15088588133905192
2014-01-08,,-0.44790183007326684,-0.15107597115995494
2014-01-09,,-0.44790183007326684,-0.1512658546663532
2014-01-10,,-0.44790183007326684,-0.15145553196050526
2014-01-11,,-0.44790183007326684,-0.15164500314466928
2014-01-12,,-0.44790183007326684,-0.1518342683211036
2014-01-13,,-0.44790183007326684,-0.1520233275920667
2014-01-14,,-0.44790183007326684,-0.15221218105981688
2014-01-15,-0.44790183007326684,-0.44790183007326684,-0.44790183007326684
2014-01-16,,-0.4407847353176532,-0.15258927099471153
2014-01-17,,-0.43366764056203966,-0.15277750766637282
2014-01-18,,-0.42655054580642604,-0.15296553894385453
2014-01-19,,-0.4194334510508125,-0.15315336492941498
2014-01-20,,-0.41231635629519886,-0.1533409857253125
2014-01-21,,-0.4051992615395853,-0.15352840143380547
2014-01-22,,-0.3980821667839717,-0.15371561215715226
2014-01-23,,-0.39096507202835806,-0.1539026179976111
2014-01-24,,-0.3838479772727445,-0.15408941905744045
2014-01-25,,-0.37673088251713094,-0.15427601543889857
2014-01-26,,-0.3696137877615173,-0.1544624072442438
2014-01-27,,-0.3624966930059037,-0.15464859457573454
2014-01-28,,-0.35537959825029014,-0.15483457753562904
2014-01-29,,-0.3482625034946765,-0.15502035622618576
2014-01-30,,-0.34114540873906296,-0.155205930749663
2014-01-31,-0.33402831398344934,-0.33402831398344934,-0.33402831398344934
2014-02-01,,-0.3135808959029861,-0.15557646770441227
2014-02-02,,-0.2931334778225229,-0.1557614303402011
2014-02-03,,-0.2726860597420597,-0.1559461892179437
2014-02-04,,-0.2522386416615965,-0.15613074443989852
2014-02-05,,-0.23179122358113327,-0.15631509610832392
2014-02-06,,-0.21134380550067006,-0.1564992443254782
2014-02-07,,-0.19089638742020684,-0.1566831891936198
2014-02-08,,-0.17044896933974363,-0.15686693081500686
2014-02-09,-0.1500015512592804,-0.1500015512592804,-0.1500015512592804
2014-02-10,,-0.18949457232537467,-0.15723380472655113
2014-02-11,,-0.22898759339146896,-0.157416937221225
2014-02-12,,-0.2684806144575632,-0.1575998668781778
2014-02-13,,-0.3079736355236575,-0.15778259379966786
2014-02-14,,-0.34746665658975173,-0.15796511808795363
2014-02-15,,-0.38695967765584605,-0.1581474398452933
2014-02-16,-0.42645269872194025,-0.42645269872194025,-0.42645269872194025
2014-02-17,,-0.4164208408110187,-0.15851147617616787
2014-02-18,,-0.4063889829000972,-0.1586931909542195
2014-02-19,,-0.39635712498917564,-0.1588747036103584
2014-02-20,,-0.3863252670782541,-0.15905601424684296
2014-02-21,,-0.37629340916733256,-0.15923712296593165
2014-02-22,,-0.366261551256411,-0.15941802986988252
2014-02-23,,-0.35622969334548954,-0.15959873506095426
2014-02-24,,-0.346197835434568,-0.15977923864140492
2014-02-25,,-0.33616597752364646,-0.15995954071349297
2014-02-26,,-0.3261341196127249,-0.16013964137947675
2014-02-27,,-0.3161022617018034,-0.16031954074161459
2014-02-28,,-0.30607040379088185,-0.16049923890216483
2014-03-01,,-0.2960385458799603,-0.1606787359633858
2014-03-02,,-0.28600668796903883,-0.1608580320275359
2014-03-03,,-0.2759748300581173,-0.16103712719687338
2014-03-04,,-0.26594297214719576,-0.1612160215736566
2014-03-05,,-0.2559111142362742,-0.16139471526014393
2014-03-06,,-0.24587925632535265,-0.16157320835859376
2014-03-07,,-0.23584739841443114,-0.16175150097126434
2014-03-08,,-0.2258155405035096,-0.16192959320041406
2014-03-09,,-0.21578368259258807,-0.1621074851483012
2014-03-10,,-0.20575182468166653,-0.16228517691718425
2014-03-11,,-0.195719966770745,-0.16246266860932135
2014-03-12,,-0.18568810885982345,-0.16263996032697106
2014-03-13,-0.17565625094890192,-0.17565625094890192,-0.17565625094890192
2014-03-14,,-0.1882299162891945,-0.16299394424784114
2014-03-15,,-0.2008035816294871,-0.16317063665557832
2014-03-16,,-0.2133772469697797,-0.16334712949786134
2014-03-17,,-0.22595091231007228,-0.16352342287694857
2014-03-18,,-0.2385245776503649,-0.16369951689509832
2014-03-19,,-0.25109824299065747,-0.16387541165456898
2014-03-20,-0.26367190833095006,-0.26367190833095006,-0.26367190833095006
2014-03-21,,-0.14334389188395671,-0.1642266038065063
2014-03-22,,-0.023015875436963373,-0.16440190140348965
2014-03-23,,0.09731214101003,-0.16457700015082727
2014-03-24,,0.2176401574570233,-0.16475190015077745
2014-03-25,,0.3379681739040166,-0.1649266015055986
2014-03-26,,0.45829619035101005,-0.16510110431754893
2014-03-27,,0.5786242067980034,-0.16527540868888693
2014-03-28,,0.6989522232449967,-0.16544951472187092
2014-03-29,0.8192802396919899,0.8192802396919899,0.8192802396919899
2014-03-30,,0.6721065328431325,-0.16579713218181005
2014-03-31,,0.524932825994275,-0.1659706438132819
2014-04-01,,0.3777591191454176,-0.16614395751543304
2014-04-02,,0.23058541229656015,-0.16631707339052193
2014-04-03,,0.08341170544770271,-0.1664899915408067
2014-04-04,,-0.06376200140115473,-0.166662712068546
2014-04-05,-0.21093570825001215,-0.21093570825001215,-0.21093570825001215
2014-04-06,,-0.20814933725871032,-0.16700756066542072
2014-04-07,,-0.2053629662674085,-0.16717968893907292
2014-04-08,,-0.20257659527610666,-0.1673516199992129
2014-04-09,,-0.19979022428480486,-0.1675233539480989
2014-04-10,,-0.19700385329350303,-0.1676948908879893
2014-04-11,,-0.1942174823022012,-0.16786623092114245
2014-04-12,,-0.19143111131089938,-0.16803737414981668
2014-04-13,,-0.18864474031959755,-0.16820832067627026
2014-04-14,,-0.18585836932829572,-0.16837907060276164
2014-04-15,,-0.1830719983369939,-0.1685496240315491
2014-04-16,,-0.18028562734569206,-0.16871998106489106
2014-04-17,,-0.17749925635439023,-0.1688901418050457
2014-04-18,,-0.17471288536308843,-0.16906010635427154
2014-04-19,,-0.1719265143717866,-0.1692298748148268
2014-04-20,,-0.16914014338048478,-0.16939944728896986
2014-04-21,-0.16635377238918295,-0.16635377238918295,-0.16635377238918295
2014-04-22,,-0.16987630587858582,-0.16973800468705277
2014-04-23,,-0.17339883936798867,-0.1699069898155093
2014-04-24,,-0.17692137285739154,-0.17007577936658705
2014-04-25,,-0.18044390634679439,-0.17024437344254423
2014-04-26,,-0.18396643983619726,-0.17041277214563924
2014-04-27,,-0.1874889733256001,-0.1705809755781305
2014-04-28,,-0.19101150681500298,-0.17074898384227627
2014-04-29,,-0.19453404030440585,-0.17091679704033497
2014-04-30,,-0.1980565737938087,-0.17108441527456478
2014-05-01,,-0.20157910728321154,-0.17125183864722418
2014-05-02,,-0.20510164077261442,-0.1714190672605715
2014-05-03,,-0.2086241742620173,-0.1715861012168651
2014-05-04,,-0.21214670775142014,-0.1717529406183632
2014-05-05,,-0.215669241240823,-0.17191958556732428
2014-05-06,,-0.21919177473022589,-0.17208603616600657
2014-05-07,-0.22271430821962873,-0.22271430821962873,-0.22271430821962873
2014-05-08,,-0.1899689959559329,-0.17241835472156833
2014-05-09,,-0.15722368369223705,-0.17258422288296452
2014-05-10,,-0.12447837142854118,-0.1727498971031153
2014-05-11,,-0.09173305916484534,-0.17291537748427904
2014-05-12,,-0.058987746901149496,-0.17308066412871406
2014-05-13,,-0.026242434637453627,-0.1732457571386788
2014-05-14,,0.006502877626242215,-0.1734106566164315
2014-05-15,,0.03924818988993806,-0.17357536266423051
2014-05-16,0.07199350215363391,0.07199350215363391,0.07199350215363391
2014-05-17,,0.041967285496126785,-0.17390419487900097
2014-05-18,,0.011941068838619652,-0.17406832125048907
2014-05-19,,-0.01808514781888748,-0.17423225460105687
2014-05-20,,-0.04811136447639461,-0.17439599503296266
2014-05-21,,-0.07813758113390175,-0.17455954264846485
2014-05-22,,-0.10816379779140887,-0.17472289754982182
2014-05-23,-0.138190014448916,-0.138190014448916,-0.138190014448916
2014-05-24,,-0.12641756858937497,-0.17504902961913318
2014-05-25,,-0.11464512272983397,-0.1752118069916043
2014-05-26,,-0.10287267687029297,-0.17537439205896352
2014-05-27,,-0.09110023101075196,-0.1755367849234692
2014-05-28,,-0.07932778515121096,-0.1756989856873796
2014-05-29,,-0.06755533929166996,-0.17586099445295317
2014-05-30,,-0.055782893432128944,-0.1760228113224481
2014-05-31,,-0.044010447572587943,-0.17618443639812292
2014-06-01,-0.032238001713046936,-0.032238001713046936,-0.032238001713046936
2014-06-02,,-0.07848076847505717,-0.17650711157704524
2014-06-03,,-0.12472353523706739,-0.1766681618848094
2014-06-04,,-0.17096630199907764,-0.17682902080778679
2014-06-05,,-0.21720906876108786,-0.17698968844823565
2014-06-06,,-0.2634518355230981,-0.17715016490841434
2014-06-07,,-0.3096946022851083,-0.17731045029058123
2014-06-08,-0.35593736904711853,-0.35593736904711853,-0.35593736904711853
2014-06-09,,-0.3341509626177304,-0.17763044822991292
2014-06-10,,-0.31236455618834236,-0.17779016099159445
2014-06-11,,-0.29057814975895424,-0.17794968308429743
2014-06-12,,-0.2687917433295661,-0.17810901461028034
2014-06-13,,-0.247005336900178,-0.17826815567180146
2014-06-14,,-0.22521893047078992,-0.17842710637111928
2014-06-15,,-0.20343252404140183,-0.1785858668104918
2014-06-16,,-0.1816461176120137,-0.17874443709217772
2014-06-17,-0.1598597111826256,-0.1598597111826256,-0.1598597111826256
2014-06-18,,-0.1563138508434546,-0.1790610075915226
2014-06-19,,-0.15276799050428358,-0.17921900801369828
2014-06-20,,-0.14922213016511257,-0.17937681868722058
