date,NDVI_original,NDVI_linear,NDVI_spline
2014-01-01,0.6668000000000001,0.6668000000000001,0.6668000000000001
2014-01-02,0.1772,0.1772,0.1772
2014-01-03,0.41050000000000003,0.41050000000000003,0.41050000000000003
2014-01-04,0.7864,0.7864,0.7864
2014-01-05,0.789,0.789,0.789
2014-01-06,0.17,0.17,0.17
2014-01-07,0.11610000000000001,0.11610000000000001,0.11610000000000001
2014-01-08,0.7271000000000001,0.7271000000000001,0.7271000000000001
2014-01-09,0.6269,0.6269,0.6269
2014-01-10,0.7033,0.7033,0.7033
2014-01-11,0.7335,0.7335,0.7335
2014-01-12,0.0789,0.0789,0.0789
2014-01-13,0.0253,0.0253,0.0253
2014-01-14,0.0942,0.0942,0.0942
2014-01-15,0.5203,0.5203,0.5203
2014-01-16,0.6214000000000001,0.6214000000000001,0.6214000000000001
2014-01-17,0.137,0.137,0.137
2014-01-18,0.050300000000000004,0.050300000000000004,0.050300000000000004
2014-01-19,0.0356,0.0356,0.0356
2014-01-20,0.676,0.676,0.676
2014-01-21,0.028300000000000002,0.028300000000000002,0.028300000000000002
2014-01-22,0.2152,0.2152,0.2152
2014-01-23,0.19870000000000002,0.19870000000000002,0.19870000000000002
2014-01-24,0.3724,0.3724,0.3724
2014-01-25,0.745,0.745,0.745
2014-01-26,0.21880000000000002,0.21880000000000002,0.21880000000000002
2014-01-27,0.3194,0.3194,0.3194
2014-01-28,0.4207,0.4207,0.4207
2014-01-29,0.4015,0.4015,0.4015
2014-01-30,0.1787,0.1787,0.1787
2014-01-31,0.0608,0.0608,0.0608
2014-02-01,0.3315,0.3315,0.3315
2014-02-02,0.3829,0.3829,0.3829
2014-02-03,0.7191000000000001,0.7191000000000001,0.7191000000000001
2014-02-04,0.29300000000000004,0.29300000000000004,0.29300000000000004
2014-02-05,0.1199,0.1199,0.1199
2014-02-06,0.30510000000000004,0.30510000000000004,0.30510000000000004
2014-02-07,0.7003,0.7003,0.7003
2014-02-08,0.3365,0.3365,0.3365
2014-02-09,0.2019,0.2019,0.2019
2014-02-10,0.4111,0.4111,0.4111
2014-02-11,0.0592,0.0592,0.0592
2014-02-12,0.31170000000000003,0.31170000000000003,0.31170000000000003
2014-02-13,0.5764,0.5764,0.5764
2014-02-14,0.3569,0.3569,0.3569
2014-02-15,0.33440000000000003,0.33440000000000003,0.33440000000000003
2014-02-16,0.0099,0.0099,0.0099
2014-02-17,0.1842,0.1842,0.1842
2014-02-18,0.37820000000000004,0.37820000000000004,0.37820000000000004
2014-02-19,0.12340000000000001,0.12340000000000001,0.12340000000000001
2014-02-20,0.4076,0.4076,0.4076
2014-02-21,0.4112,0.4112,0.4112
2014-02-22,0.2228,0.2228,0.2228
2014-02-23,0.1029,0.1029,0.1029
2014-02-24,0.5007,0.5007,0.5007
2014-02-25,0.6143000000000001,0.6143000000000001,0.6143000000000001
2014-02-26,0.1078,0.1078,0.1078
2014-02-27,0.5421,0.5421,0.5421
2014-02-28,0.5385,0.5385,0.5385
2014-03-01,0.6864,0.6864,0.6864
2014-03-02,0.2863,0.2863,0.2863
2014-03-03,0.3649,0.3649,0.3649
2014-03-04,0.1469,0.1469,0.1469
2014-03-05,0.38220000000000004,0.38220000000000004,0.38220000000000004
2014-03-06,0.5797,0.5797,0.5797
2014-03-07,0.2316,0.2316,0.2316
2014-03-08,0.234,0.234,0.234
2014-03-09,0.6504,0.6504,0.6504
2014-03-10,0.016,0.016,0.016
2014-03-11,0.0568,0.0568,0.0568
2014-03-12,0.2831,0.2831,0.2831
2014-03-13,0.1376,0.1376,0.1376
2014-03-14,0.5588000000000001,0.5588000000000001,0.5588000000000001
2014-03-15,0.3209,0.3209,0.3209
2014-03-16,0.5393,0.5393,0.5393
2014-03-17,,0.4504,0.29105189114200336
2014-03-18,0.36150000000000004,0.36150000000000004,0.36150000000000004
2014-03-19,0.49360000000000004,0.49360000000000004,0.49360000000000004
2014-03-20,0.5415,0.5415,0.5415
2014-03-21,0.08660000000000001,0.08660000000000001,0.08660000000000001
2014-03-22,0.14650000000000002,0.14650000000000002,0.14650000000000002
2014-03-23,0.2311,0.2311,0.2311
2014-03-24,-0.0167,-0.0167,-0.0167
2014-03-25,0.2607,0.2607,0.2607
2014-03-26,0.6342,0.6342,0.6342
2014-03-27,0.3138,0.3138,0.3138
2014-03-28,0.5786,0.5786,0.5786
2014-03-29,0.1169,0.1169,0.1169
2014-03-30,0.6494,0.6494,0.6494
2014-03-31,0.24830000000000002,0.24830000000000002,0.24830000000000002
2014-04-01,0.2848,0.2848,0.2848
2014-04-02,0.1303,0.1303,0.1303
2014-04-03,0.2641,0.2641,0.2641
2014-04-04,0.066,0.066,0.066
2014-04-05,0.0791,0.0791,0.0791
2014-04-06,0.2403,0.2403,0.2403
2014-04-07,0.43510000000000004,0.43510000000000004,0.43510000000000004
2014-04-08,0.0061,0.0061,0.0061
2014-04-09,0.6284000000000001,0.6284000000000001,0.6284000000000001
2014-04-10,0.6504,0.6504,0.6504
2014-04-11,0.4938,0.4938,0.4938
2014-04-12,0.168,0.168,0.168
2014-04-13,0.3312,0.3312,0.3312
2014-04-14,0.49470000000000003,0.49470000000000003,0.49470000000000003
2014-04-15,0.1526,0.1526,0.1526
2014-04-16,0.1758,0.1758,0.1758
2014-04-17,0.0244,0.0244,0.0244
2014-04-18,0.3007,0.3007,0.3007
2014-04-19,0.0051,0.0051,0.0051
2014-04-20,0.27,0.27,0.27
2014-04-21,0.2626,0.2626,0.2626
2014-04-22,0.5425,0.5425,0.5425
2014-04-23,0.6127,0.6127,0.6127
2014-04-24,0.0071,0.0071,0.0071
2014-04-25,0.6756,0.6756,0.6756
2014-04-26,0.1638,0.1638,0.1638
2014-04-27,0.0334,0.0334,0.0334
2014-04-28,0.27240000000000003,0.27240000000000003,0.27240000000000003
2014-04-29,0.19140000000000001,0.19140000000000001,0.19140000000000001
2014-04-30,0.6463,0.6463,0.6463
2014-05-01,0.5992000000000001,0.5992000000000001,0.5992000000000001
2014-05-02,0.0284,0.0284,0.0284
2014-05-03,0.0756,0.0756,0.0756
2014-05-04,0.13820000000000002,0.13820000000000002,0.13820000000000002
2014-05-05,0.21780000000000002,0.21780000000000002,0.21780000000000002
2014-05-06,0.113,0.113,0.113
2014-05-07,0.032,0.032,0.032
2014-05-08,0.0273,0.0273,0.0273
2014-05-09,0.1326,0.1326,0.1326
2014-05-10,0.027,0.027,0.027
2014-05-11,0.153,0.153,0.153
2014-05-12,0.03307500000000001,0.03307500000000001,0.03307500000000001
2014-05-13,0.35660000000000003,0.35660000000000003,0.35660000000000003
2014-05-14,0.1295,0.1295,0.1295
2014-05-15,0.2204,0.2204,0.2204
2014-05-16,0.453,0.453,0.453
2014-05-17,0.0145,0.0145,0.0145
2014-05-18,0.0876,0.0876,0.0876
2014-05-19,0.34990000000000004,0.34990000000000004,0.34990000000000004
2014-05-20,0.4529,0.4529,0.4529
2014-05-21,0.0497,0.0497,0.0497
2014-05-22,0.7023,0.7023,0.7023
2014-05-23,0.059300000000000005,0.059300000000000005,0.059300000000000005
2014-05-24,0.1744,0.1744,0.1744
2014-05-25,-0.0034000000000000002,-0.0034000000000000002,-0.0034000000000000002
2014-05-26,0.109,0.109,0.109
2014-05-27,0.0256,0.0256,0.0256
2014-05-28,-0.007500000000000001,-0.007500000000000001,-0.007500000000000001
2014-05-29,-0.0078000000000000005,-0.0078000000000000005,-0.0078000000000000005
2014-05-30,0.1228,0.1228,0.1228
2014-05-31,-0.0134,-0.0134,-0.0134
2014-06-01,0.2421,0.2421,0.2421
2014-06-02,0.7284,0.7284,0.7284
2014-06-03,,0.6213,0.2901122206992198
2014-06-04,0.5142,0.5142,0.5142
2014-06-05,-0.0151,-0.0151,-0.0151
2014-06-06,0.6616000000000001,0.6616000000000001,0.6616000000000001
2014-06-07,-0.0044,-0.0044,-0.0044
2014-06-08,0.024200000000000003,0.024200000000000003,0.024200000000000003
2014-06-09,-0.011000000000000001,-0.011000000000000001,-0.011000000000000001
2014-06-10,0.025400000000000002,0.025400000000000002,0.025400000000000002
2014-06-11,0.2099,0.2099,0.2099
2014-06-12,0.1018,0.1018,0.1018
2014-06-13,0.1268,0.1268,0.1268
2014-06-14,0.1534,0.1534,0.1534
2014-06-15,0.6351,0.6351,0.6351
2014-06-16,0.509,0.509,0.509
2014-06-17,0.2943,0.2943,0.2943
2014-06-18,0.0328,0.0328,0.0328
2014-06-19,0.6062000000000001,0.6062000000000001,0.6062000000000001
2014-06-20,0.1579,0.1579,0.1579
2014-06-21,0.7738,0.7738,0.7738
2014-06-22,0.6668000000000001,0.6668000000000001,0.6668000000000001
2014-06-23,0.3231,0.3231,0.3231
2014-06-24,0.8300000000000001,0.8300000000000001,0.8300000000000001
2014-06-25,0.0361,0.0361,0.0361
2014-06-26,0.0004,0.0004,0.0004
2014-06-27,0.1178,0.1178,0.1178
2014-06-28,0.8370000000000001,0.8370000000000001,0.8370000000000001
2014-06-29,0.11460000000000001,0.11460000000000001,0.11460000000000001
2014-06-30,0.6817000000000001,0.6817000000000001,0.6817000000000001
2014-07-01,0.08850000000000001,0.08850000000000001,0.08850000000000001
2014-07-02,0.2454,0.2454,0.2454
2014-07-03,0.0137,0.0137,0.0137
2014-07-04,0.049300000000000004,0.049300000000000004,0.049300000000000004
2014-07-05,0.09580000000000001,0.09580000000000001,0.09580000000000001
2014-07-06,0.07390000000000001,0.07390000000000001,0.07390000000000001
2014-07-07,-0.0009000000000000001,-0.0009000000000000001,-0.0009000000000000001
2014-07-08,0.0256,0.0256,0.0256
2014-07-09,0.0199,0.0199,0.0199
2014-07-10,0.7201000000000001,0.7201000000000001,0.7201000000000001
2014-07-11,0.0723,0.0723,0.0723
2014-07-12,0.5167,0.5167,0.5167
2014-07-13,0.4902,0.4902,0.4902
2014-07-14,0.4818,0.4818,0.4818
2014-07-15,-0.019075,-0.019075,-0.019075
2014-07-16,0.016,0.016,0.016
2014-07-17,0.0548,0.0548,0.0548
2014-07-18,0.028300000000000002,0.028300000000000002,0.028300000000000002
2014-07-19,0.0013000000000000002,0.0013000000000000002,0.0013000000000000002
