date,NDVI_original,NDVI_linear,NDVI_spline
2014-01-01,0.8272,0.8272,0.8272
2014-01-02,0.39130000000000004,0.39130000000000004,0.39130000000000004
2014-01-03,0.7754000000000001,0.7754000000000001,0.7754000000000001
2014-01-04,0.8325,0.8325,0.8325
2014-01-05,0.7989,0.7989,0.7989
2014-01-06,0.0027,0.0027,0.0027
2014-01-07,,0.02935,0.37226309489267073
2014-01-08,0.056,0.056,0.056
2014-01-09,0.31880000000000003,0.31880000000000003,0.31880000000000003
2014-01-10,-0.0033,-0.0033,-0.0033
2014-01-11,0.0044,0.0044,0.0044
2014-01-12,0.013800000000000002,0.013800000000000002,0.013800000000000002
2014-01-13,-0.009000000000000001,-0.009000000000000001,-0.009000000000000001
2014-01-14,0.0626,0.0626,0.0626
2014-01-15,0.0956,0.0956,0.0956
2014-01-16,0.0371,0.0371,0.0371
2014-01-17,0.0654,0.0654,0.0654
2014-01-18,0.0177,0.0177,0.0177
2014-01-19,0.0166,0.0166,0.0166
2014-01-20,0.1279,0.1279,0.1279
2014-01-21,0.08510000000000001,0.08510000000000001,0.08510000000000001
2014-01-22,0.2793,0.2793,0.2793
2014-01-23,0.011600000000000001,0.011600000000000001,0.011600000000000001
2014-01-24,0.17470000000000002,0.17470000000000002,0.17470000000000002
2014-01-25,0.1179,0.1179,0.1179
2014-01-26,0.7478,0.7478,0.7478
2014-01-27,0.7552,0.7552,0.7552
2014-01-28,0.7891,0.7891,0.7891
2014-01-29,-0.0005,-0.0005,-0.0005
2014-01-30,,0.3664,0.37135716725592854
2014-01-31,0.7333000000000001,0.7333000000000001,0.7333000000000001
2014-02-01,0.0035,0.0035,0.0035
2014-02-02,0.17450000000000002,0.17450000000000002,0.17450000000000002
2014-02-03,0.7411,0.7411,0.7411
2014-02-04,0.6203000000000001,0.6203000000000001,0.6203000000000001
2014-02-05,0.0737,0.0737,0.0737
2014-02-06,0.3778,0.3778,0.3778
2014-02-07,0.8275,0.8275,0.8275
2014-02-08,,0.63695,0.37100513133044255
2014-02-09,0.4464,0.4464,0.4464
2014-02-10,0.7599,0.7599,0.7599
2014-02-11,0.11800000000000001,0.11800000000000001,0.11800000000000001
2014-02-12,0.0058000000000000005,0.0058000000000000005,0.0058000000000000005
2014-02-13,0.6084,0.6084,0.6084
2014-02-14,0.6064,0.6064,0.6064
2014-02-15,0.09680000000000001,0.09680000000000001,0.09680000000000001
2014-02-16,0.0055000000000000005,0.0055000000000000005,0.0055000000000000005
2014-02-17,0.0143,0.0143,0.0143
2014-02-18,0.6174000000000001,0.6174000000000001,0.6174000000000001
2014-02-19,0.4686,0.4686,0.4686
2014-02-20,0.6851,0.6851,0.6851
2014-02-21,0.2831,0.2831,0.2831
2014-02-22,0.5865,0.5865,0.5865
2014-02-23,0.1283,0.1283,0.1283
2014-02-24,0.802,0.802,0.802
2014-02-25,0.0171,0.0171,0.0171
2014-02-26,0.056400000000000006,0.056400000000000006,0.056400000000000006
2014-02-27,0.1537,0.1537,0.1537
2014-02-28,0.597,0.597,0.597
2014-03-01,0.7392000000000001,0.7392000000000001,0.7392000000000001
2014-03-02,0.7516,0.7516,0.7516
2014-03-03,,0.50305,0.37011176423692305
2014-03-04,0.2545,0.2545,0.2545
2014-03-05,0.5285000000000001,0.5285000000000001,0.5285000000000001
2014-03-06,0.6929000000000001,0.6929000000000001,0.6929000000000001
2014-03-07,0.0016,0.0016,0.0016
2014-03-08,0.4345,0.4345,0.4345
2014-03-09,0.7092,0.7092,0.7092
2014-03-10,0.0043,0.0043,0.0043
2014-03-11,-0.0043,-0.0043,-0.0043
2014-03-12,0.0219,0.0219,0.0219
2014-03-13,0.7214,0.7214,0.7214
2014-03-14,0.6418,0.6418,0.6418
2014-03-15,0.0115,0.0115,0.0115
2014-03-16,0.0979,0.0979,0.0979
2014-03-17,,0.26185,0.36957239565376804
2014-03-18,0.4258,0.4258,0.4258
2014-03-19,0.618,0.618,0.618
2014-03-20,0.7806000000000001,0.7806000000000001,0.7806000000000001
2014-03-21,,0.39375000000000004,0.36941890471869193
2014-03-22,0.006900000000000001,0.006900000000000001,0.006900000000000001
2014-03-23,-0.004200000000000001,-0.004200000000000001,-0.004200000000000001
2014-03-24,-0.0094,-0.0094,-0.0094
2014-03-25,-0.0262,-0.0262,-0.0262
2014-03-26,0.372,0.372,0.372
2014-03-27,0.07490000000000001,0.07490000000000001,0.07490000000000001
2014-03-28,0.0497,0.0497,0.0497
2014-03-29,,0.4231500000000001,0.36911274201440214
2014-03-30,0.7966000000000001,0.7966000000000001,0.7966000000000001
2014-03-31,0.065,0.065,0.065
2014-04-01,0.6956,0.6956,0.6956
2014-04-02,0.28750000000000003,0.28750000000000003,0.28750000000000003
2014-04-03,0.48410000000000003,0.48410000000000003,0.48410000000000003
2014-04-04,0.6206,0.6206,0.6206
2014-04-05,0.7362000000000001,0.7362000000000001,0.7362000000000001
2014-04-06,0.0385,0.0385,0.0385
2014-04-07,0.056100000000000004,0.056100000000000004,0.056100000000000004
2014-04-08,0.1342,0.1342,0.1342
