date,NDVI_original,NDVI_linear,NDVI_spline
2014-01-01,0.4969,0.4969,0.4969
2014-01-02,0.5476,0.5476,0.5476
2014-01-03,0.46990000000000004,0.46990000000000004,0.46990000000000004
2014-01-04,0.5201,0.5201,0.5201
2014-01-05,0.5019,0.5019,0.5019
2014-01-06,0.551,0.551,0.551
2014-01-07,0.5039,0.5039,0.5039
2014-01-08,0.4758,0.4758,0.4758
2014-01-09,0.4224,0.4224,0.4224
2014-01-10,0.2131,0.2131,0.2131
2014-01-11,0.2126,0.2126,0.2126
2014-01-12,0.4531,0.4531,0.4531
2014-01-13,0.4806,0.4806,0.4806
2014-01-14,0.0429,0.0429,0.0429
2014-01-15,0.1778,0.1778,0.1778
2014-01-16,0.09720000000000001,0.09720000000000001,0.09720000000000001
2014-01-17,0.3763,0.3763,0.3763
2014-01-18,0.1736,0.1736,0.1736
2014-01-19,0.5426,0.5426,0.5426
2014-01-20,0.5406000000000001,0.5406000000000001,0.5406000000000001
2014-01-21,0.0574,0.0574,0.0574
2014-01-22,0.3247,0.3247,0.3247
2014-01-23,0.5808,0.5808,0.5808
2014-01-24,0.5768,0.5768,0.5768
2014-01-25,0.5449,0.5449,0.5449
2014-01-26,0.504,0.504,0.504
2014-01-27,0.5334,0.5334,0.5334
2014-01-28,0.5542,0.5542,0.5542
2014-01-29,0.5459,0.5459,0.5459
2014-01-30,0.5229,0.5229,0.5229
2014-01-31,0.5511,0.5511,0.5511
2014-02-01,0.2144,0.2144,0.2144
2014-02-02,0.53,0.53,0.53
2014-02-03,0.5338,0.5338,0.5338
2014-02-04,0.5748,0.5748,0.5748
2014-02-05,0.545,0.545,0.545
2014-02-06,0.5069,0.5069,0.5069
2014-02-07,0.5402,0.5402,0.5402
2014-02-08,0.446,0.446,0.446
2014-02-09,0.3189727272727273,0.3189727272727273,0.3189727272727273
2014-02-10,0.49360000000000004,0.49360000000000004,0.49360000000000004
2014-02-11,0.4791,0.4791,0.4791
2014-02-12,0.5251,0.5251,0.5251
2014-02-13,0.511,0.511,0.511
2014-02-14,0.5127,0.5127,0.5127
2014-02-15,0.5082,0.5082,0.5082
2014-02-16,0.4716,0.4716,0.4716
2014-02-17,0.4585,0.4585,0.4585
2014-02-18,0.537,0.537,0.537
2014-02-19,0.45330000000000004,0.45330000000000004,0.45330000000000004
2014-02-20,0.49100000000000005,0.49100000000000005,0.49100000000000005
2014-02-21,0.5162,0.5162,0.5162
2014-02-22,0.4772,0.4772,0.4772
2014-02-23,0.4587,0.4587,0.4587
2014-02-24,0.3815,0.3815,0.3815
2014-02-25,0.49200000000000005,0.49200000000000005,0.49200000000000005
2014-02-26,0.19140000000000001,0.19140000000000001,0.19140000000000001
2014-02-27,0.381,0.381,0.381
2014-02-28,0.4783,0.4783,0.4783
2014-03-01,0.5348,0.5348,0.5348
2014-03-02,0.3285727272727273,0.3285727272727273,0.3285727272727273
2014-03-03,0.3866,0.3866,0.3866
2014-03-04,0.4393,0.4393,0.4393
2014-03-05,0.45220000000000005,0.45220000000000005,0.45220000000000005
2014-03-06,0.4753,0.4753,0.4753
2014-03-07,0.2964,0.2964,0.2964
2014-03-08,0.4712,0.4712,0.4712
2014-03-09,0.3951,0.3951,0.3951
2014-03-10,0.3982,0.3982,0.3982
2014-03-11,0.028300000000000002,0.028300000000000002,0.028300000000000002
2014-03-12,0.052000000000000005,0.052000000000000005,0.052000000000000005
2014-03-13,0.39440000000000003,0.39440000000000003,0.39440000000000003
