date,NDWI_original,NDWI_linear,NDWI_spline
2014-01-01,,-0.5514489633892801,-0.41157312106352106
2014-01-02,,-0.5514489633892801,-0.4114149554512347
2014-01-03,,-0.5514489633892801,-0.4112569587066528
2014-01-04,,-0.5514489633892801,-0.41109913075061827
2014-01-05,,-0.5514489633892801,-0.41094147150397503
2014-01-06,-0.5514489633892801,-0.5514489633892801,-0.5514489633892801
2014-01-07,,-0.5436001201290128,-0.41062665882223637
2014-01-08,,-0.5357512768687456,-0.4104695052288279
2014-01-09,,-0.5279024336084783,-0.4103125200281846
2014-01-10,,-0.5200535903482111,-0.4101557031411502
2014-01-11,,-0.512204747087944,-0.409999054488568
2014-01-12,,-0.5043559038276767,-0.4098425739912817
2014-01-13,,-0.49650706056740945,-0.40968626157013466
2014-01-14,,-0.4886582173071422,-0.4095301171459702
2014-01-15,,-0.48080937404687496,-0.40937414063963234
2014-01-16,,-0.4729605307866077,-0.40921833197196417
2014-01-17,,-0.4651116875263405,-0.4090626910638093
2014-01-18,,-0.4572628442660733,-0.40890721783601136
2014-01-19,,-0.44941400100580603,-0.40875191220941376
2014-01-20,,-0.44156515774553884,-0.4085967741048599
2014-01-21,,-0.4337163144852716,-0.4084418034431935
2014-01-22,-0.42586747122500435,-0.42586747122500435,-0.42586747122500435
2014-01-23,,-0.4404053045912423,-0.40813236413189663
2014-01-24,,-0.45494313795748015,-0.4079778953239534
2014-01-25,,-0.4694809713237181,-0.40782359364227155
2014-01-26,,-0.484018804689956,-0.4076694590076944
2014-01-27,,-0.4985566380561939,-0.4075154913410659
2014-01-28,,-0.5130944714224318,-0.4073616905632292
2014-01-29,-0.5276323047886697,-0.5276323047886697,-0.5276323047886697
2014-01-30,,-0.52540372893343,-0.40705458935730565
2014-01-31,,-0.5231751530781903,-0.4069012887709058
2014-02-01,,-0.5209465772229506,-0.40674815475667186
2014-02-02,,-0.5187180013677108,-0.4065951872354475
2014-02-03,,-0.5164894255124712,-0.40644238612807604
2014-02-04,,-0.5142608496572315,-0.4062897513554009
2014-02-05,,-0.5120322738019918,-0.40613728283826606
2014-02-06,,-0.5098036979467521,-0.4059849804975144
2014-02-07,-0.5075751220915123,-0.5075751220915123,-0.5075751220915123
2014-02-08,,-0.5063938678339243,-0.405680874028536
2014-02-09,,-0.5052126135763362,-0.405529069741996
2014-02-10,,-0.5040313593187481,-0.40537743131521353
2014-02-11,,-0.5028501050611601,-0.40522595866903216
2014-02-12,,-0.501668850803572,-0.4050746517242953
2014-02-13,,-0.500487596545984,-0.40492351040184654
2014-02-14,-0.4993063422883959,-0.4993063422883959,-0.4993063422883959
2014-02-15,,-0.4996979979673547,-0.40462172430718707
2014-02-16,,-0.5000896536463135,-0.4044710793766635
2014-02-17,,-0.5004813093252723,-0.40432059975180207
2014-02-18,,-0.5008729650042312,-0.4041702853534461
2014-02-19,,-0.5012646206831901,-0.40402013610243936
2014-02-20,,-0.5016562763621489,-0.40387015191962516
2014-02-21,,-0.5020479320411078,-0.40372033272584706
2014-02-22,,-0.5024395877200666,-0.40357067844194877
2014-02-23,-0.5028312433990254,-0.5028312433990254,-0.5028312433990254
2014-02-24,,-0.4998737117880026,-0.40327186428716477
2014-02-25,,-0.4969161801769798,-0.4031227042579663
2014-02-26,,-0.493958648565957,-0.4029737088220215
2014-02-27,,-0.49100111695493415,-0.4028248779001738
2014-02-28,,-0.48804358534391135,-0.402676211413267
2014-03-01,,-0.48508605373288854,-0.4025277092821441
2014-03-02,-0.48212852212186574,-0.48212852212186574,-0.48212852212186574
2014-03-03,,-0.4803876085657611,-0.40223119777062527
2014-03-04,,-0.47864669500965645,-0.4020831882319161
2014-03-05,,-0.47690578145355184,-0.40193534273236525
2014-03-06,,-0.47516486789744716,-0.40178766119281595
2014-03-07,,-0.47342395434134255,-0.40164014353411215
2014-03-08,,-0.4716830407852379,-0.4014927896770969
2014-03-09,,-0.46994212722913326,-0.40134559954261406
2014-03-10,,-0.4682012136730286,-0.40119857305150675
2014-03-11,-0.46646030011692396,-0.46646030011692396,-0.46646030011692396
2014-03-12,,-0.4610368685658369,-0.4009050106827939
2014-03-13,,-0.45561343701474993,-0.4007584746468749
2014-03-14,,-0.4501900054636629,-0.4006121019377059
2014-03-15,,-0.44476657391257585,-0.4004658924761303
2014-03-16,,-0.4393431423614888,-0.4003198461829914
2014-03-17,,-0.4339197108104018,-0.4001739629791329
2014-03-18,-0.42849627925931477,-0.42849627925931477,-0.42849627925931477
2014-03-19,,-0.432974110499899,-0.3998826855226309
2014-03-20,,-0.4374519417404832,-0.3997372911116743
2014-03-21,,-0.4419297729810674,-0.399592059473372
2014-03-22,,-0.4464076042216516,-0.3994469905285678
2014-03-23,,-0.4508854354622358,-0.3993020841981049
2014-03-24,,-0.45536326670282,-0.3991573404028268
2014-03-25,,-0.4598410979434042,-0.3990127590635772
2014-03-26,,-0.4643189291839884,-0.3988683401011995
2014-03-27,-0.46879676042457263,-0.46879676042457263,-0.46879676042457263
2014-03-28,,-0.42324171835658386,-0.39857998899043373
2014-03-29,,-0.3776866762885951,-0.3984360566837328
2014-03-30,,-0.3321316342206063,-0.39829228643727765
2014-03-31,,-0.28657659215261755,-0.3981486781719121
2014-04-01,,-0.2410215500846288,-0.3980052318084794
2014-04-02,,-0.19546650801664006,-0.39786194726782326
2014-04-03,-0.1499114659486513,-0.1499114659486513,-0.1499114659486513
2014-04-04,,-0.13388350956955236,-0.3975758633382143
2014-04-05,,-0.11785555319045345,-0.39743306379094856
2014-04-06,,-0.10182759681135453,-0.39729042574983336
2014-04-07,,-0.0857996404322556,-0.3971479491357121
2014-04-08,,-0.06977168405315667,-0.39700563386942844
2014-04-09,,-0.05374372767405776,-0.39686347987182563
2014-04-10,,-0.037715771294958844,-0.39672148706374755
2014-04-11,,-0.021687814915859915,-0.39657965536603723
2014-04-12,-0.0056598585367610005,-0.0056598585367610005,-0.0056598585367610005
2014-04-13,,-0.042031216145859,-0.39629647498509524
2014-04-14,,-0.078402573754957,-0.3961551261435502
2014-04-15,,-0.114773931364055,-0.39601393809574725
2014-04-16,,-0.151145288973153,-0.39587291076252995
2014-04-17,,-0.18751664658225098,-0.3957320440647418
2014-04-18,,-0.22388800419134902,-0.3955913379232261
2014-04-19,-0.260259361800447,-0.260259361800447,-0.260259361800447
2014-04-20,,-0.27795730664194696,-0.3953104069923866
2014-04-21,,-0.2956552514834469,-0.39517018204474985
