date,NDWI_original,NDWI_linear,NDWI_spline
2014-01-01,,-0.26058488447200256,-0.21034879974616882
2014-01-02,,-0.26058488447200256,-0.21038415210282574
2014-01-03,,-0.26058488447200256,-0.21041948021114099
2014-01-04,,-0.26058488447200256,-0.2104547840816355
2014-01-05,,-0.26058488447200256,-0.21049006372483064
2014-01-06,-0.26058488447200256,-0.26058488447200256,-0.26058488447200256
2014-01-07,,-0.25874766651039527,-0.2105605503714074
2014-01-08,,-0.2569104485487879,-0.21059575739583122
2014-01-09,,-0.2550732305871806,-0.21063094023504023
2014-01-10,,-0.2532360126255733,-0.21066609889955568
2014-01-11,,-0.251398794663966,-0.21070123339989857
2014-01-12,,-0.24956157670235868,-0.21073634374659028
2014-01-13,,-0.24772435874075138,-0.21077142995015172
2014-01-14,,-0.24588714077914406,-0.2108064920211041
2014-01-15,,-0.24404992281753674,-0.21084152996996874
2014-01-16,,-0.24221270485592944,-0.21087654380726667
2014-01-17,,-0.24037548689432212,-0.21091153354351902
2014-01-18,,-0.2385382689327148,-0.21094649918924704
2014-01-19,,-0.2367010509711075,-0.21098144075497183
2014-01-20,,-0.23486383300950017,-0.21101635825121454
2014-01-21,,-0.23302661504789288,-0.21105125168849634
2014-01-22,-0.23118939708628555,-0.23118939708628555,-0.23118939708628555
2014-01-23,,-0.231466732675329,-0.21112096642826192
2014-01-24,,-0.2317440682643724,-0.211155787751788
2014-01-25,,-0.23202140385341585,-0.21119058505843785
2014-01-26,,-0.2322987394424593,-0.21122535835873243
2014-01-27,,-0.23257607503150274,-0.2112601076631932
2014-01-28,,-0.23285341062054615,-0.2112948329823411
2014-01-29,-0.2331307462095896,-0.2331307462095896,-0.2331307462095896
2014-01-30,,-0.24462663607096463,-0.2113642117067832
2014-01-31,,-0.25612252593233964,-0.21139886513311976
2014-02-01,,-0.2676184157937147,-0.21143349461622804
2014-02-02,,-0.2791143056550897,-0.21146810016662937
2014-02-03,,-0.2906101955164647,-0.21150268179484483
2014-02-04,,-0.3021060853778398,-0.21153723951139555
2014-02-05,,-0.3136019752392148,-0.21157177332680277
2014-02-06,,-0.3250978651005898,-0.21160628325158762
2014-02-07,-0.33659375496196486,-0.33659375496196486,-0.33659375496196486
2014-02-08,,-0.2935788729328139,-0.2116752314713748
2014-02-09,,-0.2505639909036629,-0.21170966978741945
2014-02-10,,-0.20754910887451192,-0.21174408425492636
2014-02-11,,-0.16453422684536093,-0.21177847488441673
2014-02-12,,-0.12151934481620993,-0.2118128416864116
2014-02-13,,-0.07850446278705897,-0.21184718467143218
2014-02-14,-0.03548958075790795,-0.03548958075790795,-0.03548958075790795
2014-02-15,,-0.05039628692332706,-0.2119157992326352
2014-02-16,,-0.06530299308874617,-0.21195007082985992
2014-02-17,,-0.08020969925416527,-0.21198431865219503
2014-02-18,,-0.09511640541958438,-0.21201854271016163
2014-02-19,,-0.11002311158500348,-0.2120527430142809
2014-02-20,,-0.12492981775042258,-0.21208691957507397
2014-02-21,,-0.1398365239158417,-0.21212107240306202
2014-02-22,,-0.15474323008126079,-0.2121552015087663
2014-02-23,-0.1696499362466799,-0.1696499362466799,-0.1696499362466799
2014-02-24,,-0.1507371913954287,-0.2122233885954078
2014-02-25,,-0.13182444654417752,-0.21225744659738735
2014-02-26,,-0.11291170169292634,-0.21229148091916777
2014-02-27,,-0.09399895684167515,-0.21232549157127004
2014-02-28,,-0.07508621199042396,-0.2123594785642155
2014-03-01,,-0.05617346713917279,-0.2123934419085251
2014-03-02,-0.03726072228792159,-0.03726072228792159,-0.03726072228792159
2014-03-03,,-0.059717381655469186,-0.21246129769332178
2014-03-04,,-0.08217404102301679,-0.21249519015485108
2014-03-05,,-0.10463070039056438,-0.21252905900982932
2014-03-06,,-0.12708735975811197,-0.21256290426877752
2014-03-07,,-0.14954401912565957,-0.212596725942217
2014-03-08,,-0.17200067849320716,-0.2126305240406688
2014-03-09,,-0.19445733786075475,-0.2126642985746541
2014-03-10,,-0.21691399722830235,-0.21269804955469404
2014-03-11,-0.23937065659584994,-0.23937065659584994,-0.23937065659584994
2014-03-12,,-0.22312342502883667,-0.21276548089502262
2014-03-13,,-0.2068761934618234,-0.21279916127635348
2014-03-14,,-0.19062896189481016,-0.2128328181458237
2014-03-15,,-0.17438173032779686,-0.2128664515139544
2014-03-16,,-0.15813449876078362,-0.21290006139126663
2014-03-17,,-0.14188726719377034,-0.21293364778828172
2014-03-18,-0.12564003562675707,-0.12564003562675707,-0.12564003562675707
2014-03-19,,-0.14705897906213294,-0.21300075018350478
2014-03-20,,-0.16847792249750884,-0.21303426620275506
2014-03-21,,-0.18989686593288474,-0.21306775878379272
2014-03-22,,-0.2113158093682606,-0.21310122793713898
2014-03-23,,-0.23273475280363648,-0.21313467367331498
2014-03-24,,-0.2541536962390124,-0.21316809600284178
2014-03-25,,-0.2755726396743883,-0.21320149493624072
2014-03-26,,-0.29699158310976415,-0.21323487048403275
2014-03-27,-0.31841052654514,-0.31841052654514,-0.31841052654514
2014-03-28,,-0.2920172622085057,-0.21330155146488108
2014-03-29,,-0.26562399787187146,-0.21333485691897972
2014-03-30,,-0.23923073353523716,-0.21336813902955604
2014-03-31,,-0.21283746919860286,-0.21340139780713144
2014-04-01,,-0.18644420486196858,-0.21343463326222695
2014-04-02,,-0.1600509405253343,-0.21346784540536376
2014-04-03,-0.1336576761887,-0.1336576761887,-0.1336576761887
2014-04-04,,-0.1499467123266627,-0.21353419979784588
2014-04-05,,-0.1662357484646254,-0.21356734206823352
2014-04-06,,-0.18252478460258814,-0.21360046106874706
2014-04-07,,-0.19881382074055082,-0.2136335568099077
2014-04-08,,-0.21510285687851355,-0.21366662930223657
2014-04-09,,-0.23139189301647625,-0.21369967855625485
