date,NDBI_original,NDBI_linear,NDBI_spline
2014-01-01,,-0.024532655505054145,-0.03730501926539021
2014-01-02,,-0.024532655505054145,-0.037259768340416444
2014-01-03,,-0.024532655505054145,-0.03721455994692958
2014-01-04,,-0.024532655505054145,-0.03716939407131696
2014-01-05,,-0.024532655505054145,-0.037124270699965954
2014-01-06,-0.024532655505054145,-0.024532655505054145,-0.024532655505054145
2014-01-07,,-0.02494895348903908,-0.037034151415598335
2014-01-08,,-0.025365251473024014,-0.03698915547535646
2014-01-09,,-0.025781549457008952,-0.03694420198492572
2014-01-10,,-0.026197847440993887,-0.03689929093069346
2014-01-11,,-0.026614145424978822,-0.03685442229904708
2014-01-12,,-0.02703044340896376,-0.036809596076373935
2014-01-13,,-0.027446741392948695,-0.036764812249061425
2014-01-14,,-0.02786303937693363,-0.0367200708034969
2014-01-15,,-0.028279337360918564,-0.03667537172606774
2014-01-16,,-0.0286956353449035,-0.03663071500316132
2014-01-17,,-0.029111933328888437,-0.03658610062116502
2014-01-18,,-0.02952823131287337,-0.03654152856646621
2014-01-19,,-0.029944529296858306,-0.036496998825452244
2014-01-20,,-0.030360827280843244,-0.03645251138451053
2014-01-21,,-0.03077712526482818,-0.03640806623002842
2014-01-22,-0.031193423248813114,-0.031193423248813114,-0.031193423248813114
2014-01-23,,-0.013910246211554914,-0.03631930272599254
2014-01-24,,0.0033729308257032867,-0.036274984349213515
2014-01-25,,0.020656107862961487,-0.036230708204443594
2014-01-26,,0.03793928490021969,-0.036186474278070146
2014-01-27,,0.055222461937477894,-0.036142282556480554
2014-01-28,,0.07250563897473608,-0.03609813302606219
2014-01-29,,0.08978881601199429,-0.03605402567320244
2014-01-30,,0.1070719930492525,-0.03600996048428866
2014-01-31,,0.1243551700865107,-0.03596593744570822
2014-02-01,,0.1416383471237689,-0.03592195654384853
2014-02-02,,0.1589215241610271,-0.035878017765096915
2014-02-03,,0.1762047011982853,-0.035834121095840776
2014-02-04,,0.1934878782355435,-0.03579026652246749
2014-02-05,,0.21077105527280168,-0.03574645403136442
