date,NDWI_original,NDWI_linear,NDWI_spline
2024-01-01,,-0.09779284231078461,-0.17738814450445278
2024-01-02,-0.09779284231078461,-0.09779284231078461,-0.09779284231078461
2024-01-03,,-0.13258428288739119,-0.1783299263640753
2024-01-04,,-0.16737572346399776,-0.17879102206241476
2024-01-05,,-0.2021671640406043,-0.17924563038550756
2024-01-06,,-0.23695860461721088,-0.17969378341765452
2024-01-07,-0.27175004519381746,-0.27175004519381746,-0.27175004519381746
2024-01-08,,-0.2812153107103246,-0.18057085194631475
2024-01-09,,-0.29068057622683163,-0.18099983161142982
2024-01-10,-0.30014584174333875,-0.30014584174333875,-0.30014584174333875
2024-01-11,,-0.14964602380168146,-0.1818388421647342
2024-01-12,0.0008537941399758153,0.0008537941399758153,0.0008537941399758153
2024-01-13,,-0.04110574713462434,-0.18265280157747701
2024-01-14,,-0.08306528840922449,-0.1830504673168901
2024-01-15,,-0.1250248296838246,-0.1834419665240654
2024-01-16,,-0.16698437095842478,-0.18382733128330395
2024-01-17,-0.20894391223302494,-0.20894391223302494,-0.20894391223302494
2024-01-18,-0.2199923248428278,-0.2199923248428278,-0.2199923248428278
2024-01-19,,-0.20053511489650838,-0.18494693971640766
2024-01-20,,-0.181077904950189,-0.1853080875269079
2024-01-21,,-0.1616206950038696,-0.18566326131097585
2024-01-22,-0.1421634850575502,-0.1421634850575502,-0.1421634850575502
2024-01-23,,-0.1462701526221472,-0.1863558151370183
2024-01-24,,-0.1503768201867442,-0.18669325934759462
2024-01-25,,-0.15448348775134121,-0.18702485786894227
2024-01-26,-0.15859015531593823,-0.15859015531593823,-0.15859015531593823
2024-01-27,-0.0034247128563417556,-0.0034247128563417556,-0.0034247128563417556
2024-01-28,,-0.053127661942505504,-0.18798490014062166
2024-01-29,,-0.10283061102866925,-0.18829343674806326
2024-01-30,,-0.152533560114833,-0.18859628808778067
2024-01-31,,-0.20223650920099673,-0.18889348624407465
2024-02-01,-0.25193945828716047,-0.25193945828716047,-0.25193945828716047
2024-02-02,,-0.24897682438788482,-0.18947105134359626
2024-02-03,-0.24601419048860915,-0.24601419048860915,-0.24601419048860915
