date,Albedo_original,Albedo_linear,Albedo_spline,station
2014-01-01,,0.1219814120038252,0.262087394458096,Baguio
2014-01-02,,0.1219814120038252,0.26211458094121864,Baguio
2014-01-03,,0.1219814120038252,0.262141753570612,Baguio
2014-01-04,,0.1219814120038252,0.26216891234627615,Baguio
2014-01-05,,0.1219814120038252,0.26219605726821116,Baguio
2014-01-06,0.1219814120038252,0.1219814120038252,0.1219814120038252,Baguio
2014-01-07,,0.12401626601903655,0.2622503055508934,Baguio
2014-01-08,,0.1260511200342479,0.2622774089116407,Baguio
2014-01-09,,0.12808597404945926,0.2623044984186588,Baguio
2014-01-10,,0.13012082806467062,0.2623315740719476,Baguio
2014-01-11,,0.13215568207988196,0.26235863587150726,Baguio
2014-01-12,,0.13419053609509332,0.26238568381733757,Baguio
2014-01-13,,0.13622539011030468,0.2624127179094387,Baguio
2014-01-14,,0.13826024412551602,0.26243973814781074,Baguio
2014-01-15,,0.14029509814072738,0.26246674453245344,Baguio
2014-01-16,,0.14232995215593874,0.26249373706336687,Baguio
2014-01-17,,0.1443648061711501,0.26252071574055114,Baguio
2014-01-18,,0.14639966018636144,0.2625476805640062,Baguio
2014-01-19,,0.1484345142015728,0.26257463153373195,Baguio
2014-01-20,,0.15046936821678417,0.2626015686497286,Baguio
2014-01-21,,0.1525042222319955,0.26262849191199583,Baguio
2014-01-22,0.15453907624720686,0.15453907624720686,0.15453907624720686,Baguio
2014-01-23,,0.14867110047685103,0.26268229687534295,Baguio
2014-01-24,,0.1428031247064952,0.26270917857642256,Baguio
2014-01-25,,0.13693514893613937,0.26273604642377296,Baguio
2014-01-26,,0.13106717316578353,0.2627629004173942,Baguio
2014-01-27,,0.1251991973954277,0.2627897405572862,Baguio
2014-01-28,,0.11933122162507188,0.262816566843449,Baguio
2014-01-29,0.11346324585471605,0.11346324585471605,0.11346324585471605,Baguio
2014-01-30,,0.11454417325288499,0.2628701778545869,Baguio
2014-01-31,,0.11562510065105391,0.26289696257956197,Baguio
2014-02-01,,0.11670602804922285,0.2629237334508079,Baguio
2014-02-02,,0.11778695544739178,0.26295049046832447,Baguio
2014-02-03,,0.11886788284556071,0.2629772336321119,Baguio
2014-02-04,,0.11994881024372964,0.26300396294217,Baguio
2014-02-05,,0.12102973764189857,0.263030678398499,Baguio
2014-02-06,,0.12211066504006751,0.2630573800010987,Baguio
2014-02-07,0.12319159243823644,0.12319159243823644,0.12319159243823644,Baguio
2014-02-08,,0.1214072499434643,0.2631107416451105,Baguio
2014-02-09,,0.11962290744869217,0.26313740168652255,Baguio
2014-02-10,,0.11783856495392003,0.2631640478742054,Baguio
2014-02-11,,0.1160542224591479,0.263190680208159,Baguio
2014-02-12,,0.11426987996437576,0.2632172986883833,Baguio
2014-02-13,,0.11248553746960363,0.26324390331487846,Baguio
2014-02-14,0.1107011949748315,0.1107011949748315,0.1107011949748315,Baguio
2014-02-15,,0.11397847365381383,0.26329707100668104,Baguio
2014-02-16,,0.11725575233279617,0.2633236340719885,Baguio
2014-02-17,,0.1205330310117785,0.2633501832835668,Baguio
2014-02-18,,0.12381030969076083,0.2633767186414157,Baguio
2014-02-19,,0.12708758836974315,0.26340324014553557,Baguio
2014-02-20,,0.1303648670487255,0.2634297477959261,Baguio
2014-02-21,,0.13364214572770783,0.26345624159258746,Baguio
2014-02-22,,0.13691942440669017,0.2634827215355195,Baguio
2014-02-23,0.1401967030856725,0.1401967030856725,0.1401967030856725,Baguio
2014-02-24,,0.13784182716455004,0.263535639860196,Baguio
2014-02-25,,0.1354869512434276,0.2635620782419405,Baguio
2014-02-26,,0.13313207532230514,0.26358850276995566,Baguio
2014-02-27,,0.1307771994011827,0.26361491344424165,Baguio
2014-02-28,,0.12842232348006025,0.26364131026479837,Baguio
2014-03-01,,0.12606744755893778,0.263667693231626,Baguio
2014-03-02,0.12371257163781535,0.12371257163781535,0.12371257163781535,Baguio
2014-03-03,,0.12524670034401336,0.2637204176040933,Baguio
2014-03-04,,0.12678082905021135,0.2637467590097331,Baguio
2014-03-05,,0.12831495775640936,0.2637730865616437,Baguio
2014-03-06,,0.12984908646260734,0.2637994002598252,Baguio
2014-03-07,,0.13138321516880536,0.2638257001042773,Baguio
2014-03-08,,0.13291734387500334,0.26385198609500027,Baguio
2014-03-09,,0.13445147258120135,0.26387825823199396,Baguio
2014-03-10,,0.13598560128739934,0.2639045165152584,Baguio
2014-03-11,0.13751972999359735,0.13751972999359735,0.13751972999359735,Baguio
2014-03-12,,0.13903069914849323,0.2639569915205997,Baguio
2014-03-13,,0.14054166830338913,0.2639832082426765,Baguio
2014-03-14,,0.142052637458285,0.2640094111110241,Baguio
2014-03-15,,0.14356360661318088,0.2640356001256424,Baguio
2014-03-16,,0.14507457576807675,0.26406177528653163,Baguio
2014-03-17,,0.14658554492297265,0.2640879365936915,Baguio
2014-03-18,0.14809651407786853,0.14809651407786853,0.14809651407786853,Baguio
2014-03-19,,0.15453033549023945,0.26414021764682355,Baguio
2014-03-20,,0.16096415690261037,0.2641663373927959,Baguio
2014-03-21,,0.1673979783149813,0.2641924432850388,Baguio
2014-03-22,,0.1738317997273522,0.2642185353235526,Baguio
2014-03-23,,0.1802656211397231,0.2642446135083371,Baguio
2014-03-24,,0.18669944255209403,0.26427067783939245,Baguio
2014-03-25,,0.19313326396446495,0.2642967283167186,Baguio
2014-03-26,,0.19956708537683587,0.2643227649403154,Baguio
2014-03-27,0.2060009067892068,0.2060009067892068,0.2060009067892068,Baguio
2014-03-28,,0.2221068248400475,0.26437479662632146,Baguio
2014-03-29,,0.23821274289088823,0.2644007916887307,Baguio
2014-03-30,,0.25431866094172895,0.26442677289741057,Baguio
2014-03-31,,0.27042457899256966,0.2644527402523613,Baguio
2014-04-01,,0.2865304970434104,0.2644786937535828,Baguio
2014-04-02,,0.30263641509425115,0.26450463340107516,Baguio
2014-04-03,0.31874233314509187,0.31874233314509187,0.31874233314509187,Baguio
2014-04-04,,0.3367295299559323,0.264556471134872,Baguio
2014-04-05,,0.35471672676677274,0.2645823692211766,Baguio
2014-04-06,,0.37270392357761317,0.264608253453752,Baguio
2014-04-07,,0.3906911203884536,0.2646341238325981,Baguio
2014-04-08,,0.40867831719929404,0.26465998035771504,Baguio
2014-04-09,,0.4266655140101345,0.26468582302910276,Baguio
2014-04-10,,0.4446527108209749,0.2647116518467612,Baguio
2014-04-11,,0.46263990763181534,0.26473746681069044,Baguio
2014-04-12,0.4806271044426558,0.4806271044426558,0.4806271044426558,Baguio
2014-04-13,,0.4667224561062139,0.26478905517736123,Baguio
2014-04-14,,0.452817807769772,0.2648148285801028,Baguio
2014-04-15,,0.4389131594333301,0.2648405881291152,Baguio
2014-04-16,,0.42500851109688814,0.2648663338243982,Baguio
2014-04-17,,0.41110386276044625,0.26489206566595214,Baguio
2014-04-18,,0.39719921442400435,0.2649177836537768,Baguio
2014-04-19,0.38329456608756246,0.38329456608756246,0.38329456608756246,Baguio
2014-04-20,,0.3634267524347558,0.26496917806823844,Baguio
2014-04-21,,0.3435589387819491,0.26499485449487536,Baguio
2014-04-22,,0.32369112512914244,0.2650205170677832,Baguio
2014-04-23,,0.30382331147633573,0.2650461657869616,Baguio
2014-04-24,,0.2839554978235291,0.265071800652411,Baguio
2014-04-25,,0.26408768417072237,0.265097421664131,Baguio
2014-04-26,,0.24421987051791572,0.2651230288221219,Baguio
2014-04-27,,0.22435205686510903,0.26514862212638346,Baguio
2014-04-28,0.20448424321230235,0.20448424321230235,0.20448424321230235,Baguio
2014-04-29,,0.19635851210140276,0.26519976717371907,Baguio
2014-04-30,,0.1882327809905032,0.265225318916793,Baguio
2014-05-01,,0.1801070498796036,0.26525085680613775,Baguio
2014-05-02,,0.171981318768704,0.2652763808417532,Baguio
2014-05-03,,0.16385558765780445,0.26530189102363944,Baguio
2014-05-04,,0.15572985654690485,0.26532738735179645,Baguio
2014-05-05,0.14760412543600526,0.14760412543600526,0.14760412543600526,Baguio
2014-05-06,,0.1615039500493196,0.2653783384469229,Baguio
2014-05-07,,0.17540377466263396,0.2654037932138923,Baguio
2014-05-08,,0.1893035992759483,0.26542923412713243,Baguio
2014-05-09,,0.20320342388926266,0.2654546611866433,Baguio
2014-05-10,,0.217103248502577,0.26548007439242494,Baguio
2014-05-11,,0.23100307311589136,0.26550547374447736,Baguio
2014-05-12,,0.2449028977292057,0.2655308592428006,Baguio
2014-05-13,,0.25880272234252005,0.26555623088739466,Baguio
2014-05-14,0.2727025469558344,0.2727025469558344,0.2727025469558344,Baguio
2014-05-15,,0.2601286167700956,0.265606932615395,Baguio
2014-05-16,,0.24755468658435678,0.26563226269880125,Baguio
