date,NDBI_original,NDBI_linear,NDBI_spline
2024-01-01,,-0.17539442273835432,-0.15476256623098456
2024-01-02,-0.17539442273835432,-0.17539442273835432,-0.17539442273835432
2024-01-03,,-0.17118251298067605,-0.1522984941783977
2024-01-04,,-0.1669706032229978,-0.1511055283421185
2024-01-05,-0.16275869346531954,-0.16275869346531954,-0.16275869346531954
2024-01-06,,-0.16625888854849702,-0.14879694148367187
2024-01-07,-0.1697590836316745,-0.1697590836316745,-0.1697590836316745
2024-01-08,,-0.15745998744716483,-0.1465904202894857
2024-01-09,-0.14516089126265513,-0.14516089126265513,-0.14516089126265513
2024-01-10,-0.1301666973590629,-0.1301666973590629,-0.1301666973590629
2024-01-11,,-0.1485751398320244,-0.14346922713798682
2024-01-12,-0.1669835823049859,-0.1669835823049859,-0.1669835823049859
2024-01-13,,-0.16623051267282105,-0.14151230114303576
2024-01-14,,-0.16547744304065617,-0.14057052163782482
2024-01-15,-0.16472437340849133,-0.16472437340849133,-0.16472437340849133
2024-01-16,,-0.1707199070694093,-0.1387595340460154
2024-01-17,-0.17671544073032724,-0.17671544073032724,-0.17671544073032724
2024-01-18,-0.1807299219541338,-0.1807299219541338,-0.1807299219541338
2024-01-19,,-0.1689413026360314,-0.13622209450708297
2024-01-20,-0.15715268331792903,-0.15715268331792903,-0.15715268331792903
2024-01-21,,-0.15725542878706128,-0.13464797305984383
2024-01-22,-0.15735817425619353,-0.15735817425619353,-0.15735817425619353
2024-01-23,,-0.15527392144851035,-0.1331663704858664
2024-01-24,,-0.1531896686408272,-0.13245986599339257
2024-01-25,-0.15110541583314402,-0.15110541583314402,-0.15110541583314402
2024-01-26,-0.16113975434705047,-0.16113975434705047,-0.16113975434705047
2024-01-27,-0.1523621427867847,-0.1523621427867847,-0.1523621427867847
2024-01-28,,-0.1591799268268264,-0.12985878067931922
2024-01-29,,-0.1659977108668681,-0.12926394694883978
2024-01-30,-0.1728154949069098,-0.1728154949069098,-0.1728154949069098
