date,NDBaI_original,NDBaI_linear,NDBaI_spline
2024-01-01,,-0.34403296729856786,-0.2568463264273986
2024-01-02,,-0.34403296729856786,-0.2542668831148253
2024-01-03,,-0.34403296729856786,-0.25169700884448293
2024-01-04,,-0.34403296729856786,-0.2491367511207159
2024-01-05,,-0.34403296729856786,-0.24658615744786838
2024-01-06,,-0.34403296729856786,-0.24404527533028472
2024-01-07,,-0.34403296729856786,-0.24151415227230946
2024-01-08,,-0.34403296729856786,-0.23899283577828678
2024-01-09,,-0.34403296729856786,-0.23648137335256111
2024-01-10,-0.34403296729856786,-0.34403296729856786,-0.34403296729856786
2024-01-11,,-0.3379363948637991,-0.23148820072337822
2024-01-12,,-0.3318398224290303,-0.22900658552860978
2024-01-13,,-0.3257432499942615,-0.22653501441951576
2024-01-14,,-0.3196466775594928,-0.22407353490044055
2024-01-15,,-0.31355010512472403,-0.22162219447572845
2024-01-16,,-0.30745353268995523,-0.21918104064972385
2024-01-17,,-0.30135696025518643,-0.2167501209267712
2024-01-18,,-0.2952603878204177,-0.21432948281121472
2024-01-19,,-0.28916381538564895,-0.21191917380739886
2024-01-20,,-0.28306724295088015,-0.2095192414196679
2024-01-21,,-0.27697067051611135,-0.20712973315236624
2024-01-22,,-0.2708740980813426,-0.20475069650983832
2024-01-23,,-0.26477752564657386,-0.20238217899642835
2024-01-24,,-0.25868095321180506,-0.2000242281164808
2024-01-25,,-0.25258438077703627,-0.1976768913743399
2024-01-26,-0.24648780834226752,-0.24648780834226752,-0.24648780834226752
2024-01-27,,-0.21162714956380385,-0.19301425032085587
2024-01-28,,-0.17676649078534015,-0.19069904101820137
2024-01-29,,-0.14190583200687645,-0.18839463587073105
2024-01-30,,-0.10704517322841278,-0.18610108238278925
2024-01-31,,-0.07218451444994911,-0.18381842805872028
2024-02-01,,-0.03732385567148541,-0.18154672040286857
2024-02-02,,-0.002463196893021713,-0.1792860069195785
2024-02-03,0.03239746188544196,0.03239746188544196,0.03239746188544196
2024-02-04,,0.007406856803357224,-0.17479775248806048
2024-02-05,,-0.01758374827872751,-0.1725703065485213
2024-02-06,,-0.04257435336081225,-0.1703540447989211
2024-02-07,,-0.06756495844289698,-0.16814901474360436
2024-02-08,,-0.0925555635249817,-0.1659552638869153
2024-02-09,,-0.11754616860706646,-0.1637728397331984
2024-02-10,,-0.14253677368915119,-0.16160178978679787
2024-02-11,-0.1675273787712359,-0.1675273787712359,-0.1675273787712359
2024-02-12,,-0.16723921761785737,-0.15729400253332373
2024-02-13,,-0.1669510564644788,-0.15515736023493878
2024-02-14,,-0.16666289531110023,-0.1530322821612477
2024-02-15,,-0.1663747341577217,-0.15091881581659486
2024-02-16,,-0.16608657300434315,-0.1488170087053246
2024-02-17,,-0.16579841185096458,-0.1467269083317813
2024-02-18,,-0.16551025069758601,-0.14464856220030936
2024-02-19,-0.16522208954420747,-0.16522208954420747,-0.16522208954420747
2024-02-20,,-0.16075109363859974,-0.14052732268095683
2024-02-21,,-0.156280097732992,-0.13848452430176497
2024-02-22,,-0.15180910182738427,-0.13645367018202184
2024-02-23,,-0.14733810592177654,-0.13443480782607184
2024-02-24,,-0.1428671100161688,-0.13242798473825929
2024-02-25,,-0.13839611411056107,-0.13043324842292855
2024-02-26,,-0.13392511820495334,-0.12845064638442397
2024-02-27,,-0.1294541222993456,-0.12648022612708995
2024-02-28,,-0.12498312639373788,-0.12452203515527083
2024-02-29,,-0.12051213048813014,-0.12257612097331093
2024-03-01,,-0.11604113458252241,-0.12064253108555473
2024-03-02,,-0.11157013867691466,-0.1187213129963464
2024-03-03,,-0.10709914277130693,-0.11681251421003043
2024-03-04,,-0.1026281468656992,-0.11491618223095112
2024-03-05,,-0.09815715096009146,-0.11303236456345289
2024-03-06,-0.09368615505448373,-0.09368615505448373,-0.09368615505448373
2024-03-07,,-0.08132912830330943,-0.10930246218057686
2024-03-08,,-0.06897210155213512,-0.1074564724738879
2024-03-09,,-0.05661507480096082,-0.10562318709615738
2024-03-10,,-0.044258048049786516,-0.10380265355172968
2024-03-11,,-0.03190102129861221,-0.10199491934494916
2024-03-12,,-0.01954399454743791,-0.1002000319801602
2024-03-13,,-0.007186967796263613,-0.09841803896170713
2024-03-14,,0.005170058954910697,-0.09664898779393433
2024-03-15,,0.017527085706085008,-0.09489292598118614
2024-03-16,,0.029884112457259304,-0.09314990102780686
2024-03-17,,0.0422411392084336,-0.09141996043814098
2024-03-18,,0.05459816595960791,-0.08970315171653279
2024-03-19,,0.06695519271078222,-0.08799952236732667
2024-03-20,,0.0793122194619565,-0.08630911989486688
2024-03-21,,0.09166924621313081,-0.08463199180349787
2024-03-22,0.10402627296430514,0.10402627296430514,0.10402627296430514
2024-03-23,,0.0865876983801711,-0.0813177487814096
2024-03-24,,0.06914912379603705,-0.07968072885937906
2024-03-25,,0.051710549211903004,-0.07805717333581669
2024-03-26,,0.03427197462776896,-0.07644712971506687
2024-03-27,,0.016833400043634913,-0.07485064550147395
2024-03-28,,-0.0006051745404991316,-0.07326776819938231
2024-03-29,,-0.018043749124633177,-0.07169854531313628
2024-03-30,-0.03548232370876723,-0.03548232370876723,-0.03548232370876723
2024-03-31,,-0.05609995209924877,-0.06860125280555852
2024-04-01,,-0.0767175804897303,-0.06707327819291552
2024-04-02,,-0.09733520888021185,-0.06555914801349556
2024-04-03,,-0.11795283727069339,-0.06405890977164301
2024-04-04,,-0.13857046566117492,-0.06257261097170225
2024-04-05,,-0.15918809405165646,-0.06110029911801758
2024-04-06,,-0.179805722442138,-0.059642021714933414
2024-04-07,-0.20042335083261953,-0.20042335083261953,-0.20042335083261953
2024-04-08,,-0.18668679761120935,-0.05676776027794397
2024-04-09,,-0.17295024438979917,-0.055351871252727405
2024-04-10,,-0.159213691168389,-0.05395020669548876
2024-04-11,,-0.1454771379469788,-0.052562814110572384
2024-04-12,,-0.13174058472556863,-0.05118974100232262
2024-04-13,,-0.11800403150415845,-0.04983103487508387
2024-04-14,,-0.10426747828274827,-0.04848674323320047
2024-04-15,-0.09053092506133809,-0.09053092506133809,-0.09053092506133809
2024-04-16,,-0.09785085795894954,-0.04584159342287708
2024-04-17,,-0.105170790856561,-0.04454083026312584
2024-04-18,,-0.11249072375417246,-0.04325467160610738
2024-04-19,,-0.11981065665178392,-0.04198316495616605
2024-04-20,,-0.12713058954939538,-0.040726357817646205
2024-04-21,,-0.13445052244700684,-0.03948429769489224
2024-04-22,,-0.1417704553446183,-0.038257032092248455
2024-04-23,-0.14909038824222975,-0.14909038824222975,-0.14909038824222975
