date,NDWI_original,NDWI_linear,NDWI_spline
1/1/2014,,-0.326768904,-0.296824628
1/2/2014,,-0.326768904,-0.296869591
1/3/2014,,-0.326768904,-0.296914509
1/4/2014,,-0.326768904,-0.296959382
1/5/2014,,-0.326768904,-0.29700421
1/6/2014,-0.326768904,-0.326768904,-0.326768904
1/7/2014,,-0.327295013,-0.29709373
1/8/2014,,-0.327821123,-0.297138422
1/9/2014,,-0.328347232,-0.29718307
1/10/2014,,-0.328873342,-0.297227672
1/11/2014,,-0.329399452,-0.297272229
1/12/2014,,-0.329925561,-0.297316741
1/13/2014,,-0.330451671,-0.297361209
1/14/2014,,-0.330977781,-0.297405631
1/15/2014,,-0.33150389,-0.297450008
1/16/2014,,-0.33203,-0.297494341
1/17/2014,,-0.332556109,-0.297538628
1/18/2014,,-0.333082219,-0.297582871
1/19/2014,,-0.333608329,-0.297627069
1/20/2014,,-0.334134438,-0.297671222
1/21/2014,,-0.334660548,-0.29771533
1/22/2014,-0.335186657,-0.335186657,-0.335186657
1/23/2014,,-0.337656724,-0.297803412
1/24/2014,,-0.340126791,-0.297847386
1/25/2014,,-0.342596858,-0.297891316
1/26/2014,,-0.345066925,-0.2979352
1/27/2014,,-0.347536992,-0.29797904
1/28/2014,,-0.350007059,-0.298022835
1/29/2014,,-0.352477126,-0.298066586
1/30/2014,,-0.354947193,-0.298110292
1/31/2014,,-0.35741726,-0.298153954
2/1/2014,,-0.359887327,-0.298197571
2/2/2014,,-0.362357394,-0.298241143
2/3/2014,,-0.364827461,-0.298284672
2/4/2014,,-0.367297528,-0.298328155
2/5/2014,,-0.369767595,-0.298371594
2/6/2014,,-0.372237662,-0.298414989
2/7/2014,-0.374707729,-0.374707729,-0.374707729
2/8/2014,,-0.358095805,-0.298501645
2/9/2014,,-0.34148388,-0.298544907
2/10/2014,,-0.324871956,-0.298588124
2/11/2014,,-0.308260032,-0.298631297
2/12/2014,,-0.291648107,-0.298674426
2/13/2014,,-0.275036183,-0.29871751
2/14/2014,,-0.258424259,-0.29876055
2/15/2014,,-0.241812334,-0.298803546
2/16/2014,,-0.22520041,-0.298846498
2/17/2014,,-0.208588486,-0.298889406
2/18/2014,,-0.191976562,-0.298932269
2/19/2014,,-0.175364637,-0.298975088
2/20/2014,,-0.158752713,-0.299017864
