date,NDWI_original,NDWI_linear,NDWI_spline
2024-01-01,,-0.47207062439103864,-0.47055307131520746
2024-01-02,-0.47207062439103864,-0.47207062439103864,-0.47207062439103864
2024-01-03,,-0.46061117787306977,-0.46583701195762156
2024-01-04,,-0.44915173135510084,-0.46351826200797563
2024-01-05,,-0.43769228483713196,-0.46122553866020854
2024-01-06,,-0.42623283831916303,-0.4589587220011554
2024-01-07,-0.41477339180119416,-0.41477339180119416,-0.41477339180119416
2024-01-08,,-0.4413825095520283,-0.45450232909653354
2024-01-09,,-0.46799162730286237,-0.45231251302463577
2024-01-10,-0.4946007450536965,-0.4946007450536965,-0.4946007450536965
2024-01-11,,-0.486102161864442,-0.4480090420758434
2024-01-12,-0.4776035786751875,-0.4776035786751875,-0.4776035786751875
2024-01-13,,-0.44026784391019286,-0.4438063199659585
2024-01-14,,-0.40293210914519817,-0.44174243994269496
2024-01-15,,-0.36559637438020354,-0.4397033873896647
2024-01-16,,-0.3282606396152089,-0.4376890423937031
2024-01-17,-0.2909249048502142,-0.2909249048502142,-0.2909249048502142
2024-01-18,-0.5142018343803252,-0.5142018343803252,-0.5142018343803252
2024-01-19,,-0.40714477405114186,-0.43179305361658493
2024-01-20,,-0.3000877137219585,-0.42987633971725253
2024-01-21,,-0.19303065339277514,-0.42798373380916627
2024-01-22,-0.08597359306359183,-0.08597359306359183,-0.08597359306359183
2024-01-23,,-0.19787719360502112,-0.42427036631407306
2024-01-24,,-0.30978079414645043,-0.42244936490073737
2024-01-25,,-0.4216843946878797,-0.42065199182598945
2024-01-26,-0.533587995229309,-0.533587995229309,-0.533587995229309
2024-01-27,-0.1633306043046815,-0.1633306043046815,-0.1633306043046815
2024-01-28,,-0.18012368124856226,-0.4154004435016264
2024-01-29,,-0.19691675819244303,-0.413696384649584
2024-01-30,,-0.2137098351363238,-0.41201535457030675
2024-01-31,,-0.23050291208020457,-0.4103572333506298
2024-02-01,-0.24729598902408534,-0.24729598902408534,-0.24729598902408534
2024-02-02,,-0.394671994078733,-0.4071092378374194
2024-02-03,-0.5420479991333806,-0.5420479991333806,-0.5420479991333806
2024-02-04,,-0.5398250992426056,-0.4039514388046363
2024-02-05,,-0.5376021993518304,-0.4024060631854937
2024-02-06,-0.5353792994610553,-0.5353792994610553,-0.5353792994610553
2024-02-07,,-0.5355919571347091,-0.39938176017588367
2024-02-08,,-0.5358046148083628,-0.3979025929590871
2024-02-09,,-0.5360172724820165,-0.39644525538341
2024-02-10,,-0.5362299301556702,-0.39500962753568797
2024-02-11,-0.536442587829324,-0.536442587829324,-0.536442587829324
2024-02-12,,-0.5309403371034709,-0.39220302137145097
2024-02-13,,-0.5254380863776177,-0.3908318032286068
2024-02-14,,-0.5199358356517646,-0.38948181516105945
2024-02-15,,-0.5144335849259114,-0.38815293725564426
2024-02-16,-0.5089313342000583,-0.5089313342000583,-0.5089313342000583
2024-02-17,,-0.5158746621060022,-0.385558032278553
2024-02-18,,-0.5228179900119461,-0.38429176538054766
2024-02-19,-0.5297613179178899,-0.5297613179178899,-0.5297613179178899
2024-02-20,,-0.5073193020319096,-0.38182100319979456
2024-02-21,-0.4848772861459292,-0.4848772861459292,-0.4848772861459292
2024-02-22,,-0.42536990587576207,-0.37943180375162167
2024-02-23,,-0.36586252560559496,-0.37826749026934126
2024-02-24,,-0.3063551453354278,-0.3771232077307124
2024-02-25,,-0.24684776506526068,-0.3759988362225703
2024-02-26,-0.18734038479509357,-0.18734038479509357,-0.18734038479509357
2024-02-27,-0.37317186198412655,-0.37317186198412655,-0.37317186198412655
2024-02-28,,-0.3995065476540528,-0.3727439887494196
2024-02-29,,-0.425841233323979,-0.37169806223157936
2024-03-01,,-0.4521759189939052,-0.3706714471784034
2024-03-02,-0.47851060466383144,-0.47851060466383144,-0.47851060466383144
2024-03-03,,-0.4867266601957724,-0.3686756718133854
2024-03-04,,-0.49494271572771326,-0.36770627167521436
2024-03-05,,-0.5031587712596541,-0.3667557033490492
2024-03-06,-0.5113748267915951,-0.5113748267915951,-0.5113748267915951
2024-03-07,-0.48330576675342957,-0.48330576675342957,-0.48330576675342957
2024-03-08,,-0.4017884805628935,-0.36401579011094387
2024-03-09,,-0.3202711943723574,-0.363139349901157
2024-03-10,,-0.23875390818182132,-0.36228114193755323
2024-03-11,,-0.15723662199128524,-0.3614410463069682
