date,Albedo_original,Albedo_linear,Albedo_spline,station
2014-01-01,,0.6420458397752902,0.33055556580097334,Infanta
2014-01-02,,0.6420458397752902,0.3304923109409975,Infanta
2014-01-03,,0.6420458397752902,0.33042908878668,Infanta
2014-01-04,,0.6420458397752902,0.33036589933802085,Infanta
2014-01-05,,0.6420458397752902,0.33030274259502,Infanta
2014-01-06,0.6420458397752902,0.6420458397752902,0.6420458397752902,Infanta
2014-01-07,,0.6174265512686025,0.33017652722599333,Infanta
2014-01-08,,0.5928072627619148,0.33011346859996743,Infanta
2014-01-09,,0.568187974255227,0.3300504426796,Infanta
2014-01-10,,0.5435686857485393,0.32998744946489084,Infanta
2014-01-11,,0.5189493972418516,0.3299244889558399,Infanta
2014-01-12,,0.4943301087351639,0.32986156115244747,Infanta
2014-01-13,,0.4697108202284762,0.32979866605471325,Infanta
2014-01-14,,0.4450915317217885,0.3297358036626374,Infanta
2014-01-15,0.4204722432151008,0.4204722432151008,0.4204722432151008,Infanta
2014-01-16,,0.45142594081414716,0.32961017699546075,Infanta
2014-01-17,,0.48237963841319353,0.32954741272035987,Infanta
2014-01-18,,0.5133333360122398,0.3294846811509174,Infanta
2014-01-19,,0.5442870336112863,0.32942198228713315,Infanta
2014-01-20,,0.5752407312103326,0.32935931612900726,Infanta
2014-01-21,,0.606194428809379,0.3292966826765398,Infanta
2014-01-22,0.6371481264084253,0.6371481264084253,0.6371481264084253,Infanta
2014-01-23,,0.5860990023033208,0.32917151388857974,Infanta
2014-01-24,,0.5350498781982163,0.32910897855308724,Infanta
2014-01-25,,0.4840007540931117,0.329046475923253,Infanta
2014-01-26,,0.4329516299880072,0.3289840059990771,Infanta
2014-01-27,,0.3819025058829027,0.3289215687805596,Infanta
2014-01-28,,0.33085338177779816,0.3288591642677004,Infanta
2014-01-29,,0.2798042576726936,0.3287967924604995,Infanta
2014-01-30,,0.2287551335675891,0.328734453358957,Infanta
2014-01-31,0.17770600946248455,0.17770600946248455,0.17770600946248455,Infanta
2014-02-01,,0.1629030757973787,0.3286098732728468,Infanta
2014-02-02,,0.14810014213227285,0.3285476322882794,Infanta
2014-02-03,,0.13329720846716703,0.3284854240093701,Infanta
2014-02-04,,0.11849427480206118,0.3284232484361192,Infanta
2014-02-05,,0.10369134113695533,0.3283611055685267,Infanta
2014-02-06,,0.08888840747184948,0.32829899540659246,Infanta
2014-02-07,0.07408547380674364,0.07408547380674364,0.07408547380674364,Infanta
2014-02-08,,0.10822031265996795,0.328174873199699,Infanta
2014-02-09,,0.14235515151319228,0.3281128611547398,Infanta
2014-02-10,,0.1764899903664166,0.3280508818154389,Infanta
2014-02-11,,0.21062482921964093,0.3279889351817963,Infanta
2014-02-12,,0.24475966807286526,0.3279270212538121,Infanta
2014-02-13,,0.2788945069260895,0.32786514003148615,Infanta
2014-02-14,,0.31302934577931385,0.32780329151481863,Infanta
2014-02-15,,0.3471641846325382,0.3277414757038093,Infanta
2014-02-16,0.3812990234857625,0.3812990234857625,0.3812990234857625,Infanta
2014-02-17,,0.4432941070133251,0.3276179421987659,Infanta
2014-02-18,,0.5052891905408877,0.32755622450473165,Infanta
2014-02-19,,0.5672842740684503,0.32749453951635565,Infanta
