YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2014,1,1,26.3,22.5,87,2,90
2014,1,2,27.7,21,83,2,180
2014,1,3,29.4,21.5,84,2,180
2014,1,4,28.4,22,85,3,360
2014,1,5,27.6,22.5,83,7,40
2014,1,6,27,22,85,5,80
2014,1,7,28,22.8,87,3,180
2014,1,8,28.5,22.5,88,2,40
2014,1,9,27,22.2,88,7,40
2014,1,10,24.7,22,90,8,40
2014,1,11,27,22,86,4,40
2014,1,12,25.8,21.5,88,5,40
2014,1,13,25.7,23,84,6,40
2014,1,14,27.6,21.8,86,8,20
2014,1,15,24,20.5,92,10,70
2014,1,16,24,21.6,91,5,90
2014,1,17,23.8,19.5,89,4,40
2014,1,18,26,19,86,9,40
2014,1,19,24.5,19,89,7,40
2014,1,20,26.2,20,89,4,40
2014,1,21,24.5,19,85,4,40
2014,1,22,22.5,19,93,10,40
2014,1,23,22.5,19.5,93,3,40
2014,1,24,23.8,18.4,87,3,90
2014,1,25,25,18.5,90,2,180
2014,1,26,24,18.5,91,4,220
2014,1,27,25.4,19,90,5,40
2014,1,28,25.2,19,88,5,40
2014,1,29,23.5,20,93,2,140
2014,1,30,26,19,92,3,20
2014,1,31,27.2,19,88,3,40
2014,2,1,26.4,21.5,85,2,180
2014,2,2,30,22.8,91,3,180
2014,2,3,28.8,23.5,86,3,40
2014,2,4,25.3,21.1,96,6,40
2014,2,5,25.8,22.1,93,2,90
2014,2,6,28,24,85,2,180
2014,2,7,29,23.5,87,2,360
2014,2,8,30.8,23.5,83,3,40
2014,2,9,31.2,23.5,86,3,180
2014,2,10,28.4,22.5,88,8,40
2014,2,11,26.7,22.5,85,6,40
2014,2,12,26.3,19.5,88,5,40
2014,2,13,28.2,20.5,88,3,40
2014,2,14,27.6,21.5,89,5,40
2014,2,15,27.5,22.5,87,5,90
2014,2,16,27.5,22.1,86,2,90
2014,2,17,28.7,23.5,84,2,220
2014,2,18,29.3,22.7,87,2,180
2014,2,19,28.5,22.5,85,3,360
2014,2,20,24.2,18.5,96,10,40
2014,2,21,21,18.5,93,5,40
2014,2,22,25.2,20,87,6,70
2014,2,23,25.6,20.5,89,6,70
2014,2,24,27.8,21,80,4,70
2014,2,25,26.5,21.5,89,3,90
2014,2,26,27.2,22.5,84,2,180
2014,2,27,27.5,23.5,86,2,90
2014,2,28,28.5,23.5,87,2,40
2014,3,1,29,22.5,86,2,180
2014,3,2,28.8,22.5,85,2,360
2014,3,3,28.4,22.6,85,5,70
2014,3,4,28.6,22.5,86,4,40
2014,3,5,28.4,22.5,87,4,40
2014,3,6,27.6,21.5,87,6,40
2014,3,7,28.4,22.5,87,5,40
2014,3,8,29.2,22.8,84,3,270
2014,3,9,29.5,22,87,6,40
2014,3,10,27.8,22.5,88,7,40
2014,3,11,27.8,23,86,3,40
2014,3,12,29.2,23,85,3,180
2014,3,13,30,22.8,85,3,40
2014,3,14,28,22,86,9,40
2014,3,15,28.2,23,86,7,70
2014,3,16,30,23,85,4,80
2014,3,17,29.7,22,85,3,180
2014,3,18,30.5,23,85,3,40
2014,3,19,31,23,84,2,180
2014,3,20,30.8,23,84,4,40
2014,3,21,26.5,22,83,11,40
2014,3,22,28.8,22,73,9,40
2014,3,23,27.2,22.4,84,6,40
2014,3,24,27.4,22.5,87,3,40
2014,3,25,28.6,22.3,87,4,180
2014,3,26,30.1,23.2,85,4,180
2014,3,27,31.5,24,85,3,180
2014,3,28,32.5,24.5,83,3,180
2014,3,29,34,25,80,2,360
2014,3,30,35,25,79,2,40
2014,3,31,35,25,79,2,180
2014,4,1,35.5,25,77,3,360
2014,4,2,35.2,25.5,77,2,360
2014,4,3,32.3,25,82,5,360
2014,4,4,31.4,25,83,6,40
2014,4,5,30.2,24,83,6,40
2014,4,6,31.8,24.6,83,5,40
2014,4,7,32,24.5,85,3,40
2014,4,8,34.7,25,82,2,40
2014,4,9,34.1,25,82,3,180
2014,4,10,33.6,24.5,82,4,40
2014,4,11,33.8,24.5,82,4,40
2014,4,12,34.2,26,82,3,40
2014,4,13,33.1,25,82,3,40
2014,4,14,30,24,84,4,80
2014,4,15,28.2,22.5,84,6,80
2014,4,16,29.2,23.5,85,3,40
2014,4,17,33.2,25,84,3,80
2014,4,18,33.6,25,80,4,180
2014,4,19,32,25,82,3,40
2014,4,20,31.1,24.5,82,4,40
2014,4,21,32,24.5,84,3,180
2014,4,22,32.8,25.5,82,2,40
2014,4,23,33,25,83,2,40
2014,4,24,33.5,25,82,2,40
2014,4,25,34,25,81,2,40
2014,4,26,32.3,25.6,82,2,40
2014,4,27,32.7,25.8,81,2,360
2014,4,28,32.1,25,82,2,360
2014,4,29,31.4,25,82,5,40
2014,4,30,31,25,80,5,40
2014,5,1,33.2,25,82,3,40
2014,5,2,33.5,25,81,2,40
2014,5,3,34,25.4,81,2,40
2014,5,4,33.8,25.5,82,2,40
2014,5,5,32.7,26,83,3,360
2014,5,6,31.8,25.5,82,5,40
2014,5,7,34,25.5,81,3,40
2014,5,8,34.5,25.5,80,3,40
2014,5,9,33.8,25.4,81,3,180
2014,5,10,33.4,25,81,3,180
2014,5,11,36.5,25.5,77,3,180
2014,5,12,34.5,25.5,79,2,220
2014,5,13,34,24.5,82,2,360
2014,5,14,34.5,25.5,80,2,220
2014,5,15,35,25,80,2,360
2014,5,16,34.4,25,80,2,360
2014,5,17,35.6,25.5,80,2,180
2014,5,18,35.2,25.1,79,3,180
2014,5,19,35.5,25.2,78,2,180
2014,5,20,37,25.5,77,2,180
2014,5,21,37,25.5,76,2,180
2014,5,22,36,25,77,2,220
2014,5,23,35.5,25.5,78,2,180
2014,5,24,35,25.5,79,2,180
2014,5,25,35.2,26,79,2,180
2014,5,26,33,26.5,82,3,180
2014,5,27,34.3,25,79,3,180
2014,5,28,35,25.5,81,3,180
2014,5,29,34.5,26,78,3,180
2014,5,30,34.4,26,80,4,180
2014,5,31,33.5,26,78,3,180
2014,6,1,35.5,26,77,4,180
2014,6,2,34,26,80,4,360
2014,6,3,34.2,25.5,80,3,180
2014,6,4,34.6,25,82,2,180
2014,6,5,34.4,25.5,82,3,180
2014,6,6,34.6,25.5,81,2,180
2014,6,7,33,25,81,2,140
2014,6,8,33.8,25.5,80,2,180
2014,6,9,29.8,25.5,86,3,180
2014,6,10,30.8,25.5,84,4,180
2014,6,11,33.4,25,81,3,20
2014,6,12,28.7,25,87,2,180
