YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2014,1,1,32,20.5,83,1,360
2014,1,2,32.3,20.2,82,1,360
2014,1,3,32.7,20.3,76,1,360
2014,1,4,31.8,21.2,84,1,360
2014,1,5,32.3,22,82,2,360
2014,1,6,31,21.8,81,1,360
2014,1,7,31.3,22,73,1,360
2014,1,8,31.6,22.8,80,1,360
2014,1,9,31.3,22.5,76,2,360
2014,1,10,30.2,22,81,2,40
2014,1,11,29,20.5,84,3,40
2014,1,12,29.2,22.8,78,3,40
2014,1,13,29,21,69,2,360
2014,1,14,30.9,20.5,78,2,20
2014,1,15,31,21,86,4,40
2014,1,16,29,21.9,70,3,40
2014,1,17,30.2,21,66,2,360
2014,1,18,29,21,60,3,40
2014,1,19,27.4,18.5,69,3,40
2014,1,20,29,20.5,75,1,20
2014,1,21,28.3,21,81,1,40
2014,1,22,30,20.6,79,3,40
2014,1,23,28.7,19.6,68,3,360
2014,1,24,29.2,16.2,78,1,360
2014,1,25,29,15.8,77,2,360
2014,1,26,30.5,19.2,80,1,360
2014,1,27,31.7,20.5,78,2,360
2014,1,28,30.6,19,67,1,360
2014,1,29,31,20.8,77,1,360
2014,1,30,30,19.5,72,1,360
2014,1,31,31,21.8,78,2,360
2014,2,1,29.6,23,88,2,360
2014,2,2,32.2,21.5,84,1,140
2014,2,3,32.8,23.1,82,1,180
2014,2,4,33,22.2,89,1,360
2014,2,5,32.5,22.5,84,1,360
2014,2,6,33.3,21.6,84,1,360
2014,2,7,33.3,22.5,79,1,360
2014,2,8,33.2,22.8,83,1,360
2014,2,9,33.5,23,79,2,140
2014,2,10,33,22.7,85,2,360
2014,2,11,32.6,22,79,1,360
2014,2,12,31.3,20.4,75,2,360
2014,2,13,32,19.5,80,1,360
2014,2,14,30.8,21.8,81,2,270
2014,2,15,30.6,20.5,85,1,360
2014,2,16,30.4,21.5,84,2,40
2014,2,17,29.6,21.8,78,1,360
2014,2,18,32.5,22,82,1,360
2014,2,19,31.6,21.7,82,1,360
