date,NDBI_original,NDBI_linear,NDBI_spline
2014-01-01,,-0.065932091332782,-0.1161957772273513
2014-01-02,,-0.065932091332782,-0.116260365550446
2014-01-03,,-0.065932091332782,-0.1163248799588765
2014-01-04,,-0.065932091332782,-0.1163893204965374
2014-01-05,,-0.065932091332782,-0.1164536872073233
2014-01-06,-0.065932091332782,-0.065932091332782,-0.065932091332782
2014-01-07,,-0.0704456268382607,-0.1165821993238487
2014-01-08,,-0.0749591623437394,-0.1166463448173776
2014-01-09,,-0.0794726978492181,-0.11671041665961
2014-01-10,,-0.0839862333546968,-0.1167744148944407
2014-01-11,,-0.0884997688601755,-0.1168383395657643
2014-01-12,,-0.0930133043656542,-0.1169021907174754
2014-01-13,,-0.0975268398711328,-0.1169659683934686
2014-01-14,,-0.1020403753766115,-0.1170296726376387
2014-01-15,,-0.1065539108820902,-0.1170933034938802
2014-01-16,,-0.1110674463875689,-0.1171568610060878
2014-01-17,,-0.1155809818930476,-0.1172203452181561
2014-01-18,,-0.1200945173985263,-0.1172837561739797
2014-01-19,,-0.124608052904005,-0.1173470939174534
2014-01-20,,-0.1291215884094837,-0.1174103584924717
2014-01-21,,-0.1336351239149624,-0.1174735499429294
2014-01-22,-0.138148659420441,-0.138148659420441,-0.138148659420441
2014-01-23,,-0.1360804054268382,-0.117599713645741
2014-01-24,,-0.1340121514332354,-0.1176626859858843
2014-01-25,,-0.1319438974396326,-0.1177255853770455
2014-01-26,,-0.1298756434460298,-0.1177884118631191
2014-01-27,,-0.127807389452427,-0.117851165488
2014-01-28,,-0.1257391354588242,-0.1179138462955825
2014-01-29,,-0.1236708814652213,-0.1179764543297615
2014-01-30,,-0.1216026274716185,-0.1180389896344315
2014-01-31,,-0.1195343734780157,-0.1181014522534872
2014-02-01,,-0.1174661194844129,-0.1181638422308233
2014-02-02,,-0.1153978654908101,-0.1182261596103343
2014-02-03,,-0.1133296114972073,-0.118288404435915
2014-02-04,,-0.1112613575036045,-0.1183505767514599
2014-02-05,,-0.1091931035100017,-0.1184126766008637
2014-02-06,,-0.1071248495163988,-0.118474704028021
2014-02-07,-0.105056595522796,-0.105056595522796,-0.105056595522796
2014-02-08,,-0.0870733567905844,-0.1185985417911749
2014-02-09,,-0.0690901180583728,-0.1186603522149607
2014-02-10,,-0.0511068793261612,-0.1187220903920786
2014-02-11,,-0.0331236405939496,-0.1187837563664233
2014-02-12,,-0.015140401861738,-0.1188453501818893
2014-02-13,,0.0028428368704735,-0.1189068718823713
2014-02-14,,0.0208260756026851,-0.1189683215117641
2014-02-15,,0.0388093143348966,-0.1190296991139621
2014-02-16,0.0567925530671082,0.0567925530671082,0.0567925530671082
2014-02-17,,0.0405053020156815,-0.1191522384123526
2014-02-18,,0.0242180509642548,-0.1192134001963344
2014-02-19,,0.0079307999128281,-0.1192744901287
2014-02-20,,-0.0083564511385985,-0.1193355082533442
2014-02-21,,-0.0246437021900252,-0.1193964546141615
2014-02-22,,-0.0409309532414519,-0.1194573292550466
2014-02-23,-0.0572182042928786,-0.0572182042928786,-0.0572182042928786
2014-02-24,,-0.0575402674807868,-0.1195788635525987
2014-02-25,,-0.0578623306686949,-0.119639523297055
2014-02-26,,-0.0581843938566031,-0.1197001114971577
2014-02-27,,-0.0585064570445113,-0.1197606281968013
2014-02-28,,-0.0588285202324195,-0.1198210734398806
2014-03-01,,-0.0591505834203276,-0.1198814472702902
2014-03-02,,-0.0594726466082358,-0.1199417497319247
2014-03-03,,-0.059794709796144,-0.1200019808686787
