date,NDWI_original,NDWI_linear,NDWI_spline
2014-01-01,,-0.009709393671851325,-0.4077362370543457
2014-01-02,,-0.009709393671851325,-0.40771737797784746
2014-01-03,,-0.009709393671851325,-0.4076985431422512
2014-01-04,,-0.009709393671851325,-0.40767973252992856
2014-01-05,,-0.009709393671851325,-0.4076609461232514
2014-01-06,-0.009709393671851325,-0.009709393671851325,-0.009709393671851325
2014-01-07,,-0.012344573502659262,-0.4076234458563213
2014-01-08,,-0.014979753333467202,-0.40760473196081204
2014-01-09,,-0.01761493316427514,-0.40758604220043615
2014-01-10,,-0.02025011299508308,-0.4075673765575651
2014-01-11,,-0.022885292825891017,-0.4075487350145709
2014-01-12,,-0.025520472656698958,-0.4075301175538255
2014-01-13,,-0.028155652487506896,-0.4075115241577009
2014-01-14,,-0.030790832318314833,-0.40749295480856873
2014-01-15,,-0.033426012149122775,-0.4074744094888011
2014-01-16,,-0.03606119197993071,-0.40745588818076967
2014-01-17,,-0.03869637181073865,-0.40743739086684655
2014-01-18,,-0.04133155164154659,-0.40741891752940357
2014-01-19,,-0.043966731472354526,-0.4074004681508126
2014-01-20,,-0.04660191130316246,-0.4073820427134454
2014-01-21,,-0.0492370911339704,-0.40736364119967416
2014-01-22,-0.05187227096477834,-0.05187227096477834,-0.05187227096477834
2014-01-23,,-0.08464698553561253,-0.40732690987240633
2014-01-24,,-0.11742170010644673,-0.4073085800236537
2014-01-25,,-0.15019641467728093,-0.40729027402798446
2014-01-26,,-0.18297112924811512,-0.40727199186777024
2014-01-27,,-0.21574584381894932,-0.4072537335253834
2014-01-28,,-0.2485205583897835,-0.40723549898319533
2014-01-29,,-0.28129527296061774,-0.4072172882235783
2014-01-30,,-0.3140699875314519,-0.40719910122890407
2014-01-31,,-0.34684470210228613,-0.40718093798154437
2014-02-01,,-0.37961941667312027,-0.4071627984638714
2014-02-02,,-0.4123941312439545,-0.4071446826582567
2014-02-03,,-0.44516884581478866,-0.4071265905470725
2014-02-04,,-0.4779435603856229,-0.4071085221126905
2014-02-05,,-0.510718274956457,-0.40709047733748266
2014-02-06,,-0.5434929895272913,-0.4070724562038207
2014-02-07,-0.5762677040981254,-0.5762677040981254,-0.5762677040981254
2014-02-08,,-0.5581852222581487,-0.4070364847906225
2014-02-09,,-0.540102740418172,-0.4070185344758299
2014-02-10,,-0.5220202585781952,-0.4070006077320709
2014-02-11,,-0.5039377767382186,-0.4069827045417175
2014-02-12,,-0.48585529489824186,-0.40696482488714125
2014-02-13,,-0.4677728130582651,-0.4069469687507143
2014-02-14,,-0.4496903312182884,-0.4069291361148085
2014-02-15,,-0.43160784937831165,-0.4069113269617957
2014-02-16,,-0.41352536753833496,-0.4068935412740477
2014-02-17,,-0.3954428856983582,-0.4068757790339367
