date,NDBaI_original,NDBaI_linear,NDBaI_spline
2014-01-01,,-0.3677553323444961,-0.09708585175243756
2014-01-02,,-0.3677553323444961,-0.0972021966163004
2014-01-03,,-0.3677553323444961,-0.0973183098073847
2014-01-04,,-0.3677553323444961,-0.09743419146634508
2014-01-05,,-0.3677553323444961,-0.09754984173383613
2014-01-06,,-0.3677553323444961,-0.09766526075051254
2014-01-07,,-0.3677553323444961,-0.09778044865702903
2014-01-08,,-0.3677553323444961,-0.09789540559404018
2014-01-09,,-0.3677553323444961,-0.09801013170220066
2014-01-10,,-0.3677553323444961,-0.09812462712216516
2014-01-11,,-0.3677553323444961,-0.0982388919945883
2014-01-12,,-0.3677553323444961,-0.0983529264601247
2014-01-13,,-0.3677553323444961,-0.09846673065942904
2014-01-14,,-0.3677553323444961,-0.09858030473315604
2014-01-15,,-0.3677553323444961,-0.09869364882196029
2014-01-16,,-0.3677553323444961,-0.09880676306649644
2014-01-17,,-0.3677553323444961,-0.09891964760741917
2014-01-18,,-0.3677553323444961,-0.0990323025853831
2014-01-19,,-0.3677553323444961,-0.099144728141043
2014-01-20,,-0.3677553323444961,-0.09925692441505332
2014-01-21,,-0.3677553323444961,-0.09936889154806888
2014-01-22,,-0.3677553323444961,-0.09948062968074425
2014-01-23,,-0.3677553323444961,-0.09959213895373416
2014-01-24,,-0.3677553323444961,-0.09970341950769321
2014-01-25,,-0.3677553323444961,-0.09981447148327605
2014-01-26,,-0.3677553323444961,-0.09992529502113737
2014-01-27,,-0.3677553323444961,-0.10003589026193176
2014-01-28,,-0.3677553323444961,-0.10014625734631395
2014-01-29,-0.3677553323444961,-0.3677553323444961,-0.3677553323444961
2014-01-30,,-0.3717307383368768,-0.10036630760846021
2014-01-31,,-0.37570614432925753,-0.10047599106753363
2014-02-01,,-0.37968155032163825,-0.10058544693281345
2014-02-02,,-0.38365695631401897,-0.10069467534495424
2014-02-03,,-0.3876323623063997,-0.10080367644461079
2014-02-04,,-0.3916077682987804,-0.10091245037243765
2014-02-05,,-0.39558317429116113,-0.10102099726908952
2014-02-06,,-0.39955858028354185,-0.10112931727522101
2014-02-07,,-0.40353398627592263,-0.10123741053148685
2014-02-08,,-0.40750939226830335,-0.10134527717854165
2014-02-09,,-0.41148479826068407,-0.10145291735704005
2014-02-10,,-0.4154602042530648,-0.10156033120763676
2014-02-11,,-0.4194356102454455,-0.10166751887098635
2014-02-12,,-0.42341101623782623,-0.10177448048774355
2014-02-13,,-0.42738642223020695,-0.10188121619856297
2014-02-14,-0.4313618282225877,-0.4313618282225877,-0.4313618282225877
2014-02-15,,-0.4275510740211995,-0.10209401046500713
2014-02-16,,-0.4237403198198113,-0.10220006930194117
2014-02-17,,-0.41992956561842315,-0.10230590279555606
