date,NDWI_original,NDWI_linear,NDWI_spline
2014-01-01,,-0.3267689035493751,-0.2994549910955219
2014-01-02,,-0.3267689035493751,-0.2994923892683813
2014-01-03,,-0.3267689035493751,-0.2995297522820404
2014-01-04,,-0.3267689035493751,-0.2995670801543567
2014-01-05,,-0.3267689035493751,-0.2996043729031876
2014-01-06,-0.3267689035493751,-0.3267689035493751,-0.3267689035493751
2014-01-07,,-0.3272950131692915,-0.29967885310182374
2014-01-08,,-0.3278211227892079,-0.29971604058734397
2014-01-09,,-0.3283472324091243,-0.2997531930208092
2014-01-10,,-0.3288733420290407,-0.2997903104200768
2014-01-11,,-0.3293994516489571,-0.2998273928030043
2014-01-12,,-0.3299255612688735,-0.2998644401874494
2014-01-13,,-0.3304516708887899,-0.29990145259126944
2014-01-14,,-0.3309777805087063,-0.29993843003232207
2014-01-15,,-0.3315038901286227,-0.2999753725284649
2014-01-16,,-0.3320299997485391,-0.30001228009755526
2014-01-17,,-0.3325561093684555,-0.3000491527574509
2014-01-18,,-0.33308221898837187,-0.30008599052600926
2014-01-19,,-0.3336083286082883,-0.30012279342108794
2014-01-20,,-0.3341344382282047,-0.30015956146054434
2014-01-21,,-0.3346605478481211,-0.30019629466223613
2014-01-22,-0.3351866574680375,-0.3351866574680375,-0.3351866574680375
2014-01-23,,-0.33765672442865385,-0.30026965662375593
2014-01-24,,-0.34012679138927027,-0.30030628541929916
2014-01-25,,-0.3425968583498866,-0.30034287944850774
2014-01-26,,-0.34506692531050304,-0.3003794387292394
2014-01-27,,-0.3475369922711194,-0.3004159632793518
2014-01-28,,-0.3500070592317358,-0.30045245311670216
2014-01-29,,-0.35247712619235216,-0.3004889082591483
2014-01-30,,-0.3549471931529685,-0.3005253287245476
2014-01-31,,-0.35741726011358493,-0.30056171453075775
2014-02-01,,-0.3598873270742013,-0.30059806569563613
2014-02-02,,-0.3623573940348177,-0.30063438223704037
2014-02-03,,-0.36482746099543406,-0.30067066417282806
2014-02-04,,-0.3672975279560505,-0.30070691152085666
2014-02-05,,-0.36976759491666683,-0.30074312429898375
2014-02-06,,-0.37223766187728324,-0.3007793025250667
2014-02-07,-0.3747077288378996,-0.3747077288378996,-0.3747077288378996
2014-02-08,,-0.35809580453642437,-0.300851555392531
2014-02-09,,-0.34148388023494913,-0.3008876300696272
2014-02-10,,-0.3248719559334739,-0.3009236702661097
2014-02-11,,-0.30826003163199867,-0.300959675999836
2014-02-12,,-0.29164810733052343,-0.30099564728866335
2014-02-13,,-0.2750361830290482,-0.3010315841504495
2014-02-14,,-0.2584242587275729,-0.3010674866030521
2014-02-15,,-0.2418123344260977,-0.30110335466432847
2014-02-16,,-0.22520041012462247,-0.30113918835213627
2014-02-17,,-0.20858848582314723,-0.3011749876843331
2014-02-18,,-0.191976561521672,-0.3012107526787763
2014-02-19,,-0.17536463722019674,-0.3012464833533236
2014-02-20,,-0.1587527129187215,-0.3012821797258325
2014-02-21,,-0.14214078861724627,-0.3013178418141605
2014-02-22,,-0.12552886431577104,-0.3013534696361651
2014-02-23,-0.1089169400142958,-0.1089169400142958,-0.1089169400142958
2014-02-24,,-0.10577200393811231,-0.30142462255263464
2014-02-25,,-0.10262706786192882,-0.3014601476828144
2014-02-26,,-0.09948213178574533,-0.30149563861810114
2014-02-27,,-0.09633719570956184,-0.3015310953763521
2014-02-28,,-0.09319225963337835,-0.3015665179754249
2014-03-01,,-0.09004732355719486,-0.3016019064331774
2014-03-02,,-0.08690238748101138,-0.3016372607674667
2014-03-03,,-0.08375745140482789,-0.30167258099615046
2014-03-04,,-0.0806125153286444,-0.3017078671370864
2014-03-05,,-0.07746757925246091,-0.3017431192081319
2014-03-06,,-0.07432264317627742,-0.3017783372271446
2014-03-07,,-0.07117770710009393,-0.3018135212119819
2014-03-08,,-0.06803277102391043,-0.3018486711805014
2014-03-09,,-0.06488783494772696,-0.3018837871505608
2014-03-10,,-0.06174289887154346,-0.3019188691400175
2014-03-11,-0.05859796279535997,-0.05859796279535997,-0.05859796279535997
2014-03-12,,-0.06553328096689703,-0.3019889312485527
2014-03-13,,-0.07246859913843409,-0.30202391140334645
2014-03-14,,-0.07940391730997115,-0.3020588576489677
2014-03-15,,-0.08633923548150821,-0.30209377000327386
2014-03-16,,-0.09327455365304527,-0.3021286484841228
2014-03-17,,-0.10020987182458233,-0.3021634931093716
2014-03-18,,-0.10714518999611938,-0.30219830389687796
2014-03-19,,-0.11408050816765644,-0.3022330808644998
