date,NDWI_original,NDWI_linear,NDWI_spline
2024-01-01,,-0.506284697762232,-0.4845365911927198
2024-01-02,,-0.506284697762232,-0.483177452587209
2024-01-03,,-0.506284697762232,-0.4818314015428946
2024-01-04,,-0.506284697762232,-0.4804983878891088
2024-01-05,-0.506284697762232,-0.506284697762232,-0.506284697762232
2024-01-06,,-0.4631052803393201,-0.4778712720704545
2024-01-07,,-0.4199258629164082,-0.4765770695642508
2024-01-08,,-0.37674644549349634,-0.4752957037659062
2024-01-09,-0.33356702807058447,-0.33356702807058447,-0.33356702807058447
2024-01-10,-0.5307547435088475,-0.5307547435088475,-0.5307547435088475
2024-01-11,,-0.5226488539375705,-0.4715281249113523
2024-01-12,,-0.5145429643662934,-0.4702976042377696
2024-01-13,,-0.5064370747950164,-0.46907966941870877
2024-01-14,,-0.49833118522373937,-0.4678742702835022
2024-01-15,-0.4902252956524623,-0.4902252956524623,-0.4902252956524623
2024-01-16,,-0.4244987972925105,-0.46550087838198234
2024-01-17,-0.3587722989325587,-0.3587722989325587,-0.3587722989325587
2024-01-18,,-0.3964996408008605,-0.4631770271678708
2024-01-19,,-0.4342269826691623,-0.46203355389192446
2024-01-20,-0.4719543245374641,-0.4719543245374641,-0.4719543245374641
2024-01-21,,-0.4632316514206758,-0.4597832611489132
2024-01-22,,-0.4545089783038874,-0.4586763413405136
2024-01-23,,-0.4457863051870991,-0.4575815056799612
2024-01-24,,-0.43706363207031074,-0.4564987039965887
2024-01-25,-0.4283409589535224,-0.4283409589535224,-0.4283409589535224
2024-01-26,,-0.41733733945777013,-0.4543690018787135
2024-01-27,,-0.40633371996201784,-0.4533220011028759
2024-01-28,,-0.3953301004662656,-0.4522868336215485
2024-01-29,,-0.3843264809705133,-0.4512634492640636
2024-01-30,-0.373322861474761,-0.373322861474761,-0.373322861474761
2024-01-31,,-0.39330658696329995,-0.449251829237952
2024-02-01,,-0.41329031245183884,-0.44826349322799025
2024-02-02,-0.4332740379403778,-0.4332740379403778,-0.4332740379403778
2024-02-03,,-0.49651549024945135,-0.4463215183609179
2024-02-04,-0.5597569425585249,-0.5597569425585249,-0.5597569425585249
2024-02-05,,-0.5583380727743658,-0.44442547189319725
2024-02-06,,-0.5569192029902066,-0.4434945463824252
2024-02-07,,-0.5555003332060473,-0.44257495245948875
2024-02-08,,-0.5540814634218881,-0.44166663995372035
2024-02-09,-0.552662593637729,-0.552662593637729,-0.552662593637729
2024-02-10,-0.36430315290111925,-0.36430315290111925,-0.36430315290111925
2024-02-11,,-0.3935482349209187,-0.4390088892327495
2024-02-12,,-0.4227933169407182,-0.438145200688979
2024-02-13,,-0.4520383989605177,-0.43729254270903944
2024-02-14,-0.48128348098031715,-0.48128348098031715,-0.48128348098031715
2024-02-15,,-0.4581700758455808,-0.43562011775798326
2024-02-16,,-0.4350566707108444,-0.4348002504455316
2024-02-17,,-0.41194326557610805,-0.43399121301424104
2024-02-18,-0.3888298604413717,-0.3888298604413717,-0.3888298604413717
2024-02-19,-0.531445653565032,-0.531445653565032,-0.531445653565032
2024-02-20,,-0.5250734132623076,-0.43162857830066137
2024-02-21,,-0.5187011729595832,-0.4308623586873405
2024-02-22,,-0.5123289326568589,-0.43010671810184353
2024-02-23,,-0.5059566923541344,-0.4293616063735028
2024-02-24,-0.49958445205141,-0.49958445205141,-0.49958445205141
2024-02-25,,-0.424783163455015,-0.427902768805621
2024-02-26,-0.34998187485862,-0.34998187485862,-0.34998187485862
2024-02-27,,-0.40397952013358296,-0.4264854446183551
2024-02-28,,-0.45797716540854594,-0.4257922246157844
2024-02-29,-0.5119748106835089,-0.5119748106835089,-0.5119748106835089
