date,NDWI_original,NDWI_linear,NDWI_spline
2024-01-01,,-0.023644908353608222,-0.21767080051425072
2024-01-02,-0.023644908353608222,-0.023644908353608222,-0.023644908353608222
2024-01-03,,-0.13845791810916838,-0.2199691828489885
2024-01-04,,-0.25327092786472855,-0.2211292918815451
2024-01-05,,-0.3680839376202887,-0.22229650908443707
2024-01-06,,-0.4828969473758489,-0.22347070665282226
2024-01-07,-0.5977099571314091,-0.5977099571314091,-0.5977099571314091
2024-01-08,,-0.4960904460720726,-0.22583953166670323
2024-01-09,,-0.3944709350127361,-0.22703390350251454
2024-01-10,-0.2928514239533996,-0.2928514239533996,-0.2928514239533996
2024-01-11,,-0.24367147306844153,-0.22944192680766737
2024-01-12,-0.19449152218348348,-0.19449152218348348,-0.19449152218348348
2024-01-13,,-0.15572067911939996,-0.2318748042585789
2024-01-14,,-0.11694983605531648,-0.23310024377658856
2024-01-15,,-0.07817899299123297,-0.23433151341651112
2024-01-16,,-0.03940814992714947,-0.23556848537350436
2024-01-17,-0.000637306863065954,-0.000637306863065954,-0.000637306863065954
2024-01-18,-0.11089216503832736,-0.11089216503832736,-0.11089216503832736
2024-01-19,,-0.0790245762099199,-0.23931233709848537
2024-01-20,,-0.04715698738151243,-0.2405708402753387
2024-01-21,,-0.01528939855310496,-0.2418344067450514
2024-01-22,0.016578190275302485,0.016578190275302485,0.016578190275302485
2024-01-23,,-0.13340840917820335,-0.24437621834368595
2024-01-24,,-0.2833950086317092,-0.24565420786292333
2024-01-25,,-0.43338160808521503,-0.2469367494556511
2024-01-26,-0.5833682075387209,-0.5833682075387209,-0.5833682075387209
2024-01-27,-0.024709647731371232,-0.024709647731371232,-0.024709647731371232
2024-01-28,,-0.13352786239418546,-0.25081040862635406
2024-01-29,,-0.2423460770569997,-0.25210988046462074
2024-01-30,,-0.35116429171981395,-0.2534132653521666
2024-01-31,,-0.45998250638262816,-0.25472043548414924
2024-02-01,-0.5688007210454423,-0.5688007210454423,-0.5688007210454423
2024-02-02,,-0.5123088522537995,-0.25734562026205626
2024-02-03,-0.45581698346215666,-0.45581698346215666,-0.45581698346215666
2024-02-04,,-0.33339679723062066,-0.25998441235960357
2024-02-05,,-0.21097661099908466,-0.2613085916411368
2024-02-06,-0.08855642476754866,-0.08855642476754866,-0.08855642476754866
2024-02-07,,-0.0942804861530019,-0.2639658776455109
2024-02-08,,-0.10000454753845514,-0.26529872875866733
2024-02-09,,-0.1057286089239084,-0.26663421487268035
2024-02-10,,-0.11145267030936164,-0.2679722081827076
2024-02-11,-0.11717673169481488,-0.11717673169481488,-0.11717673169481488
2024-02-12,,-0.12363837323999559,-0.2706552051714363
2024-02-13,,-0.1301000147851763,-0.27199995324045306
2024-02-14,,-0.13656165633035702,-0.27334669728611516
2024-02-15,,-0.14302329787553772,-0.2746953095035803
2024-02-16,-0.14948493942071844,-0.14948493942071844,-0.14948493942071844
2024-02-17,,-0.2813846896709292,-0.27739762723455075
2024-02-18,,-0.41328443992113995,-0.2787510771383716
2024-02-19,-0.5451841901713507,-0.5451841901713507,-0.5451841901713507
2024-02-20,,-0.5252876821967778,-0.28146191999847303
2024-02-21,-0.505391174222205,-0.505391174222205,-0.505391174222205
2024-02-22,,-0.4091311179207626,-0.2841771682295727
2024-02-23,,-0.31287106161932027,-0.2855361248471411
2024-02-24,,-0.2166110053178779,-0.2868957993929324
2024-02-25,,-0.1203509490164355,-0.2882560640621042
2024-02-26,-0.024090892714993116,-0.024090892714993116,-0.024090892714993116
2024-02-27,-0.028104950635962578,-0.028104950635962578,-0.028104950635962578
2024-02-28,,-0.0675797350527243,-0.29233912076148005
2024-02-29,,-0.107054519469486,-0.2937004678757514
2024-03-01,,-0.1465293038862477,-0.29506176608919205
2024-03-02,,-0.18600408830300943,-0.2964228875969596
2024-03-03,,-0.22547887271977116,-0.29778370459421194
2024-03-04,,-0.26495365713653285,-0.29914408927610675
2024-03-05,,-0.30442844155329457,-0.3005039138378019
2024-03-06,-0.3439032259700563,-0.3439032259700563,-0.3439032259700563
2024-03-07,-0.4373143234519539,-0.4373143234519539,-0.4373143234519539
2024-03-08,,-0.4358916458260233,-0.304578748753266
2024-03-09,,-0.4344689682000927,-0.3059350547857394
2024-03-10,,-0.433046290574162,-0.30729016167380196
2024-03-11,,-0.43162361294823137,-0.30864394161261116
2024-03-12,-0.43020093532230075,-0.43020093532230075,-0.43020093532230075
2024-03-13,,-0.43413626687989937,-0.31134700942310073
2024-03-14,-0.43807159843749804,-0.43807159843749804,-0.43807159843749804
2024-03-15,,-0.418475042968564,-0.3140432357784701
2024-03-16,,-0.39887848749962995,-0.3153884638983791
2024-03-17,-0.37928193203069593,-0.37928193203069593,-0.37928193203069593
2024-03-18,,-0.392712655415817,-0.31807251099843437
2024-03-19,,-0.4061433788009381,-0.3194110743688962
2024-03-20,,-0.4195741021860592,-0.3207471605465245
2024-03-21,,-0.43300482557118025,-0.32208064172647694
2024-03-22,-0.44643554895630133,-0.44643554895630133,-0.44643554895630133
2024-03-23,,-0.36834976592883295,-0.3247392778739855
2024-03-24,,-0.2902639829013646,-0.326064177231857
2024-03-25,,-0.21217819987389627,-0.32738596037268364
2024-03-26,,-0.13409241684642792,-0.3287044994916232
2024-03-27,-0.0560066338189596,-0.0560066338189596,-0.0560066338189596
2024-03-28,,-0.1372748204502307,-0.33133133444447216
2024-03-29,,-0.2185430070815018,-0.33263937466869703
2024-03-30,-0.29981119371277287,-0.29981119371277287,-0.29981119371277287
2024-03-31,,-0.3541979588083183,-0.33524406158853604
2024-04-01,-0.4085847239038637,-0.4085847239038637,-0.4085847239038637
2024-04-02,,-0.40857514216271945,-0.33783270510461283
2024-04-03,,-0.4085655604215752,-0.3391206910741347
2024-04-04,,-0.4085559786804309,-0.3404042827781892
2024-04-05,,-0.4085463969392867,-0.341683352411934
2024-04-06,-0.40853681519814244,-0.40853681519814244,-0.40853681519814244
2024-04-07,-0.4378541325254755,-0.4378541325254755,-0.4378541325254755
2024-04-08,,-0.3953267994194315,-0.3454921508428882
2024-04-09,,-0.35279946631338754,-0.3467518541469722
2024-04-10,,-0.31027213320734354,-0.3480063963565351
2024-04-11,-0.26774480010129953,-0.26774480010129953,-0.26774480010129953
2024-04-12,,-0.30818341678787353,-0.35049948627272937
2024-04-13,,-0.3486220334744476,-0.3517377783696762
2024-04-14,,-0.38906065016102165,-0.35297039815273307
2024-04-15,-0.42949926684759565,-0.42949926684759565,-0.42949926684759565
2024-04-16,-0.3927850234669135,-0.3927850234669135,-0.3927850234669135
2024-04-17,,-0.3939820344004419,-0.3566329455701419
2024-04-18,,-0.39517904533397025,-0.35784159804921667
2024-04-19,,-0.39637605626749856,-0.3590439391901903
2024-04-20,,-0.3975730672010269,-0.3602398411882205
2024-04-21,-0.3987700781345553,-0.3987700781345553,-0.3987700781345553
2024-04-22,,-0.3953603273041068,-0.36261181653608154
2024-04-23,-0.39195057647365833,-0.39195057647365833,-0.39195057647365833
2024-04-24,,-0.3935573458484178,-0.364956501654062
2024-04-25,,-0.3951641152231773,-0.3661182908647414
2024-04-26,-0.39677088459793675,-0.39677088459793675,-0.39677088459793675
2024-04-27,,-0.39817633429910276,-0.368420123565267
2024-04-28,,-0.39958178400026884,-0.36955991144542877
2024-04-29,,-0.40098723370143485,-0.37069210993906676
2024-04-30,,-0.4023926834026009,-0.37181659124133887
2024-05-01,-0.40379813310376694,-0.40379813310376694,-0.40379813310376694
2024-05-02,,-0.3893203379006381,-0.3740418910524162
2024-05-03,,-0.3748425426975092,-0.37514245395153695
2024-05-04,,-0.36036474749438036,-0.37623478843992264
2024-05-05,,-0.34588695229125155,-0.37731876671273124
2024-05-06,,-0.3314091570881227,-0.3783942609651203
2024-05-07,,-0.3169313618849938,-0.3794611433922476
