date,NDBI_original,NDBI_linear,NDBI_spline
2024-01-01,,-0.23802618796037361,-0.21934859789072605
2024-01-02,,-0.23802618796037361,-0.2182492349719822
2024-01-03,,-0.23802618796037361,-0.21716813440157762
2024-01-04,-0.23802618796037361,-0.23802618796037361,-0.23802618796037361
2024-01-05,,-0.24344822778746966,-0.21506029297854362
2024-01-06,,-0.2488702676145657,-0.21403333846229267
2024-01-07,,-0.25429230744166176,-0.2130242189671381
2024-01-08,,-0.2597143472687578,-0.2120328276612691
2024-01-09,-0.26513638709585385,-0.26513638709585385,-0.26513638709585385
2024-01-10,,-0.21090200407346357,-0.21010280229014502
2024-01-11,,-0.1566676210510733,-0.2091639545612684
2024-01-12,-0.10243323802868301,-0.10243323802868301,-0.10243323802868301
2024-01-13,,-0.16420148868476192,-0.2073380548578323
2024-01-14,-0.2259697393408408,-0.2259697393408408,-0.2259697393408408
2024-01-15,,-0.2323489285378882,-0.2055805039480806
2024-01-16,,-0.2387281177349356,-0.2047270922113096
2024-01-17,,-0.245107306931983,-0.2038904471775274
2024-01-18,,-0.2514864961290304,-0.20307046201492335
2024-01-19,-0.2578656853260778,-0.2578656853260778,-0.2578656853260778
2024-01-20,-0.17140624201869387,-0.17140624201869387,-0.17140624201869387
2024-01-21,,-0.20120387388968852,-0.20070939743607227
2024-01-22,,-0.23100150576068315,-0.19995498344007312
2024-01-23,,-0.2607991376316778,-0.19921669515619836
2024-01-24,-0.29059676950267244,-0.29059676950267244,-0.29059676950267244
2024-01-25,,-0.2591267129690924,-0.1977880683975789
2024-01-26,,-0.2276566564355123,-0.1970975162592127
2024-01-27,,-0.19618659990193224,-0.19642266250572787
2024-01-28,-0.16471654336835218,-0.16471654336835218,-0.16471654336835218
2024-01-29,,-0.18144654203027347,-0.1951196228261593
2024-01-30,,-0.19817654069219476,-0.19449122323645404
2024-01-31,,-0.21490653935411605,-0.19387809470438713
2024-02-01,,-0.23163653801603734,-0.19328013039814784
2024-02-02,,-0.24836653667795863,-0.19269722348592538
2024-02-03,-0.2650965353398799,-0.2650965353398799,-0.2650965353398799
2024-02-04,,-0.22195436227897156,-0.1915761545162881
2024-02-05,-0.1788121892180632,-0.1788121892180632,-0.1788121892180632
2024-02-06,,-0.20513371892925894,-0.1905140331409892
2024-02-07,,-0.23145524864045472,-0.1900048107216898
2024-02-08,-0.25777677835165047,-0.25777677835165047,-0.25777677835165047
2024-02-09,,-0.2516566291546715,-0.1890295082607373
2024-02-10,,-0.24553647995769257,-0.18856321455546274
2024-02-11,,-0.2394163307607136,-0.1881110167579082
2024-02-12,,-0.2332961815637347,-0.18767280803626307
2024-02-13,-0.22717603236675574,-0.22717603236675574,-0.22717603236675574
2024-02-14,,-0.2452071135553914,-0.18683793049345787
2024-02-15,,-0.2632381947440271,-0.18644104800867628
2024-02-16,,-0.28126927593266277,-0.18605772727256104
2024-02-17,,-0.29930035712129843,-0.18568786145330135
2024-02-18,-0.3173314383099341,-0.3173314383099341,-0.3173314383099341
2024-02-19,,-0.28139848717524674,-0.18498806723810596
2024-02-20,,-0.24546553604055932,-0.18465792517854865
2024-02-21,-0.20953258490587195,-0.20953258490587195,-0.20953258490587195
2024-02-22,,-0.23504860821929355,-0.18403661699646098
2024-02-23,-0.26056463153271514,-0.26056463153271514,-0.26056463153271514
2024-02-24,,-0.2537142792284196,-0.18346656451833782
2024-02-25,,-0.2468639269241241,-0.18320049208873593
2024-02-26,,-0.24001357461982856,-0.182946913089693
2024-02-27,,-0.23316322231553305,-0.18270572068939808
2024-02-28,-0.2263128700112375,-0.2263128700112375,-0.2263128700112375
2024-02-29,-0.15636917244439952,-0.15636917244439952,-0.15636917244439952
2024-03-01,,-0.1699755503849837,-0.18205539476289445
2024-03-02,,-0.18358192832556788,-0.18186268043948448
2024-03-03,,-0.19718830626615208,-0.18168181855576881
2024-03-04,-0.21079468420673625,-0.21079468420673625,-0.21079468420673625
2024-03-05,,-0.16039248405069856,-0.18135522478017752
2024-03-06,,-0.10999028389466085,-0.18120927922468041
2024-03-07,,-0.05958808373862315,-0.18107475878163465
2024-03-08,-0.009185883582585458,-0.009185883582585458,-0.009185883582585458
2024-03-09,-0.018837795954345864,-0.018837795954345864,-0.018837795954345864
2024-03-10,,-0.03426313016173556,-0.18073867980909789
2024-03-11,,-0.049688464369125246,-0.18064879149774996
2024-03-12,,-0.06511379857651495,-0.18056979413979965
2024-03-13,,-0.08053913278390462,-0.18050158090343618
2024-03-14,-0.09596446699129432,-0.09596446699129432,-0.09596446699129432
2024-03-15,,-0.09638503447239749,-0.18039707946822678
2024-03-16,-0.09680560195350067,-0.09680560195350067,-0.09680560195350067
2024-03-17,,-0.12673350807092912,-0.18033443253763573
2024-03-18,,-0.15666141418835755,-0.18031853743204526
2024-03-19,-0.18658932030578598,-0.18658932030578598,-0.18658932030578598
2024-03-20,,-0.1889969498978779,-0.18031706978122045
2024-03-21,,-0.19140457948996983,-0.18033128357236472
2024-03-22,,-0.1938122090820618,-0.18035531999879906
2024-03-23,,-0.1962198386741537,-0.18038907222871273
2024-03-24,-0.19862746826624564,-0.19862746826624564,-0.19862746826624564
2024-03-25,,-0.20321481553694923,-0.1804852967717351
2024-03-26,,-0.20780216280765282,-0.1805475554212223
2024-03-27,,-0.21238951007835644,-0.18061910254694583
2024-03-28,,-0.21697685734906003,-0.18069983131709494
2024-03-29,-0.22156420461976362,-0.22156420461976362,-0.22156420461976362
2024-03-30,,-0.18439957297370302,-0.18088840646342697
2024-03-31,,-0.14723494132764242,-0.18099603917598836
2024-04-01,-0.11007030968158182,-0.11007030968158182,-0.11007030968158182
2024-04-02,,-0.08272179447410034,-0.18123746072084806
2024-04-03,-0.05537327926661886,-0.05537327926661886,-0.05537327926661886
2024-04-04,,-0.06365460326580788,-0.1815130448799522
2024-04-05,,-0.07193592726499691,-0.181663380860319
2024-04-06,,-0.08021725126418593,-0.18182193699881466
2024-04-07,,-0.08849857526337496,-0.18198860646362838
2024-04-08,-0.09677989926256397,-0.09677989926256397,-0.09677989926256397
2024-04-09,-0.1372464162715498,-0.1372464162715498,-0.1372464162715498
2024-04-10,,-0.15199841582402393,-0.18253622649787046
2024-04-11,,-0.1667504153764981,-0.18273428094984903
2024-04-12,,-0.18150241492897223,-0.18293991456909192
2024-04-13,-0.19625441448144637,-0.19625441448144637,-0.19625441448144637
2024-04-14,,-0.19768869562484748,-0.18337349198212766
2024-04-15,,-0.19912297676824856,-0.18360122211229904
2024-04-16,,-0.20055725791164963,-0.18383610408249174
2024-04-17,-0.20199153905505074,-0.20199153905505074,-0.20199153905505074
2024-04-18,-0.1494707185823963,-0.1494707185823963,-0.1494707185823963
2024-04-19,,-0.1521757722678217,-0.18458259271509028
2024-04-20,,-0.1548808259532471,-0.1848450137272608
2024-04-21,,-0.15758587963867252,-0.1851140524203989
2024-04-22,,-0.1602909333240979,-0.18538960196269383
2024-04-23,-0.1629959870095233,-0.1629959870095233,-0.1629959870095233
2024-04-24,,-0.13600880020330258,-0.18595980626751113
2024-04-25,-0.10902161339708188,-0.10902161339708188,-0.10902161339708188
2024-04-26,,-0.12207300315480289,-0.18655477198722675
2024-04-27,,-0.1351243929125239,-0.18686127329814456
2024-04-28,-0.14817578267024492,-0.14817578267024492,-0.14817578267024492
2024-04-29,,-0.1513154628594932,-0.1874917786630464
2024-04-30,,-0.15445514304874153,-0.18781556905340893
2024-05-01,,-0.15759482323798982,-0.18814490880663154
2024-05-02,,-0.16073450342723813,-0.18847969109090346
2024-05-03,-0.16387418361648642,-0.16387418361648642,-0.16387418361648642
2024-05-04,,-0.1619673768871473,-0.1891651559253523
2024-05-05,,-0.16006057015780817,-0.18951562481190767
2024-05-06,,-0.15815376342846904,-0.18987110890226938
2024-05-07,,-0.1562469566991299,-0.1902315013646267
2024-05-08,-0.15434014996979079,-0.15434014996979079,-0.15434014996979079
2024-05-09,,-0.16202006290637552,-0.190966584078085
2024-05-10,,-0.16969997584296026,-0.1913410606655645
2024-05-11,-0.177379888779545,-0.177379888779545,-0.177379888779545
2024-05-12,,-0.16121128393291104,-0.19210335014297047
2024-05-13,-0.14504267908627708,-0.14504267908627708,-0.14504267908627708
2024-05-14,,-0.1495967866366193,-0.19288270914490074
2024-05-15,,-0.1541508941869615,-0.1932785226380356
2024-05-16,,-0.1587050017373037,-0.19367828301686926
2024-05-17,,-0.16325910928764592,-0.194081883449591
2024-05-18,-0.16781321683798814,-0.16781321683798814,-0.16781321683798814
2024-05-19,-0.11987560122361647,-0.11987560122361647,-0.11987560122361647
2024-05-20,,-0.1321221415705444,-0.19531465675297713
2024-05-21,,-0.14436868191747232,-0.19573254908314366
2024-05-22,,-0.15661522226440022,-0.1961537473081445
2024-05-23,-0.16886176261132815,-0.16886176261132815,-0.16886176261132815
2024-05-24,,-0.227348144939111,-0.19700563411540614
2024-05-25,,-0.28583452726689385,-0.1974361090340454
2024-05-26,,-0.3443209095946767,-0.19786946252027598
2024-05-27,-0.40280729192245956,-0.40280729192245956,-0.40280729192245956
2024-05-28,-0.11114383811536122,-0.11114383811536122,-0.11114383811536122
2024-05-29,,-0.10689122564945978,-0.19918572606640816
2024-05-30,,-0.10263861318355835,-0.1996295255048965
2024-05-31,,-0.09838600071765692,-0.20007566935192242
2024-06-01,,-0.09413338825175549,-0.20052405077567514
2024-06-02,-0.08988077578585406,-0.08988077578585406,-0.08988077578585406
2024-06-03,,-0.08832538829354764,-0.20142709902611805
2024-06-04,-0.08677000080124123,-0.08677000080124123,-0.08677000080124123
2024-06-05,,-0.10163167203427703,-0.20233781560173922
2024-06-06,,-0.11649334326731285,-0.20279578243196478
2024-06-07,,-0.13135501450034867,-0.2032553458480526
2024-06-08,,-0.14621668573338448,-0.203716399018192
2024-06-09,,-0.16107835696642028,-0.20417883511057225
2024-06-10,,-0.1759400281994561,-0.2046425472933825
2024-06-11,,-0.19080169943249192,-0.2051074287348121
2024-06-12,-0.20566337066552773,-0.20566337066552773,-0.20566337066552773
2024-06-13,,-0.19462727427144164,-0.20604027206628622
2024-06-14,,-0.18359117787735552,-0.2065080202927092
2024-06-15,,-0.17255508148326942,-0.20697651045050855
2024-06-16,,-0.16151898508918333,-0.2074456357078735
2024-06-17,,-0.1504828886950972,-0.20791528923299316
2024-06-18,,-0.13944679230101112,-0.2083853641940569
2024-06-19,,-0.128410695906925,-0.20885575375925391
2024-06-20,,-0.1173745995128389,-0.20932635109677353
2024-06-21,,-0.1063385031187528,-0.20979704937480495
2024-06-22,-0.09530240672466671,-0.09530240672466671,-0.09530240672466671
2024-06-23,,-0.18957030049583437,-0.21073832142516022
2024-06-24,,-0.283838194267002,-0.21120868153386255
2024-06-25,,-0.3781060880381697,-0.2116787152558337
2024-06-26,,-0.4723739818093374,-0.2121483157592629
2024-06-27,-0.566641875580505,-0.566641875580505,-0.566641875580505
2024-06-28,-0.16838207953818396,-0.16838207953818396,-0.16838207953818396
2024-06-29,,-0.16965878405759902,-0.21355344964019127
2024-06-30,,-0.17093548857701407,-0.21402024895134514
2024-07-01,,-0.1722121930964291,-0.21448608088490342
2024-07-02,-0.17348889761584416,-0.17348889761584416,-0.17348889761584416
2024-07-03,,-0.2913725016512607,-0.21541441529198976
2024-07-04,,-0.40925610568667736,-0.21587670410189627
2024-07-05,,-0.5271397097220939,-0.21633759820696422
2024-07-06,-0.6450233137575105,-0.6450233137575105,-0.6450233137575105
2024-07-07,-0.4503144994566225,-0.4503144994566225,-0.4503144994566225
2024-07-08,,-0.3816426564353876,-0.2177108439750283
2024-07-09,,-0.31297081341415267,-0.21816509094263392
2024-07-10,,-0.24429897039291776,-0.21861740904634705
2024-07-11,,-0.17562712737168285,-0.219067691454357
2024-07-12,-0.10695528435044793,-0.10695528435044793,-0.10695528435044793
2024-07-13,,-0.16932024553928407,-0.21996172185602433
2024-07-14,-0.2316852067281202,-0.2316852067281202,-0.2316852067281202
2024-07-15,,-0.28135568268975997,-0.22084632749314986
2024-07-16,,-0.3310261586513997,-0.22128482894548257
2024-07-17,,-0.38069663461303943,-0.22172065371124758
2024-07-18,,-0.4303671105746792,-0.22215369495863413
2024-07-19,,-0.48003758653631895,-0.22258384585583144
2024-07-20,,-0.5297080624979587,-0.2230109995710288
2024-07-21,,-0.5793785384595984,-0.22343504927241548
2024-07-22,-0.6290490144212382,-0.6290490144212382,-0.6290490144212382
2024-07-23,,-0.5978640412308387,-0.2242734093065137
2024-07-24,,-0.5666790680404391,-0.22468750597560375
2024-07-25,,-0.5354940948500395,-0.22509807130364018
2024-07-26,,-0.50430912165964,-0.22550499845881206
2024-07-27,-0.4731241484692405,-0.4731241484692405,-0.4731241484692405
2024-07-28,,-0.35880420802427965,-0.2263075109233195
2024-07-29,,-0.24448426757931882,-0.2267028825690335
2024-07-30,-0.130164327134358,-0.130164327134358,-0.130164327134358
2024-07-31,,-0.15992568634439747,-0.22748132252832842
2024-08-01,-0.1896870455544369,-0.1896870455544369,-0.1896870455544369
2024-08-02,,-0.19699113467147975,-0.2282426458327075
2024-08-03,,-0.2042952237885226,-0.22861662165977675
2024-08-04,,-0.21159931290556544,-0.2289859978276848
2024-08-05,,-0.2189034020226083,-0.22935066750462085
2024-08-06,-0.22620749113965113,-0.22620749113965113,-0.22620749113965113
2024-08-07,-0.28484301906531734,-0.28484301906531734,-0.28484301906531734
2024-08-08,,-0.2556829327286994,-0.23041536927148976
2024-08-09,,-0.22652284639208153,-0.23076014466643047
2024-08-10,,-0.1973627600554636,-0.23109967941134552
2024-08-11,-0.1682026737188457,-0.1682026737188457,-0.1682026737188457
2024-08-12,,-0.17309511667426494,-0.2317625996238554
2024-08-13,,-0.17798755962968416,-0.2320857714278287
2024-08-14,,-0.1828800025851034,-0.23240327525453336
2024-08-15,-0.18777244554052264,-0.18777244554052264,-0.18777244554052264
2024-08-16,-0.3468072603103643,-0.3468072603103643,-0.3468072603103643
2024-08-17,,-0.3176961173998565,-0.23332071055292752
2024-08-18,,-0.28858497448934867,-0.23361447415244985
2024-08-19,,-0.25947383157884085,-0.23390203561564965
2024-08-20,,-0.23036268866833298,-0.23418328811071631
2024-08-21,-0.20125154575782517,-0.20125154575782517,-0.20125154575782517
2024-08-22,,-0.37057199738449786,-0.23472643886920685
2024-08-23,-0.5398924490111705,-0.5398924490111705,-0.5398924490111705
2024-08-24,,-0.4994378904635306,-0.2352430717734356
2024-08-25,,-0.45898333191589064,-0.23549117695067487
2024-08-26,,-0.4185287733682507,-0.23573233216891643
2024-08-27,,-0.37807421482061077,-0.2359664305963495
2024-08-28,,-0.33761965627297086,-0.2361933654011634
2024-08-29,,-0.2971650977253309,-0.2364130297515473
2024-08-30,,-0.25671053917769093,-0.2366253168156905
2024-08-31,-0.21625598063005105,-0.21625598063005105,-0.21625598063005105
2024-09-01,,-0.2068483910493269,-0.23702733175801172
2024-09-02,,-0.1974408014686027,-0.23721684597256823
2024-09-03,,-0.18803321188787855,-0.23739855557364103
2024-09-04,,-0.1786256223071544,-0.23757235372941932
2024-09-05,,-0.1692180327264302,-0.23773813360809248
2024-09-06,,-0.15981044314570605,-0.23789578837784958
2024-09-07,,-0.1504028535649819,-0.23804521120688
2024-09-08,-0.1409952639842577,-0.1409952639842577,-0.1409952639842577
2024-09-09,,-0.17540574231797545,-0.23831893371551763
2024-09-10,-0.20981622065169317,-0.20981622065169317,-0.20981622065169317
2024-09-11,,-0.19848730943201945,-0.23855844647951951
2024-09-12,,-0.1871583982123457,-0.23866510712775504
2024-09-13,,-0.17582948699267198,-0.23876289484439936
2024-09-14,,-0.16450057577299826,-0.2388517027976417
2024-09-15,,-0.1531716645533245,-0.23893142415567134
2024-09-16,,-0.1418427533336508,-0.2390019520866775
2024-09-17,,-0.13051384211397704,-0.2390631797588494
2024-09-18,,-0.11918493089430332,-0.23911500034037636
2024-09-19,,-0.10785601967462959,-0.23915730699944754
2024-09-20,,-0.09652710845495585,-0.2391899929042523
2024-09-21,,-0.08519819723528213,-0.2392129512229798
2024-09-22,,-0.07386928601560841,-0.2392260751238194
2024-09-23,,-0.06254037479593466,-0.23922925777496018
2024-09-24,-0.05121146357626094,-0.05121146357626094,-0.05121146357626094
2024-09-25,-0.02766936835735217,-0.02766936835735217,-0.02766936835735217
2024-09-26,,-0.029473457631519658,-0.23917808991208278
2024-09-27,,-0.03127754690568715,-0.23914043924632122
2024-09-28,,-0.033081636179854636,-0.23909231317180707
2024-09-29,,-0.034885725454022125,-0.23903360485672975
2024-09-30,-0.036689814728189614,-0.036689814728189614,-0.036689814728189614
2024-10-01,,-0.14717750674207605,-0.2388840141776424
2024-10-02,-0.2576651987559625,-0.2576651987559625,-0.2576651987559625
2024-10-03,,-0.2930068855800983,-0.2386908125545732
2024-10-04,,-0.32834857240423404,-0.23857759055951847
2024-10-05,-0.36369025922836984,-0.36369025922836984,-0.36369025922836984
2024-10-06,,-0.337665837287675,-0.23831737004331507
2024-10-07,,-0.3116414153469802,-0.23817015785854492
2024-10-08,,-0.2856169934062853,-0.23801140194691478
2024-10-09,,-0.2595925714655905,-0.23784099547661386
2024-10-10,-0.23356814952489569,-0.23356814952489569,-0.23356814952489569
2024-10-11,,-0.25480080632006663,-0.23746480353275692
2024-10-12,,-0.2760334631152375,-0.23725880439557934
2024-10-13,,-0.29726611991040847,-0.23704072737248805
2024-10-14,,-0.31849877670557936,-0.23681046563167218
2024-10-15,-0.3397314335007503,-0.3397314335007503,-0.3397314335007503
2024-10-16,,-0.276562138577183,-0.23631296066962418
2024-10-17,,-0.21339284365361566,-0.23604550378477038
2024-10-18,-0.15022354873004834,-0.15022354873004834,-0.15022354873004834
2024-10-19,,-0.20990506795195502,-0.23547264704834964
2024-10-20,-0.2695865871738617,-0.2695865871738617,-0.2695865871738617
2024-10-21,,-0.23816829013393567,-0.23484848747757292
2024-10-22,,-0.20674999309400965,-0.2345169020497742
2024-10-23,,-0.17533169605408366,-0.23417217041795424
2024-10-24,,-0.14391339901415764,-0.23381418575030233
2024-10-25,-0.11249510197423163,-0.11249510197423163,-0.11249510197423163
2024-10-26,-0.21979107422786337,-0.21979107422786337,-0.21979107422786337
2024-10-27,,-0.1997120665597408,-0.2326596452142471
2024-10-28,,-0.17963305889161824,-0.23224758008515972
2024-10-29,,-0.1595540512234957,-0.23182172776118654
2024-10-30,-0.13947504355537313,-0.13947504355537313,-0.13947504355537313
2024-10-31,,-0.11791815323007898,-0.23092823420134004
2024-11-01,,-0.09636126290478483,-0.23046037930184515
2024-11-02,,-0.0748043725794907,-0.22997830988022155
2024-11-03,-0.05324748225419655,-0.05324748225419655,-0.05324748225419655
2024-11-04,-0.41698628449762454,-0.41698628449762454,-0.41698628449762454
2024-11-05,,-0.38272761713588954,-0.22844574616447078
2024-11-06,,-0.34846894977415455,-0.22790575033622473
2024-11-07,,-0.31421028241241955,-0.22735100582679613
2024-11-08,,-0.27995161505068455,-0.22678140580437436
2024-11-09,-0.24569294768894953,-0.24569294768894953,-0.24569294768894953
2024-11-10,,-0.19459735733787392,-0.22559721189330795
2024-11-11,-0.1435017669867983,-0.1435017669867983,-0.1435017669867983
2024-11-12,,-0.11899213886217226,-0.22435231394853963
2024-11-13,,-0.09448251073754621,-0.22370683388399032
2024-11-14,-0.06997288261292015,-0.06997288261292015,-0.06997288261292015
2024-11-15,,-0.07919555671600166,-0.2223692774115077
2024-11-16,,-0.08841823081908318,-0.22167698733995295
2024-11-17,,-0.0976409049221647,-0.22096888026910816
2024-11-18,,-0.10686357902524622,-0.22024484936716265
2024-11-19,-0.11608625312832774,-0.11608625312832774,-0.11608625312832774
2024-11-20,,-0.10558283246201883,-0.2187485887427263
2024-11-21,,-0.09507941179570993,-0.21797614535661403
2024-11-22,,-0.08457599112940102,-0.217187350812158
2024-11-23,,-0.07407257046309212,-0.21638209827754745
2024-11-24,-0.06356914979678321,-0.06356914979678321,-0.06356914979678321
2024-11-25,,-0.07643776346645943,-0.21472179191061988
2024-11-26,,-0.08930637713613564,-0.21386652441468135
2024-11-27,-0.10217499080581185,-0.10217499080581185,-0.10217499080581185
2024-11-28,,-0.13616490211723287,-0.21210522663880105
2024-11-29,-0.1701548134286539,-0.1701548134286539,-0.1701548134286539
2024-11-30,,-0.18198097884009118,-0.21027553293884466
2024-12-01,,-0.19380714425152845,-0.2093347705378112
2024-12-02,,-0.20563330966296572,-0.20837658866032632
2024-12-03,,-0.21745947507440297,-0.20740088047457955
2024-12-04,-0.22928564048584024,-0.22928564048584024,-0.22928564048584024
2024-12-05,-0.01535043526655868,-0.01535043526655868,-0.01535043526655868
2024-12-06,,-0.11396365114313681,-0.20436752974965963
2024-12-07,,-0.21257686701971493,-0.2033206480127573
2024-12-08,,-0.311190082896293,-0.2022557058085392
2024-12-09,-0.40980329877287114,-0.40980329877287114,-0.40980329877287114
2024-12-10,,-0.39170928609495637,-0.20007121267091282
2024-12-11,,-0.37361527341704154,-0.19895144807388293
2024-12-12,,-0.3555212607391267,-0.19781319568229433
2024-12-13,-0.33742724806121194,-0.33742724806121194,-0.33742724806121194
2024-12-14,-0.19536664731964443,-0.19536664731964443,-0.19536664731964443
2024-12-15,,-0.2307178626631697,-0.1942864434220685
2024-12-16,,-0.266069078006695,-0.19307317153413733
2024-12-17,,-0.3014202933502203,-0.1918408776925937
2024-12-18,,-0.3367715086937456,-0.19058945506562677
2024-12-19,-0.37212272403727087,-0.37212272403727087,-0.37212272403727087
2024-12-20,,-0.33601047226983827,-0.18802879612818024
2024-12-21,-0.29989822050240567,-0.29989822050240567,-0.29989822050240567
2024-12-22,,-0.28287120246391595,-0.1853903400673116
2024-12-23,,-0.26584418442542623,-0.1840416710360671
2024-12-24,-0.24881716638693652,-0.24881716638693652,-0.24881716638693652
2024-12-25,,-0.24051537989808913,-0.18128491681290418
2024-12-26,,-0.23221359340924175,-0.17987661795736423
2024-12-27,,-0.22391180692039436,-0.1784482288301042
2024-12-28,,-0.21561002043154698,-0.17699964259931344
2024-12-29,-0.2073082339426996,-0.2073082339426996,-0.2073082339426996
2024-12-30,,-0.2073082339426996,-0.1740414514998966
2024-12-31,,-0.2073082339426996,-0.17253163296764912
2025-01-01,,-0.2073082339426996,-0.1710011900046277
