date,NDWI_original,NDWI_linear,NDWI_spline
2024-01-01,,-0.20813074971424833,-0.27537484964963455
2024-01-02,,-0.20813074971424833,-0.2762276524371399
2024-01-03,,-0.20813074971424833,-0.27707442059471454
2024-01-04,-0.20813074971424833,-0.20813074971424833,-0.20813074971424833
2024-01-05,,-0.19868795889474833,-0.278749866764007
2024-01-06,,-0.18924516807524833,-0.2795785516476919
2024-01-07,,-0.17980237725574832,-0.28040121564538106
2024-01-08,,-0.1703595864362483,-0.281217862193058
2024-01-09,-0.1609167956167483,-0.1609167956167483,-0.1609167956167483
2024-01-10,,-0.1845737488513058,-0.2828331166823098
2024-01-11,,-0.2082307020858633,-0.2836317314958522
2024-01-12,-0.23188765532042083,-0.23188765532042083,-0.23188765532042083
2024-01-13,,-0.16961561730153915,-0.28521095344068775
2024-01-14,-0.10734357928265748,-0.10734357928265748,-0.10734357928265748
2024-01-15,,-0.17197698555034105,-0.2867661880490825
2024-01-16,,-0.23661039181802462,-0.2875348186920738
2024-01-17,,-0.3012437980857082,-0.2882974628089058
2024-01-18,,-0.36587720435339177,-0.28905412383556234
2024-01-19,-0.4305106106210753,-0.4305106106210753,-0.4305106106210753
2024-01-20,-0.39676916744001844,-0.39676916744001844,-0.39676916744001844
2024-01-21,,-0.3045015938547163,-0.2912882427343153
2024-01-22,,-0.21223402026941418,-0.29202100576010637
2024-01-23,,-0.11996644668411205,-0.29274780287564023
2024-01-24,-0.027698873098809907,-0.027698873098809907,-0.027698873098809907
2024-01-25,,-0.11245470689244179,-0.294183513119871
2024-01-26,,-0.1972105406860737,-0.2948924331205353
2024-01-27,,-0.2819663744797056,-0.29559540095487713
2024-01-28,-0.36672220827333746,-0.36672220827333746,-0.36672220827333746
2024-01-29,,-0.39969995548086024,-0.2969834938685277
2024-01-30,,-0.432677702688383,-0.29766862581980397
2024-01-31,,-0.4656554498959058,-0.2983478193486923
2024-02-01,,-0.49863319710342857,-0.29902107789117655
2024-02-02,,-0.5316109443109513,-0.2996884048832402
2024-02-03,-0.5645886915184741,-0.5645886915184741,-0.5645886915184741
2024-02-04,,-0.49328746866561435,-0.30100527796004073
2024-02-05,-0.4219862458127545,-0.4219862458127545,-0.4219862458127545
2024-02-06,,-0.46855619633572665,-0.30229846606696326
2024-02-07,,-0.5151261468586987,-0.3029361868466794
2024-02-08,-0.5616960973816709,-0.5616960973816709,-0.5616960973816709
2024-02-09,,-0.47403979507881777,-0.30419389903854
2024-02-10,,-0.38638349277596457,-0.3048138973226517
2024-02-11,,-0.29872719047311136,-0.30542799498019585
2024-02-12,,-0.2110708881702582,-0.30603619544715616
2024-02-13,-0.12341458586740503,-0.12341458586740503,-0.12341458586740503
2024-02-14,,-0.1059937027602042,-0.3072349185532602
2024-02-15,,-0.08857281965300337,-0.30782544806437107
2024-02-16,,-0.07115193654580255,-0.30841009412883275
2024-02-17,,-0.053731053438601725,-0.308988860182629
2024-02-18,-0.036310170331400896,-0.036310170331400896,-0.036310170331400896
2024-02-19,,-0.1568542307337209,-0.31012876600215983
2024-02-20,,-0.2773982911360409,-0.31068991263986157
2024-02-21,-0.3979423515383609,-0.3979423515383609,-0.3979423515383609
2024-02-22,,-0.42529221015766755,-0.3117946105510564
2024-02-23,-0.4526420687769742,-0.4526420687769742,-0.4526420687769742
2024-02-24,,-0.4489691921392692,-0.31287587088319746
2024-02-25,,-0.44529631550156423,-0.3134077205470818
2024-02-26,,-0.4416234388638592,-0.3139337211241538
