date,NDWI_original,NDWI_linear,NDWI_spline
2014-01-01,,-0.4839038538903918,-0.350390648361662
2014-01-02,,-0.4839038538903918,-0.35030931548443384
2014-01-03,,-0.4839038538903918,-0.35022808945793144
2014-01-04,,-0.4839038538903918,-0.3501469702272139
2014-01-05,,-0.4839038538903918,-0.35006595773734
2014-01-06,-0.4839038538903918,-0.4839038538903918,-0.4839038538903918
2014-01-07,,-0.4820572361344703,-0.34990425276036063
2014-01-08,,-0.48021061837854884,-0.3498235601633732
2014-01-09,,-0.4783640006226274,-0.34974297408746624
2014-01-10,,-0.4765173828667059,-0.34966249447769876
2014-01-11,,-0.47467076511078443,-0.3495821212791297
2014-01-12,,-0.472824147354863,-0.3495018544368186
2014-01-13,,-0.4709775295989415,-0.34942169389582434
2014-01-14,,-0.46913091184302,-0.34934163960120596
2014-01-15,,-0.46728429408709854,-0.34926169149802283
2014-01-16,,-0.46543767633117705,-0.34918184953133374
2014-01-17,,-0.4635910585752556,-0.34910211364619803
2014-01-18,,-0.46174444081933413,-0.3490224837876748
2014-01-19,,-0.45989782306341265,-0.34894295990082314
2014-01-20,,-0.4580512053074912,-0.3488635419307021
2014-01-21,,-0.45620458755156973,-0.348784229822371
2014-01-22,-0.45435796979564824,-0.45435796979564824,-0.45435796979564824
2014-01-23,,-0.45177165968071104,-0.3486259229713145
2014-01-24,,-0.44918534956577383,-0.34854692811870763
2014-01-25,,-0.4465990394508366,-0.3484680389081269
2014-01-26,,-0.4440127293358994,-0.3483892552846315
2014-01-27,,-0.44142641922096226,-0.34831057719328073
2014-01-28,,-0.43884010910602506,-0.3482320045791335
2014-01-29,,-0.43625379899108785,-0.3481535373872492
2014-01-30,,-0.43366748887615064,-0.34807517556268674
2014-01-31,,-0.43108117876121343,-0.3479969190505053
2014-02-01,,-0.42849486864627623,-0.3479187677957639
2014-02-02,,-0.425908558531339,-0.3478407217435218
2014-02-03,,-0.42332224841640187,-0.34776278083883816
2014-02-04,,-0.42073593830146466,-0.3476849450267719
2014-02-05,,-0.41814962818652746,-0.3476072142523824
2014-02-06,,-0.41556331807159025,-0.34752958846072846
2014-02-07,-0.41297700795665304,-0.41297700795665304,-0.41297700795665304
2014-02-08,,-0.4000473581810005,-0.34737465160586434
2014-02-09,,-0.387117708405348,-0.34729734043277233
2014-02-10,,-0.3741880586296954,-0.3472201340226525
2014-02-11,,-0.36125840885404287,-0.34714303232056415
2014-02-12,,-0.34832875907839034,-0.3470660352715662
2014-02-13,,-0.3353991093027378,-0.3469891428207177
2014-02-14,,-0.3224694595270853,-0.346912354913078
2014-02-15,,-0.30953980975143275,-0.34683567149370603
2014-02-16,,-0.2966101599757802,-0.346759092507661
2014-02-17,,-0.28368051020012763,-0.3466826179000021
2014-02-18,,-0.27075086042447516,-0.34660624761578823
2014-02-19,,-0.2578212106488226,-0.3465299816000787
2014-02-20,,-0.24489156087317004,-0.3464538197979326
2014-02-21,,-0.23196191109751751,-0.34637776215440896
2014-02-22,,-0.21903226132186496,-0.34630180861456705
2014-02-23,-0.20610261154621243,-0.20610261154621243,-0.20610261154621243
2014-02-24,,-0.1952147361791802,-0.3461502136261646
2014-02-25,,-0.18432686081214797,-0.3460745720677224
2014-02-26,,-0.17343898544511574,-0.34599903439319823
2014-02-27,,-0.1625511100780835,-0.3459236005476513
2014-02-28,,-0.15166323471105128,-0.34584827047614064
2014-03-01,,-0.14077535934401905,-0.3457730441237257
2014-03-02,,-0.12988748397698682,-0.34569792143546524
2014-03-03,,-0.1189996086099546,-0.34562290235641846
2014-03-04,,-0.10811173324292236,-0.3455479868316446
2014-03-05,,-0.09722385787589014,-0.3454731748062026
2014-03-06,,-0.0863359825088579,-0.3453984662251518
2014-03-07,,-0.07544810714182568,-0.3453238610335511
2014-03-08,,-0.06456023177479345,-0.3452493591764599
2014-03-09,,-0.05367235640776122,-0.34517496059893704
2014-03-10,,-0.04278448104072899,-0.34510066524604177
2014-03-11,-0.03189660567369676,-0.03189660567369676,-0.03189660567369676
2014-03-12,,-0.053249562268957024,-0.34495238399437017
2014-03-13,,-0.07460251886421729,-0.34487839798571235
2014-03-14,,-0.09595547545947755,-0.34480451498191855
2014-03-15,,-0.11730843205473782,-0.3447307349280478
2014-03-16,,-0.13866138864999808,-0.34465705776915945
2014-03-17,,-0.16001434524525834,-0.34458348345031237
2014-03-18,,-0.1813673018405186,-0.3445100119165658
2014-03-19,,-0.20272025843577887,-0.34443664311297906
2014-03-20,,-0.22407321503103914,-0.3443633769846109
2014-03-21,,-0.2454261716262994,-0.3442902134765206
2014-03-22,,-0.2667791282215597,-0.3442171525337675
2014-03-23,,-0.28813208481681996,-0.3441441941014104
2014-03-24,,-0.3094850414120802,-0.3440713381245085
2014-03-25,,-0.3308379980073405,-0.3439985845481211
2014-03-26,,-0.35219095460260075,-0.34392593331730703
2014-03-27,-0.37354391119786096,-0.37354391119786096,-0.37354391119786096
2014-03-28,,-0.3713468672436332,-0.3437809376726359
2014-03-29,,-0.36914982328940543,-0.3437085931488971
2014-03-30,,-0.36695277933517767,-0.34363635075096816
2014-03-31,,-0.36475573538094996,-0.34356421042390833
2014-04-01,,-0.3625586914267222,-0.34349217211277666
2014-04-02,,-0.36036164747249444,-0.3434202357626324
2014-04-03,,-0.3581646035182667,-0.3433484013185346
2014-04-04,,-0.3559675595640389,-0.34327666872554224
2014-04-05,,-0.35377051560981115,-0.3432050379287146
2014-04-06,,-0.3515734716555834,-0.34313350887311084
2014-04-07,,-0.34937642770135563,-0.34306208150378986
2014-04-08,,-0.34717938374712787,-0.34299075576581095
2014-04-09,,-0.34498233979290016,-0.3429195316042333
2014-04-10,,-0.3427852958386724,-0.3428484089641159
2014-04-11,,-0.34058825188444464,-0.3427773877905177
2014-04-12,-0.3383912079302169,-0.3383912079302169,-0.3383912079302169
2014-04-13,,-0.3365523927513909,-0.3426356496231163
2014-04-14,,-0.3347135775725649,-0.3425649325194312
2014-04-15,,-0.332874762393739,-0.34249431666250196
2014-04-16,,-0.33103594721491303,-0.3424238019973877
2014-04-17,,-0.329197132036087,-0.34235338846914753
2014-04-18,,-0.3273583168572611,-0.3422830760228407
2014-04-19,,-0.32551950167843513,-0.3422128646035261
2014-04-20,,-0.3236806864996091,-0.342142754156263
2014-04-21,,-0.3218418713207832,-0.3420727446261105
2014-04-22,,-0.32000305614195723,-0.3420028359581277
2014-04-23,,-0.3181642409631313,-0.3419330280973738
2014-04-24,,-0.3163254257843053,-0.34186332098890787
2014-04-25,,-0.31448661060547933,-0.3417937145777889
2014-04-26,,-0.3126477954266534,-0.34172420880907617
2014-04-27,,-0.3108089802478274,-0.34165480362782874
2014-04-28,-0.30897016506900143,-0.30897016506900143,-0.30897016506900143
2014-04-29,,-0.31222166513065375,-0.34151629480796636
2014-04-30,,-0.31547316519230606,-0.34144719105946963
2014-05-01,,-0.3187246652539584,-0.3413781876786746
2014-05-02,,-0.3219761653156107,-0.34130928461064064
2014-05-03,,-0.325227665377263,-0.3412404818004266
2014-05-04,,-0.3284791654389153,-0.3411717791930918
2014-05-05,,-0.3317306655005676,-0.34110317673369517
2014-05-06,,-0.33498216556221994,-0.34103467436729595
2014-05-07,,-0.33823366562387225,-0.34096627203895324
2014-05-08,,-0.34148516568552456,-0.3408979696937262
2014-05-09,,-0.3447366657471769,-0.3408297672766739
2014-05-10,,-0.3479881658088292,-0.3407616647328556
2014-05-11,,-0.3512396658704815,-0.34069366200733003
2014-05-12,,-0.3544911659321338,-0.3406257590451568
2014-05-13,,-0.3577426659937861,-0.34055795579139464
