date,NDWI_original,NDWI_linear,NDWI_spline
2014-01-01,,-0.03415683483630448,-0.34912899955401305
2014-01-02,,-0.03415683483630448,-0.3492232964067706
2014-01-03,,-0.03415683483630448,-0.34931752436757085
2014-01-04,,-0.03415683483630448,-0.3494116834568731
2014-01-05,,-0.03415683483630448,-0.34950577369513675
2014-01-06,-0.03415683483630448,-0.03415683483630448,-0.03415683483630448
2014-01-07,,-0.035159516401559544,-0.34969374770038686
2014-01-08,,-0.03616219796681461,-0.3497876315082921
2014-01-09,,-0.03716487953206967,-0.34988144654699704
2014-01-10,,-0.038167561097324734,-0.34997519283696094
2014-01-11,,-0.03917024266257979,-0.35006887039864326
2014-01-12,,-0.040172924227834854,-0.35016247925250366
2014-01-13,,-0.04117560579308992,-0.3502560194190016
2014-01-14,,-0.04217828735834498,-0.35034949091859646
2014-01-15,-0.043180968923600044,-0.043180968923600044,-0.043180968923600044
2014-01-16,,-0.11787196876912323,-0.3505362279989154
2014-01-17,,-0.19256296861464642,-0.35062949362055834
2014-01-18,,-0.2672539684601696,-0.35072269065713624
2014-01-19,,-0.34194496830569276,-0.3508158191291087
2014-01-20,,-0.41663596815121595,-0.350908879056935
2014-01-21,,-0.49132696799673914,-0.35100187046107506
2014-01-22,-0.5660179678422623,-0.5660179678422623,-0.5660179678422623
2014-01-23,,-0.5520821017754869,-0.3511876477801333
2014-01-24,,-0.5381462357087115,-0.3512804337359708
2014-01-25,,-0.5242103696419359,-0.3513731512499596
2014-01-26,,-0.5102745035751605,-0.35146580034255936
2014-01-27,,-0.496338637508385,-0.35155838103422976
2014-01-28,,-0.4824027714416096,-0.35165089334542987
2014-01-29,,-0.4684669053748341,-0.3517433372966196
2014-01-30,,-0.4545310393080586,-0.3518357129082585
2014-01-31,-0.44059517324128317,-0.44059517324128317,-0.44059517324128317
2014-02-01,,-0.47114966515902307,-0.3520202591947207
2014-02-02,,-0.501704157076763,-0.3521124299104633
2014-02-03,,-0.5322586489945028,-0.35220453236849286
2014-02-04,,-0.5628131409122428,-0.35229656658926883
2014-02-05,,-0.5933676328299826,-0.35238853259325087
2014-02-06,,-0.6239221247477225,-0.3524804304008982
2014-02-07,-0.6544766166654624,-0.6544766166654624,-0.6544766166654624
2014-02-08,,-0.5894533064399152,-0.3526640215090273
2014-02-09,,-0.5244299962143679,-0.352755714850428
2014-02-10,,-0.45940668598882073,-0.35284734007733215
2014-02-11,,-0.39438337576327354,-0.3529388972101993
2014-02-12,,-0.32936006553772634,-0.35303038626948874
2014-02-13,,-0.2643367553121791,-0.35312180727566017
2014-02-14,,-0.19931344508663185,-0.3532131602491731
2014-02-15,,-0.13429013486108465,-0.3533044452104869
2014-02-16,-0.06926682463553747,-0.06926682463553747,-0.06926682463553747
2014-02-17,,-0.06038699600479344,-0.3534868111783551
2014-02-18,,-0.0515071673740494,-0.3535778922258286
2014-02-19,,-0.04262733874330536,-0.35366890534294104
2014-02-20,,-0.03374751011256133,-0.35375985055015197
2014-02-21,,-0.024867681481817297,-0.3538507278679207
2014-02-22,,-0.015987852851073257,-0.3539415373167068
2014-02-23,-0.007108024220329221,-0.007108024220329221,-0.007108024220329221
2014-02-24,,-0.007117460079888958,-0.3541229526891693
2014-02-25,,-0.007126895939448695,-0.3542135586537647
2014-02-26,,-0.007136331799008432,-0.3543040968312154
2014-02-27,,-0.0071457676585681695,-0.35439456724198104
2014-02-28,,-0.007155203518127907,-0.35448496990652095
2014-03-01,,-0.007164639377687644,-0.3545753048452949
2014-03-02,,-0.007174075237247381,-0.3546655720787622
2014-03-03,,-0.007183511096807118,-0.3547557716273823
2014-03-04,,-0.007192946956366856,-0.3548459035116147
2014-03-05,,-0.007202382815926593,-0.35493596775191916
2014-03-06,,-0.00721181867548633,-0.3550259643687549
2014-03-07,,-0.007221254535046067,-0.35511589338258154
2014-03-08,,-0.007230690394605804,-0.3552057548138586
2014-03-09,,-0.007240126254165541,-0.35529554868304536
2014-03-10,,-0.0072495621137252785,-0.3553852750106016
2014-03-11,-0.007258997973285016,-0.007258997973285016,-0.007258997973285016
