YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,30,21.2,81,2,360,35,0.566849136,0.224803744,19.50177241,28.11416905,0.198947409,-0.269198639,-0.196177061,-0.030985048,0.826976471,-0.037234241,-0.092427448
2014,1,2,29.8,20.5,86,2,340,27.6,0.566849136,0.224771164,16.90811206,27.46615732,0.198947409,-0.269576669,-0.196177061,-0.030783615,0.360676471,-0.037234241,-0.092583764
2014,1,3,29.4,20.5,80,1,180,30.9,0.566849136,0.224738601,16.67220543,28.99923005,0.198947409,-0.269954186,-0.196177061,-0.030582466,0.742958431,-0.037234241,-0.092740008
2014,1,4,30.1,20.5,82,1,360,38.2,0.566849136,0.224706053,20.08981987,29.83350391,0.198947409,-0.270331189,-0.196177061,-0.030381601,0.839205882,-0.037234241,-0.092896178
2014,1,5,31,21,83,1,180,32.4,0.566849136,0.224673521,19.32986083,28.32322315,0.198947409,-0.270707681,-0.196177061,-0.030181019,0.803892157,-0.037234241,-0.093052275
2014,1,6,26,21.1,92,1,160,26,0.566849136,0.566849136,19.67575001,26.36136292,0.198947409,0.198947409,-0.196177061,-0.196177061,0.004339216,-0.037234241,-0.037234241
2014,1,7,26,20.2,89,3,180,25.8,0.537052389,0.224608505,18.96647461,25.92941398,0.197935206,-0.271459128,-0.180367281,-0.029780707,-0.0037,-0.050522522,-0.09336425
2014,1,8,27.5,20.8,86,1,140,29.6,0.507255642,0.224576021,19.80904709,26.61762806,0.196923002,-0.271834084,-0.164557502,-0.029580976,0.052736471,-0.063810804,-0.093520128
2014,1,9,29,19,82,1,180,31.9,0.477458895,0.224543552,19.0238863,26.53768963,0.195910799,-0.272208528,-0.148747722,-0.029381527,0.325774118,-0.077099085,-0.093675933
2014,1,10,23.4,19,93,2,160,20.3,0.447662148,0.224511099,17.75585576,23.84505934,0.194898596,-0.272582461,-0.132937943,-0.029182362,-0.002644314,-0.090387366,-0.093831664
2014,1,11,22.5,20,87,2,180,22.1,0.417865401,0.224478663,17.68918715,23.54980414,0.193886393,-0.272955884,-0.117128163,-0.028983479,0.00812549,-0.103675648,-0.093987323
2014,1,12,26.5,19,84,2,360,25.8,0.388068654,0.224446242,18.14822467,24.37764648,0.19287419,-0.273328796,-0.101318384,-0.02878488,0.016735686,-0.116963929,-0.094142908
2014,1,13,24.9,19.4,79,4,360,24.9,0.358271907,0.224413837,17.5534289,23.37213508,0.191861987,-0.273701197,-0.085508604,-0.028586562,-0.007956863,-0.13025221,-0.09429842
2014,1,14,25,19.5,78,3,360,25.7,0.32847516,0.224381447,17.85402886,27.77822177,0.190849784,-0.274073088,-0.069698825,-0.028388527,0.065818824,-0.143540492,-0.09445386
2014,1,15,27.2,19.5,77,4,360,25.9,0.298678413,0.224349074,16.58948904,25.25169913,0.18983758,0.18983758,-0.053889045,-0.028190774,0.105092549,-0.156828773,-0.094609226
2014,1,16,24.8,19,70,4,360,25,0.268881666,0.224316716,16.9819321,23.69843899,0.141441999,-0.274815342,-0.038079266,-0.027993303,0.047337647,-0.170117054,-0.094764519
2014,1,17,26.4,18.9,72,3,360,26.1,0.239084919,0.224284374,16.17833803,25.36006149,0.093046418,-0.275185705,-0.022269486,-0.027796114,0.09793098,-0.183405335,-0.094919739
2014,1,18,25.2,19,74,6,360,26,0.209288173,0.224252048,16.39754685,23.82272175,0.044650836,-0.275555559,-0.006459707,-0.027599207,0.023750196,-0.196693617,-0.095074886
2014,1,19,22.8,18,78,4,360,23,0.179491426,0.224219738,15.17322557,22.9754277,-0.003744745,-0.275924904,0.009350073,-0.027402582,0.016763922,-0.209981898,-0.095229959
2014,1,20,26,18.4,70,2,360,25.8,0.149694679,0.224187444,15.00236527,25.24092622,-0.052140327,-0.27629374,0.025159852,-0.027206237,0.128958039,-0.223270179,-0.09538496
2014,1,21,26,19.6,73,2,360,26,0.119897932,0.224155166,16.99504581,26.82670438,-0.100535908,-0.276662068,0.040969632,-0.027010174,0.086709412,-0.236558461,-0.095539888
2014,1,22,27,18.5,72,4,360,26.5,0.090101185,0.090101185,16.50477736,26.06108057,-0.148931489,-0.148931489,0.056779411,0.056779411,0.279627843,-0.249846742,-0.249846742
2014,1,23,25.6,17.5,74,2,360,24.9,0.087557874,0.224090656,15.22647821,23.89431463,-0.163650634,-0.277397201,0.075779514,-0.026618892,0.030927843,-0.227250233,-0.095849524
2014,1,24,27.5,17.4,73,1,360,28.3,0.085014564,0.224058426,13.5124915,23.88259263,-0.178369778,-0.277764006,0.094779617,-0.026423672,0.265253265,-0.204653725,-0.096004232
2014,1,25,27.5,17.6,71,3,340,28.5,0.082471253,0.224026211,12.9688176,25.8495229,-0.193088922,-0.278130303,0.11377972,-0.026228732,0.137317255,-0.182057216,-0.096158867
2014,1,26,29,17.5,75,1,320,30.1,0.079927943,0.223994011,16.41312395,27.8775675,-0.207808067,-0.278496094,0.132779823,-0.026034074,0.753671373,-0.159460707,-0.09631343
2014,1,27,29,18,80,2,320,32.2,0.077384632,0.223961828,15.33459792,27.37587574,-0.222527211,-0.278861378,0.151779926,-0.025839695,0.774587451,-0.136864198,-0.096467919
2014,1,28,30,19,69,1,140,30.2,0.074841322,0.223929661,15.47127366,27.2722408,-0.237246355,-0.279226156,0.170780029,-0.025645597,0.801200392,-0.11426769,-0.096622335
2014,1,29,25.5,18.5,46,2,340,25.4,0.072298012,0.223897509,16.65391785,27.01397317,-0.2519655,-0.279590427,0.189780132,-0.025451779,0.005311765,-0.091671181,-0.096776678
2014,1,30,25.1,18,84,2,320,24.1,0.069754701,0.223865373,14.96580494,24.8925942,-0.266684644,-0.279954193,0.208780235,-0.025258241,0.003735135,-0.069074672,-0.096930948
2014,1,31,29.5,18.8,72,2,320,30.3,0.067211391,0.223833253,18.32371665,27.68771537,-0.281403788,-0.280317453,0.227780338,-0.025064982,0.751897647,-0.046478164,-0.097085145
2014,2,1,25.2,21.5,87,1,360,25.6,0.06466808,0.223801149,20.84737112,25.40483523,-0.296122932,-0.280680207,0.246780441,-0.024872004,0.004915686,-0.023881655,-0.097239269
2014,2,2,27.5,22,94,1,140,32.1,0.06212477,0.223769061,19.24795185,29.79267291,-0.310842077,-0.281042457,0.265780544,-0.024679304,0.189595686,-0.001285146,-0.09739332
2014,2,3,32.5,22,83,1,160,38.7,0.059581459,0.223736988,20.1219262,31.47765202,-0.325561221,-0.281404201,0.284780646,-0.024486884,0.678735294,0.021311363,-0.097547298
2014,2,4,31.5,21.5,86,2,160,37.6,0.057038149,0.223704932,18.85315127,30.12203299,-0.340280365,-0.281765441,0.303780749,-0.024294743,0.608959608,0.043907871,-0.097701203
2014,2,5,30.2,22.5,91,2,140,32.7,0.054494838,0.223672891,20.00719468,28.49819768,-0.35499951,-0.282126176,0.322780852,-0.024102882,0.080405882,0.06650438,-0.097855035
2014,2,6,29.2,21.5,90,1,140,34.3,0.051951528,0.223640866,19.45057043,28.23262212,-0.369718654,-0.282486408,0.341780955,-0.023911299,0.377636078,0.089100889,-0.098008794
2014,2,7,31,21.6,85,2,140,37.1,0.049408218,0.049408218,18.63191459,31.60457031,-0.384437798,-0.384437798,0.360781058,0.360781058,0.833922745,0.111697397,0.111697397
2014,2,8,31.5,22,89,1,140,40.9,0.089207685,0.223576864,19.59674866,31.45361558,-0.347970286,-0.283205359,0.325871865,-0.023528969,0.8408,0.104801226,-0.098316093
2014,2,9,31.8,21,88,0,0,40.6,0.129007153,0.223544886,18.81662431,30.0902625,-0.311502775,-0.28356408,0.290962672,-0.023338222,0.420654296,0.097905055,-0.098469633
2014,2,10,32.5,20.5,85,1,160,37.1,0.168806621,0.223512925,20.29867652,31.69386488,-0.275035263,-0.283922298,0.256053478,-0.023147753,0.775383137,0.091008884,-0.098623099
2014,2,11,28.2,20.5,86,2,140,30.8,0.208606088,0.223480979,19.00765415,27.92856014,-0.238567751,-0.284280012,0.221144285,-0.022957562,0.174955294,0.084112713,-0.098776493
2014,2,12,27.5,18.1,90,3,160,27.8,0.248405556,0.223449049,17.27809208,26.81525681,-0.20210024,-0.284637225,0.186235092,-0.022767649,0.020687059,0.077216542,-0.098929814
2014,2,13,28,19.4,85,1,290,30.8,0.288205024,0.223417135,16.91305972,27.23660848,-0.165632728,-0.284993935,0.151325898,-0.022578015,0.589966275,0.070320371,-0.099083062
2014,2,14,29.1,18.4,83,1,110,29.7,0.328004491,0.223385237,18.39239467,27.58993391,-0.129165216,-0.285350143,0.116416705,-0.022388657,0.638290196,0.0634242,-0.099236237
2014,2,15,27,20,88,1,180,26.8,0.367803959,0.223353355,18.33542798,26.17211164,-0.092697704,-0.285705849,0.081507512,-0.022199577,0.094117647,0.056528029,-0.099389339
2014,2,16,22.3,18.9,93,2,360,21.3,0.407603427,0.223321488,18.76099989,24.70200824,-0.056230193,-0.286061054,0.046598319,-0.022010775,0.005708627,0.049631858,-0.099542367
2014,2,17,25,19.5,91,2,360,22,0.447402894,0.223289638,17.24176927,24.85323468,-0.019762681,-0.286415757,0.011689125,-0.02182225,0.020603529,0.042735687,-0.099695323
2014,2,18,28,20.5,86,1,320,31.9,0.487202362,0.223257803,17.11585571,27.16120078,0.016704831,-0.28676996,-0.023220068,-0.021634002,0.60082902,0.035839516,-0.099848206
2014,2,19,29,20.6,87,1,140,32.9,0.52700183,0.223225984,19.66718075,28.39048231,0.053172342,-0.287123661,-0.058129261,-0.021446031,0.428737255,0.028943345,-0.100001016
2014,2,20,28.5,19.3,83,3,140,30.8,0.566801297,0.223194181,17.29055056,26.88631244,0.089639854,-0.287476863,-0.093038454,-0.021258336,0.674474902,0.022047174,-0.100153753
2014,2,21,28.2,19,76,2,360,29.5,0.606600765,0.223162394,17.36454313,25.23143853,0.126107366,-0.287829564,-0.127947648,-0.021070919,0.283159608,0.015151003,-0.100306417
2014,2,22,28,19,75,2,160,28.7,0.646400233,0.223130622,18.10309239,24.85126844,0.162574878,-0.288181765,-0.162856841,-0.020883777,0.621221569,0.008254832,-0.100459008
2014,2,23,26,19,83,2,340,24.1,0.6861997,0.6861997,17.06817932,23.09017915,0.199042389,0.199042389,-0.197766034,-0.197766034,0.150742353,0.001358661,0.001358661
2014,2,24,30.5,20,84,1,140,37.1,0.697613093,0.223067127,17.16004951,27.68827786,0.21114468,-0.288884669,-0.208269235,-0.020510323,0.811224314,0.002999235,-0.100763971
2014,2,25,27.5,18.1,89,2,160,27.5,0.709026486,0.223035403,19.13804299,26.96564278,0.223246971,-0.289235372,-0.218772436,-0.020324011,0.022121961,0.004639809,-0.100916343
2014,2,26,25.5,19,87,3,320,23.9,0.720439878,0.223003695,18.24961657,22.73490919,0.235349262,-0.289585576,-0.229275637,-0.020137974,0.059618824,0.006280382,-0.101068642
2014,2,27,27.9,20.6,83,1,360,29.3,0.731853271,0.222972003,17.92765505,26.00668617,0.247451552,-0.289935281,-0.239778838,-0.019952213,0.162283529,0.007920956,-0.101220868
2014,2,28,29.3,20.2,83,2,320,29.9,0.743266663,0.222940326,17.46964077,27.75234744,0.259553843,-0.290284488,-0.250282039,-0.019766727,0.563768627,0.00956153,-0.101373021
2014,3,1,30,19.8,85,1,360,32,0.754680056,0.222908666,17.64605325,29.31810728,0.271656134,-0.290633197,-0.26078524,-0.019581517,0.685299608,0.011202104,-0.101525102
2014,3,2,30.7,20.5,83,1,140,37.4,0.766093448,0.222877021,18.49187438,29.83282486,0.283758424,-0.290981408,-0.271288441,-0.019396582,0.768916078,0.012842678,-0.101677109
2014,3,3,31,22,81,1,160,35,0.777506841,0.222845392,20.35628187,28.82550328,0.295860715,-0.291329122,-0.281791642,-0.019211922,0.7598,0.014483252,-0.101829043
2014,3,4,29.8,21.6,86,2,140,32,0.788920234,0.222813779,18.68219656,28.20108919,0.307963006,-0.291676338,-0.292294842,-0.019027537,0.311947059,0.016123826,-0.101980905
2014,3,5,30.5,20.5,81,2,120,32.2,0.800333626,0.222782182,19.27945292,29.43526931,0.320065297,-0.292023057,-0.302798043,-0.018843427,0.56954,0.0177644,-0.102132693
2014,3,6,31.3,21.5,78,1,160,34.8,0.811747019,0.222750601,19.50375133,29.21683815,0.332167587,-0.292369279,-0.313301244,-0.018659592,0.72170549,0.019404974,-0.102284409
2014,3,7,28.4,20,86,1,20,25.8,0.823160411,0.222719035,19.2322277,26.89355297,0.344269878,-0.292715005,-0.323804445,-0.018476031,0.005146667,0.021045548,-0.102436051
2014,3,8,29.5,21,88,0,0,30.2,0.834573804,0.222687486,17.31400822,27.32969109,0.356372169,-0.293060234,-0.334307646,-0.018292745,0.412583162,0.022686122,-0.102587621
