YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,26.8,19,75,5,70,27.5,0.494842069,0.173040012,17.6143326,31.39684231,-0.129255227,-0.546212941,-0.098441982,0.219911969,0.6464883,-0.081662498,-0.251426186
2014,1,2,24.8,20,83,5,110,25.5,0.494842069,0.173100514,17.20675923,30.89946732,-0.129255227,-0.546492815,-0.098441982,0.2195385,0.064102649,-0.081662498,-0.251360477
2014,1,3,27.5,20,81,2,180,29.7,0.494842069,0.17316099,17.67206219,32.09374477,-0.129255227,-0.546772266,-0.098441982,0.219165411,0.511352632,-0.081662498,-0.251294878
2014,1,4,26.2,17,74,4,20,27.4,0.494842069,0.173221438,19.02013319,33.16244738,-0.129255227,-0.547051295,-0.098441982,0.218792701,0.143976862,-0.081662498,-0.25122939
2014,1,5,24.8,16,63,5,40,25.8,0.494842069,0.17328186,18.27335421,31.95344006,-0.129255227,-0.547329902,-0.098441982,0.218420372,0.466914634,-0.081662498,-0.251164012
2014,1,6,24.7,16.4,65,6,90,25.8,0.494842069,0.494842069,19.10087691,30.72703252,-0.129255227,-0.129255227,-0.098441982,-0.098441982,0.45581516,-0.081662498,-0.081662498
2014,1,7,24.3,18.3,69,5,110,25.1,0.48462491,0.173402622,18.37679743,31.29386624,-0.157109751,-0.54788585,-0.093684932,0.21767685,0.088909574,-0.084237794,-0.251033589
2014,1,8,26,18,75,3,90,27.1,0.474407751,0.173462962,18.65540923,31.72171192,-0.184964276,-0.548163192,-0.088927882,0.217305658,0.437753989,-0.08681309,-0.250968542
2014,1,9,24.2,16.8,72,6,40,24.8,0.464190592,0.173523276,18.45518855,31.29426667,-0.2128188,-0.548440113,-0.084170832,0.216934845,0.032588564,-0.089388386,-0.250903607
2014,1,10,24.1,15.6,65,5,70,25.2,0.453973432,0.173583562,18.30768102,29.78819346,-0.240673325,-0.548716612,-0.079413782,0.216564411,0.128866489,-0.091963681,-0.250838781
2014,1,11,24,16.2,64,5,90,25.3,0.443756273,0.173643822,16.51417671,28.85368478,-0.268527849,-0.548992691,-0.074656733,0.216194355,0.458396011,-0.094538977,-0.250774065
2014,1,12,26,16.2,59,5,60,26.5,0.433539114,0.173704054,18.78074842,29.93451483,-0.296382374,-0.54926835,-0.069899683,0.215824678,0.639944415,-0.097114273,-0.25070946
2014,1,13,23.8,17,73,6,40,24.6,0.423321955,0.17376426,16.92207395,29.99083282,-0.324236898,-0.549543588,-0.065142633,0.215455379,0.022810155,-0.099689569,-0.250644965
2014,1,14,22.2,16.2,80,8,40,23.1,0.413104796,0.173824438,16.9487831,32.75767577,-0.352091423,-0.549818406,-0.060385583,0.215086458,0.086540909,-0.102264865,-0.250580579
2014,1,15,20.3,14,68,7,40,24.6,0.402887636,0.17388459,16.05837334,30.3605856,-0.379945947,-0.550092805,-0.055628533,0.214717915,0.078304878,-0.104840161,-0.250516304
2014,1,16,21.2,16.4,69,5,40,25.2,0.392670477,0.173944714,17.1814861,29.54239347,-0.407800472,-0.550366783,-0.050871484,0.214349749,-0.001184043,-0.107415457,-0.250452139
2014,1,17,22.8,16,73,5,40,24.8,0.382453318,0.174004812,15.60451612,31.00557538,-0.435654996,-0.550640343,-0.046114434,0.213981962,0.02808617,-0.109990752,-0.250388083
2014,1,18,23.2,13.8,67,8,40,24.9,0.372236159,0.174064882,17.04496541,28.68370858,-0.463509521,-0.550913483,-0.041357384,0.213614551,0.005984574,-0.112566048,-0.250324137
2014,1,19,20,15,67,6,40,24.7,0.362019,0.174124926,13.99474724,28.34786721,-0.491364045,-0.551186204,-0.036600334,0.213247518,-0.002688298,-0.115141344,-0.250260301
2014,1,20,21.2,16.5,77,4,60,22.8,0.351801841,0.174184942,15.07851539,29.98365409,-0.51921857,-0.551458506,-0.031843284,0.212880862,-0.00328617,-0.11771664,-0.250196575
2014,1,21,21.2,15,82,8,20,23.2,0.341584681,0.174244932,17.31151959,31.50398455,-0.547073094,-0.55173039,-0.027086235,0.212514582,0.000558511,-0.120291936,-0.250132958
2014,1,22,18.4,13.8,73,6,40,25.6,0.331367522,0.174304894,17.71577083,31.30616102,-0.574927619,-0.552001856,-0.022329185,0.21214868,0.011862766,-0.122867232,-0.25006945
2014,1,23,20.4,14.5,71,5,60,24.4,0.321150363,0.174364829,15.37200643,29.56356221,-0.602782143,-0.552272903,-0.017572135,0.211783154,0.108631649,-0.125442527,-0.250006052
2014,1,24,23,14.1,56,5,90,25.1,0.310933204,0.174424738,13.63161295,30.00975251,-0.630636668,-0.552543533,-0.012815085,0.211418004,0.014739956,-0.128017823,-0.249942764
2014,1,25,23.9,16.8,72,4,90,25.2,0.300716045,0.174484619,14.27616927,30.70244746,-0.658491193,-0.552813745,-0.008058035,0.21105323,0.073822161,-0.130593119,-0.249879584
2014,1,26,24.1,17.6,71,5,40,25.3,0.290498885,0.174544474,15.78734587,32.7318767,-0.686345717,-0.553083539,-0.003300986,0.210688833,0.154747292,-0.133168415,-0.249816514
2014,1,27,22.1,16.2,78,4,40,23.1,0.280281726,0.174604301,15.41904115,32.52644134,-0.714200242,-0.553352916,0.001456064,0.210324811,0.053158777,-0.135743711,-0.249753554
2014,1,28,25.7,18,72,4,70,26.8,0.270064567,0.174664102,14.81732182,32.3569609,-0.742054766,-0.553621877,0.006213114,0.209961165,0.641865426,-0.138319007,-0.249690702
2014,1,29,24.8,18.8,77,5,90,25.8,0.259847408,0.174723875,16.82201247,31.79566221,-0.769909291,-0.55389042,0.010970164,0.209597894,0.556357979,-0.140894303,-0.24962796
2014,1,30,25.8,17.8,76,4,90,26.9,0.249630249,0.174783622,14.63480619,30.4220845,-0.797763815,-0.554158547,0.015727214,0.209234999,0.574664362,-0.143469598,-0.249565326
2014,1,31,24.6,18.5,75,4,90,25.6,0.239413089,0.174843341,18.55374986,32.74004058,-0.82561834,-0.554426258,0.020484263,0.208872479,0.203689096,-0.146044894,-0.249502801
2014,2,1,23.8,20,88,4,90,23.3,0.22919593,0.174903033,22.00637979,33.07209825,-0.853472864,-0.554693552,0.025241313,0.208510334,0.013864628,-0.14862019,-0.249440386
2014,2,2,27,23,90,2,180,30.2,0.218978771,0.174962699,20.98124134,34.14409986,-0.881327389,-0.554960431,0.029998363,0.208148563,0.588669415,-0.151195486,-0.249378079
2014,2,3,28.6,19.2,87,2,270,33.7,0.208761612,0.175022337,22.73363111,34.96083633,-0.909181913,-0.555226894,0.034755413,0.207787168,0.169686968,-0.153770782,-0.249315881
2014,2,4,22.1,18.8,83,4,60,21.6,0.198544453,0.175081949,19.79659902,33.79246936,-0.937036438,-0.555492941,0.039512463,0.207426146,-0.004705319,-0.156346078,-0.249253792
2014,2,5,23.2,20.2,90,6,90,22,0.188327294,0.175141533,19.76235807,33.23525004,-0.964890962,-0.555758573,0.044269512,0.207065499,0.026372074,-0.158921373,-0.249191811
2014,2,6,24.8,22.7,94,4,120,25.1,0.178110134,0.175201091,20.64145467,33.30768844,-0.992745487,-0.556023791,0.049026562,0.206705226,0.155041489,-0.161496669,-0.249129939
2014,2,7,27,21,85,1,270,29.8,0.167892975,0.167892975,20.02304071,36.85566863,-1.020600011,-1.020600011,0.053783612,0.053783612,0.403146809,-0.164071965,-0.164071965
2014,2,8,27.8,21,82,3,90,30.8,0.163296434,0.175320124,20.60275302,36.89591196,-1.003767616,-0.556552981,0.065010713,0.205985802,0.229407285,-0.161057957,-0.24900652
2014,2,9,25,19.6,89,4,120,25.8,0.158699892,0.175379601,19.74693793,36.05229285,-0.986935221,-0.556816955,0.076237813,0.205626651,0.016424734,-0.158043948,-0.248944974
2014,2,10,22.3,17,83,5,20,22.6,0.15410335,0.17543905,21.2183479,36.74043487,-0.970102826,-0.557080514,0.087464914,0.205267873,0.015250552,-0.155029939,-0.248883535
2014,2,11,22,15.5,81,3,40,22.2,0.149506809,0.175498473,18.99963739,35.29888728,-0.95327043,-0.557343659,0.098692015,0.204909468,0.117364362,-0.152015931,-0.248822205
2014,2,12,24,16.8,78,3,60,25.3,0.144910267,0.175557868,17.52297389,34.61534257,-0.936438035,-0.557606391,0.109919116,0.204551436,0.247333777,-0.149001922,-0.248760983
2014,2,13,24.8,18.8,79,2,20,25.7,0.140313726,0.175617236,17.46318291,34.64033355,-0.91960564,-0.55786871,0.121146216,0.204193777,0.596608511,-0.145987913,-0.24869987
2014,2,14,23,17.2,83,3,40,23.5,0.135717184,0.175676578,19.54592544,35.39183384,-0.902773245,-0.558130615,0.132373317,0.203836491,0.03373296,-0.142973905,-0.248638864
2014,2,15,21.7,16.2,80,5,90,23.4,0.131120642,0.175735892,18.06459331,32.36157674,-0.88594085,-0.558392107,0.143600418,0.203479577,0.039815453,-0.139959896,-0.248577967
