YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,29.9,22.5,87,2,90,31.8,0.545996735,0.332939603,23.02248535,29.29010925,-0.305528063,-0.202071556,-0.151743188,-0.266122934,,-0.051138889,-0.348441979
2014,1,2,30.5,22.2,87,2,90,32.1,0.545996735,0.332869802,21.56633911,29.78756104,-0.305528063,-0.201969708,-0.151743188,-0.266156879,,-0.051138889,-0.348605426
2014,1,3,30.9,22.8,88,2,90,32.6,0.545996735,0.332800032,21.58233032,30.83425293,-0.305528063,-0.201868064,-0.151743188,-0.266190749,,-0.051138889,-0.348768721
2014,1,4,31.5,22.8,88,1,70,35.8,0.545996735,0.332730294,23.04848633,30.2285553,-0.305528063,-0.201766623,-0.151743188,-0.266224544,0.6108,-0.051138889,-0.348931863
2014,1,5,29.6,23,88,1,90,33.9,0.545996735,0.332660586,23.2496582,27.8623291,-0.305528063,-0.201665386,-0.151743188,-0.266258265,,-0.051138889,-0.349094852
2014,1,6,30,22.8,89,1,60,32.4,0.545996735,0.545996735,23.35437927,29.72792969,-0.305528063,-0.305528063,-0.151743188,-0.151743188,0.4293,-0.051138889,-0.051138889
2014,1,7,30.1,22.3,87,1,90,32.2,0.559059315,0.332521266,23.35552368,29.03760681,-0.281993206,-0.20146352,-0.154740852,-0.26632548,0.32,-0.050109999,-0.349420375
2014,1,8,30,22.4,83,1,90,32.9,0.572121894,0.332451653,22.75663147,29.3585144,-0.258458348,-0.201362892,-0.157738515,-0.266358976,0.3859,-0.049081108,-0.349582908
2014,1,9,29.2,21,81,2,120,29.6,0.585184474,0.332382071,22.09473572,29.78164063,-0.234923491,-0.201262467,-0.160736179,-0.266392397,0.0071,-0.048052218,-0.349745289
2014,1,10,29.8,21.4,79,2,90,32.6,0.598247053,0.33231252,21.93921814,28.42258606,-0.211388634,-0.201162244,-0.163733843,-0.266425743,,-0.047023328,-0.349907517
2014,1,11,29.7,21.2,85,2,60,32.8,0.611309633,0.332243001,22.06362305,27.54741821,-0.187853776,-0.201062224,-0.166731507,-0.266459014,,-0.045994437,-0.350069594
2014,1,12,28.4,21.7,83,2,60,27.7,0.624372212,0.332173513,22.82299194,25.26755676,-0.164318919,-0.200962406,-0.16972917,-0.266492211,,-0.044965547,-0.350231519
2014,1,13,28.5,21.4,87,2,60,28.3,0.637434792,0.332104056,22.34850464,24.18111572,-0.140784061,-0.20086279,-0.172726834,-0.266525333,-0.0011,-0.043936657,-0.350393292
2014,1,14,28.8,21.8,87,1,210,28.4,0.650497371,0.332034631,20.12090454,27.26963196,-0.117249204,-0.200763376,-0.175724498,-0.266558381,-0.0031,-0.042907767,-0.350554913
2014,1,15,27.6,20.6,84,2,40,25.8,0.66355995,0.331965237,21.26386414,27.68239746,-0.093714347,-0.200664165,-0.178722162,-0.266591354,,-0.041878876,-0.350716382
2014,1,16,28.4,20.7,80,2,40,28.4,0.67662253,0.331895875,21.70249329,26.31775818,-0.070179489,-0.200565155,-0.181719825,-0.266624253,,-0.040849986,-0.3508777
2014,1,17,27.5,20.4,87,2,60,25.7,0.689685109,0.331826544,21.37059937,24.80166016,-0.046644632,-0.200466346,-0.184717489,-0.266657078,,-0.039821096,-0.351038866
2014,1,18,26,20.1,79,2,60,25.7,0.702747689,0.331757244,21.10958252,24.86347351,-0.023109774,-0.200367739,-0.187715153,-0.266689828,-0.0108,-0.038792205,-0.35119988
2014,1,19,27,19.6,76,3,90,26,0.715810268,0.331687975,20.37702332,26.00567017,0.000425083,-0.200269333,-0.190712817,-0.266722504,0.001,-0.037763315,-0.351360743
2014,1,20,27.8,20.8,82,1,80,27.7,0.728872848,0.331618738,20.64730225,26.99413452,0.023959941,-0.200171129,-0.19371048,-0.266755105,0.1811,-0.036734425,-0.351521454
2014,1,21,27,19.9,82,2,60,27.7,0.741935427,0.331549532,20.62859497,26.99212036,0.047494798,-0.200073125,-0.196708144,-0.266787633,0.0037,-0.035705534,-0.351682014
2014,1,22,27.7,19.2,84,2,60,27.7,0.754998007,0.754998007,21.24213562,26.50167236,0.071029655,0.071029655,-0.199705808,-0.199705808,,-0.034676644,-0.034676644
2014,1,23,26.8,18.7,85,2,60,22.7,0.718257462,0.331411214,20.71772156,24.21320496,0.065834912,-0.199877721,-0.203675432,-0.266852466,0.0024,-0.070265232,-0.35200268
2014,1,24,27.2,18.8,85,2,40,25.1,0.681516917,0.331342102,18.44587097,26.62815247,0.060640168,-0.199780319,-0.207645056,-0.266884771,0.3703,-0.105853821,-0.352162786
2014,1,25,29,19.5,85,1,90,30.3,0.644776372,0.331273022,16.20945129,27.26912842,0.055445425,-0.199683118,-0.21161468,-0.266917003,,-0.141442409,-0.352322741
2014,1,26,29.4,19.8,80,1,90,29.2,0.608035827,0.331203973,19.64956055,29.00151978,0.050250681,-0.199586118,-0.215584304,-0.26694916,0.5474,-0.177030998,-0.352482545
2014,1,27,27.5,20,82,2,90,26.2,0.571295282,0.331134955,18.62861023,27.07970581,0.045055938,-0.199489317,-0.219553928,-0.266981244,,-0.212619586,-0.352642198
2014,1,28,27.5,20.8,84,1,60,28.2,0.534554737,0.331065968,20.48949585,28.10827026,0.039861194,-0.199392716,-0.223523552,-0.267013254,,-0.248208175,-0.352801699
2014,1,29,29.5,21,83,2,90,31.4,0.497814192,0.330997013,19.82914124,27.98656616,0.03466645,-0.199296315,-0.227493176,-0.26704519,,-0.283796763,-0.35296105
2014,1,30,28.8,20.8,87,1,100,29.9,0.461073647,0.330928089,19.30506287,27.87639771,0.029471707,-0.199200114,-0.2314628,-0.267077052,,-0.319385352,-0.35312025
2014,1,31,28,20.5,80,1,360,28.7,0.424333102,0.330859196,21.00274048,26.46535645,0.024276963,-0.199104113,-0.235432424,-0.267108841,,-0.35497394,-0.353279299
2014,2,1,26,21.2,96,2,120,23.6,0.387592557,0.330790335,21.69460449,25.82637939,0.01908222,-0.199008311,-0.239402048,-0.267140556,,-0.390562529,-0.353438198
2014,2,2,28.8,21.1,86,1,90,30,0.350852012,0.330721505,21.19040833,29.82619629,0.013887476,-0.198912708,-0.243371672,-0.267172198,,-0.426151117,-0.353596946
2014,2,3,29.9,21.9,85,1,180,31.4,0.314111467,0.330652707,20.93618164,30.85006104,0.008692733,-0.198817304,-0.247341296,-0.267203766,,-0.461739706,-0.353755543
2014,2,4,30.5,22.5,85,1,90,33.6,0.277370922,0.33058394,21.37325439,30.60636292,0.003497989,-0.198722099,-0.25131092,-0.267235261,,-0.497328294,-0.353913989
2014,2,5,31.3,22.6,88,1,60,35.1,0.240630377,0.330515204,22.11290894,30.35137329,-0.001696755,-0.198627093,-0.255280544,-0.267266682,0.5796,-0.532916883,-0.354072285
2014,2,6,32.2,22.8,87,1,60,35.1,0.203889832,0.330446499,20.81069336,30.6426178,-0.006891498,-0.198532285,-0.259250168,-0.26729803,,-0.568505471,-0.354230431
2014,2,7,32.5,23,85,1,90,35.7,0.167149287,0.167149287,21.09992371,30.94629822,-0.012086242,-0.012086242,-0.263219792,-0.263219792,,-0.60409406,-0.60409406
2014,2,8,32.9,23.2,84,1,90,35.7,0.186655941,0.330309184,22.93277893,30.77666626,0.005731065,-0.198343265,-0.256564781,-0.267360506,0.6208,-0.572219253,-0.354546271
2014,2,9,32,23.2,83,2,100,34.9,0.206162596,0.330240574,20.99367676,29.85183105,0.023548372,-0.198249053,-0.249909771,-0.267391634,0.0705,-0.540344446,-0.354703965
2014,2,10,31.5,23,86,1,120,35.2,0.22566925,0.330171994,22.32491455,30.15557251,0.041365679,-0.198155038,-0.24325476,-0.267422689,,-0.508469639,-0.35486151
2014,2,11,28.1,22.9,89,1,60,28.9,0.245175904,0.330103447,22.69007263,28.22541199,0.059182985,-0.198061222,-0.236599749,-0.267453671,,-0.476594832,-0.355018904
2014,2,12,28,22.3,88,1,60,28.3,0.264682559,0.33003493,20.33187256,27.67362366,0.077000292,-0.197967603,-0.229944739,-0.26748458,,-0.444720025,-0.355176148
2014,2,13,29.5,21.5,87,2,90,30.9,0.284189213,0.329966445,19.41773376,28.68392334,0.094817599,-0.197874182,-0.223289728,-0.267515416,,-0.412845219,-0.355333242
2014,2,14,30,21,84,1,60,32.9,0.303695868,0.329897991,20.00388489,29.6723877,0.112634905,-0.197780958,-0.216634717,-0.267546179,0.4689,-0.380970412,-0.355490187
2014,2,15,30.5,21.4,81,1,90,32.5,0.323202522,0.329829568,21.66744385,28.81020508,0.130452212,-0.197687932,-0.209979707,-0.26757687,,-0.349095605,-0.355646981
2014,2,16,30,22,83,1,60,31.4,0.342709176,0.329761177,22.00548706,29.27224121,0.148269519,0.148269519,-0.203324696,-0.267607487,,-0.317220798,-0.355803625
2014,2,17,30.9,22.1,87,1,60,33.2,0.362215831,0.329692817,20.05658875,28.68885193,0.124845917,-0.197502471,-0.196669685,-0.267638032,,-0.285345991,-0.35596012
2014,2,18,31,21,82,1,90,33.4,0.381722485,0.329624489,18.5284668,30.04572449,0.101422315,-0.197410035,-0.190014675,-0.267668504,,-0.253471184,-0.356116465
2014,2,19,30.8,20.2,80,1,90,31.2,0.40122914,0.329556192,19.91210327,30.51691589,0.077998713,-0.197317797,-0.183359664,-0.267698903,,-0.221596378,-0.35627266
2014,2,20,30,20.7,80,1,90,31.1,0.420735794,0.329487926,21.16570435,29.00011597,0.05457511,-0.197225755,-0.176704653,-0.267729229,,-0.189721571,-0.356428705
2014,2,21,28,20.3,89,1,60,26.8,0.440242448,0.329419691,21.62658081,26.40213928,0.031151508,-0.197133909,-0.170049642,-0.267759483,0.031,-0.157846764,-0.356584602
2014,2,22,27.8,20.5,89,1,60,25.7,0.459749103,0.329351488,21.75232849,25.92235718,0.007727906,-0.19704226,-0.163394632,-0.267789665,,-0.125971957,-0.356740348
2014,2,23,27.3,21,92,1,40,26,0.479255757,0.479255757,21.68366394,26.78788147,-0.015695696,-0.015695696,-0.156739621,-0.156739621,,-0.09409715,-0.09409715
2014,2,24,28.5,22,85,2,60,29.8,0.461992522,0.329215176,19.89829407,27.15470276,-0.015344845,-0.196859549,-0.157473615,-0.26784981,0.0689,-0.115139929,-0.357051393
2014,2,25,31,22.4,79,2,90,33.4,0.444729286,0.329147067,21.52466736,29.19111023,-0.014993994,-0.196768488,-0.158207608,-0.267879775,0.5505,-0.136182709,-0.357206691
2014,2,26,30.9,23,83,2,90,33.6,0.427466051,0.329078989,19.70501099,29.82479248,-0.014643143,-0.196677622,-0.158941601,-0.267909667,,-0.157225488,-0.357361841
2014,2,27,30.5,23.1,83,2,90,33.4,0.410202816,0.329010942,21.18636475,30.24653015,-0.014292292,-0.196586952,-0.159675595,-0.267939486,0.1793,-0.178268267,-0.357516841
2014,2,28,30.6,23.4,83,2,90,33.7,0.39293958,0.328942927,19.31566772,30.08480225,-0.01394144,-0.196496477,-0.160409588,-0.267969234,,-0.199311047,-0.357671691
2014,3,1,30.8,20.6,81,1,90,34.8,0.375676345,0.328874943,19.08039246,30.20552979,-0.013590589,-0.196406198,-0.161143582,-0.267998909,0.5662,-0.220353826,-0.357826393
2014,3,2,31.2,21,80,1,100,35.8,0.358413109,0.328806991,19.45792542,31.3550354,-0.013239738,-0.196316113,-0.161877575,-0.268028512,0.5668,-0.241396605,-0.357980946
