YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,30.4,19.7,71,2,300,30.8,0.157779147,0.328897785,16.7061554,31.9059082,0.195498243,0.202553579,0.008244041,-0.058678352,0.4001,-0.464632743,-0.339946408
2014,1,2,30.2,19.2,68,2,90,31,0.157779147,0.328870386,16.44329224,31.79146729,0.195498243,0.2026264,0.008244041,-0.058821217,0.4372,-0.464632743,-0.339824123
2014,1,3,30.7,20,65,1,340,30.8,0.157779147,0.328842994,16.73648987,33.28043518,0.195498243,0.202699142,0.008244041,-0.058963931,0.4549,-0.464632743,-0.33970201
2014,1,4,30.9,20.6,73,3,360,32.5,0.157779147,0.32881561,17.67089233,33.9890686,0.195498243,0.202771804,0.008244041,-0.059106494,0.3338,-0.464632743,-0.339580067
2014,1,5,29.8,20.4,68,2,330,29.9,0.157779147,0.328788234,17.08043823,32.74770508,0.195498243,0.202844387,0.008244041,-0.059248907,0.2561,-0.464632743,-0.339458294
2014,1,6,30.4,20.5,71,2,50,29.4,0.157779147,0.157779147,18.06255493,31.17519531,0.195498243,0.195498243,0.008244041,0.008244041,0.0125,-0.464632743,-0.464632743
2014,1,7,28.6,20.4,71,2,320,29,0.158812511,0.328733505,17.21294556,31.80713806,0.19405589,0.202989316,0.010599789,-0.059533281,0.0175,-0.462228936,-0.339215261
2014,1,8,30.1,21,68,2,100,30.2,0.159845875,0.328706152,17.71657715,33.17038879,0.192613537,0.203061662,0.012955537,-0.059675243,0.2513,-0.459825129,-0.339094
2014,1,9,29.3,20.2,69,2,50,29.6,0.160879239,0.328678807,16.557901,32.59023438,0.191171184,0.203133928,0.015311286,-0.059817055,0.1906,-0.457421322,-0.338972909
2014,1,10,27.7,19.3,72,2,330,28.1,0.161912603,0.32865147,17.05280457,30.44602356,0.189728831,0.203206116,0.017667034,-0.059958716,0.0313,-0.455017515,-0.338851988
2014,1,11,27,19.2,67,3,60,27,0.162945967,0.32862414,15.59806213,30.17977295,0.188286478,0.203278225,0.020022783,-0.060100227,0.1023,-0.452613708,-0.338731238
2014,1,12,28.5,20.1,65,2,10,29,0.163979331,0.328596818,18.7580658,31.71083984,0.186844125,0.203350254,0.022378531,-0.060241589,0.2266,-0.450209901,-0.338610658
2014,1,13,28,20.1,62,2,50,27.3,0.165012695,0.328569504,16.50084839,31.97086487,0.185401772,0.203422205,0.024734279,-0.0603828,0.0813,-0.447806095,-0.338490247
2014,1,14,29.8,20.7,62,2,50,29.7,0.166046059,0.328542198,17.05645142,34.11844788,0.183959419,0.203494077,0.027090028,-0.060523862,0.2436,-0.445402288,-0.338370006
2014,1,15,28.8,18.7,65,2,350,29.1,0.167079423,0.3285149,14.58417664,31.75075684,0.182517066,0.20356587,0.029445776,-0.060664774,0.1752,-0.442998481,-0.338249936
2014,1,16,27.6,19,53,3,60,27,0.168112787,0.328487609,15.72309265,31.72791443,0.181074713,0.203637584,0.031801525,-0.060805536,0.3367,-0.440594674,-0.338130034
2014,1,17,28.6,19.1,59,3,60,27.8,0.169146151,0.328460326,15.74834595,32.96767578,0.17963236,0.20370922,0.034157273,-0.060946149,0.2548,-0.438190867,-0.338010303
2014,1,18,26.5,17.2,56,3,60,26.6,0.170179515,0.328433051,16.03621826,30.98539124,0.178190007,0.203780777,0.036513021,-0.061086612,0.0666,-0.43578706,-0.337890741
2014,1,19,25.5,17.5,60,3,50,25.6,0.171212879,0.328405784,14.16022644,30.37090454,0.176747654,0.203852255,0.03886877,-0.061226926,0.0441,-0.433383253,-0.337771348
2014,1,20,26.7,19.5,58,3,50,26.5,0.172246243,0.328378524,15.6014801,31.63475952,0.175305301,0.203923655,0.041224518,-0.06136709,0.0412,-0.430979446,-0.337652125
2014,1,21,25.9,19.9,59,2,350,26.3,0.173279607,0.328351272,17.02547607,33.45176086,0.173862948,0.203994976,0.043580266,-0.061507105,0.0532,-0.42857564,-0.33753307
2014,1,22,28.8,18.4,58,2,70,28.1,0.174312971,0.174312971,17.99427185,33.28487549,0.172420595,0.172420595,0.045936015,0.045936015,0.176,-0.426171833,-0.426171833
2014,1,23,27.1,17.5,62,2,60,26.5,0.174345423,0.328296792,14.72435913,31.87531433,0.180552684,0.204137382,0.048796064,-0.061786687,0.1544,-0.423189619,-0.337295469
2014,1,24,27.5,16.2,59,2,320,27.3,0.174377874,0.328269563,12.54007874,32.34104309,0.188684772,0.204208468,0.051656114,-0.061926255,0.4081,-0.420207406,-0.337176923
2014,1,25,27.9,16.5,58,2,50,26.5,0.174410325,0.328242343,13.76023254,32.98397217,0.196816861,0.204279475,0.054516163,-0.062065673,0.1984,-0.417225193,-0.337058544
2014,1,26,28.7,20,53,2,50,27.4,0.174442776,0.32821513,14.70993958,34.95496521,0.20494895,0.204350404,0.057376212,-0.062204943,0.3486,-0.414242979,-0.336940335
2014,1,27,28.7,19,56,2,110,27.8,0.174475227,0.328187925,15.68970642,34.41369019,0.213081038,0.204421254,0.060236262,-0.062344063,0.3428,-0.411260766,-0.336822295
2014,1,28,28,18.3,59,2,310,27.7,0.174507678,0.328160727,14.35083923,34.80254517,0.221213127,0.204492026,0.063096311,-0.062483035,0.2757,-0.408278553,-0.336704423
2014,1,29,29.4,18.7,56,2,220,29,0.174540129,0.328133538,16.77181396,34.04960022,0.229345216,0.229345216,0.065956361,-0.062621858,0.1931,-0.405296339,-0.336586719
2014,1,30,28.2,17.3,65,2,300,28.6,0.17457258,0.328106356,14.12714539,32.68499146,0.218234325,0.204633336,0.06881641,-0.062760533,0.0275,-0.402314126,-0.336469184
