YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,30.7,20.5,87,2,360,39.2,0.059167431,0.123325074,20.28986075,31.78118068,-0.002229721,0.039862384,0.145779099,0.111202639,0.49972438,-0.068859714,-0.104211041
2014,1,2,31.5,20.5,79,2,180,36.9,0.059167431,0.123323168,20.00941947,31.76975621,-0.002229721,0.039834432,0.145779099,0.111007489,0.545583471,-0.068859714,-0.104283162
2014,1,3,33,20,78,2,360,37.3,0.059167431,0.123321263,18.49746312,31.6871691,-0.002229721,0.039806516,0.145779099,0.110812486,0.480455785,-0.068859714,-0.104355234
2014,1,4,30,20,84,4,360,34.5,0.059167431,0.123319358,19.94844317,33.16031581,-0.002229721,0.039778636,0.145779099,0.110617632,0.520696281,-0.068859714,-0.104427258
2014,1,5,31.5,20.5,81,2,360,35.5,0.059167431,0.123317454,20.90912127,32.86443045,-0.002229721,0.039750792,0.145779099,0.110422925,0.506834298,-0.068859714,-0.104499233
2014,1,6,31,20.2,90,2,360,38,0.059167431,0.059167431,21.14579381,32.61827567,-0.002229721,-0.002229721,0.145779099,0.145779099,0.550700413,-0.068859714,-0.068859714
2014,1,7,32,21,76,2,180,35.2,0.06210541,0.123313644,20.22940761,32.83260934,-0.003499244,0.03969521,0.142499145,0.110033953,0.509317355,-0.073285989,-0.104643037
2014,1,8,30.5,20,83,2,360,35,0.065043389,0.12331174,20.96066764,33.83172869,-0.004768767,0.039667474,0.13921919,0.109839689,0.489106198,-0.077712264,-0.104714866
2014,1,9,31.2,20,82,2,180,36.7,0.067981367,0.123309836,21.36430838,32.88554208,-0.00603829,0.039639772,0.135939235,0.109645571,0.42921281,-0.082138539,-0.104786646
2014,1,10,30.2,20,87,4,180,37.2,0.070919346,0.123307932,21.16413269,31.60020272,-0.007307812,0.039612107,0.13265928,0.109451602,0.212119008,-0.086564814,-0.104858378
2014,1,11,30.5,19.5,76,3,180,31.5,0.073857325,0.123306028,19.29895499,30.58658098,-0.008577335,0.039584477,0.129379325,0.109257779,0.213100826,-0.090991089,-0.104930061
2014,1,12,30,19.8,78,2,180,32.3,0.076795304,0.123304124,20.32993905,32.49517212,-0.009846858,0.039556883,0.126099371,0.109064104,0.463849587,-0.095417364,-0.105001696
