YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,30.1,21,86,2,290,36.6,0.070709866,0.124920772,17.64265558,31.35470738,0.207466242,-0.05114632,0.335906426,0.075147451,0.5379,-0.121189415,-0.144422596
2014,1,2,30.3,21.9,80,2,320,37.4,0.070709866,0.12494859,17.7545829,31.83400455,0.207466242,-0.051095977,0.335906426,0.074932311,0.5191,-0.121189415,-0.14447855
2014,1,3,31,20.5,81,3,290,35.3,0.070709866,0.124976394,18.74819486,32.05567583,0.207466242,-0.05104568,0.335906426,0.07471738,0.5675,-0.121189415,-0.144534473
2014,1,4,31.5,21.2,85,3,40,38,0.070709866,0.125004183,19.18531885,32.89931013,0.207466242,-0.050995427,0.335906426,0.07450266,0.4948,-0.121189415,-0.144590363
2014,1,5,31,22.4,87,2,320,38.9,0.070709866,0.125031958,18.12573739,32.50226332,0.207466242,-0.05094522,0.335906426,0.074288148,0.5159,-0.121189415,-0.144646222
2014,1,6,30.6,22.4,83,3,290,34.8,0.070709866,0.12505972,19.25998561,31.53990943,0.207466242,0.207466242,0.335906426,0.074073847,0.2918,-0.121189415,-0.144702049
2014,1,7,31.2,23,79,2,90,35.8,0.070709866,0.125087467,18.23042282,32.0363691,0.2026515,-0.050844942,0.335906426,0.073859755,0.5239,-0.121189415,-0.144757843
2014,1,8,32,21.1,83,2,70,41.2,0.070709866,0.1251152,19.16705082,33.18604526,0.197836758,-0.05079487,0.335906426,0.073645872,0.5126,-0.121189415,-0.144813606
2014,1,9,30.8,22.7,82,3,290,36.6,0.070709866,0.125142918,18.58581691,32.77497198,0.193022016,-0.050744843,0.335906426,0.073432199,0.1911,-0.121189415,-0.144869337
2014,1,10,31,23,81,3,90,37.4,0.070709866,0.125170623,18.64129503,29.91827526,0.188207274,-0.050694862,0.335906426,0.073218734,0.1401,-0.121189415,-0.144925037
2014,1,11,31.4,22.8,78,3,90,37.7,0.070709866,0.125198313,16.78638572,30.09496961,0.183392532,-0.050644925,0.335906426,0.073005479,0.2303,-0.121189415,-0.144980704
2014,1,12,31.3,22.5,77,4,90,33.3,0.070709866,0.12522599,18.99600743,31.25166564,0.17857779,-0.050595034,0.335906426,0.072792433,0.1309,-0.121189415,-0.14503634
2014,1,13,32,23,75,8,110,36.6,0.070709866,0.125253652,17.84112287,32.42770814,0.173763048,-0.050545187,0.335906426,0.072579596,0.2671,-0.121189415,-0.145091943
2014,1,14,30.6,21.4,75,3,290,32.1,0.070709866,0.1252813,18.95788079,33.16004789,0.168948306,-0.050495386,0.335906426,0.072366968,0.0181,-0.121189415,-0.145147515
2014,1,15,31,22.6,79,4,90,35.8,0.070709866,0.125308934,16.68376145,31.21834046,0.164133564,-0.050445629,0.335906426,0.072154548,0.3287,-0.121189415,-0.145203055
2014,1,16,30.8,21.6,82,4,90,37.4,0.070709866,0.125336554,15.58764939,32.04690196,0.159318822,-0.050395917,0.335906426,0.071942337,0.3213,-0.121189415,-0.145258563
2014,1,17,29.4,22.4,79,3,90,33.7,0.070709866,0.125364159,17.30781815,32.5403717,0.15450408,-0.05034625,0.335906426,0.071730335,0.393,-0.121189415,-0.14531404
2014,1,18,30.2,21.5,73,3,110,34.1,0.070709866,0.125391751,16.68429179,30.83292903,0.149689339,-0.050296628,0.335906426,0.071518541,0.0758,-0.121189415,-0.145369485
2014,1,19,30.1,21.7,73,4,90,34.8,0.070709866,0.125419328,15.93582067,30.17620732,0.144874597,-0.050247051,0.335906426,0.071306955,0.2484,-0.121189415,-0.145424898
2014,1,20,29.5,22.8,75,4,90,32.8,0.070709866,0.125446891,17.20657914,31.46480005,0.140059855,-0.050197519,0.335906426,0.071095578,0.4771,-0.121189415,-0.145480279
2014,1,21,30,21.2,76,2,70,31.3,0.070709866,0.12547444,17.26638258,32.69613859,0.135245113,-0.050148031,0.335906426,0.070884409,0.0781,-0.121189415,-0.145535628
2014,1,22,30.2,21.8,77,2,290,31.3,0.070709866,0.125501975,18.28892506,33.09851985,0.130430371,0.130430371,0.335906426,0.070673448,0.1751,-0.121189415,-0.145590946
2014,1,23,30.8,21.5,75,3,90,36.3,0.070709866,0.125529496,17.38951978,32.19288661,0.048725659,-0.05004919,0.335906426,0.070462695,0.2661,-0.121189415,-0.145646232
2014,1,24,32.2,21,70,4,90,35.4,0.070709866,0.125557002,16.34609958,32.23873419,-0.032979053,-0.049999836,0.335906426,0.07025215,0.5046,-0.121189415,-0.145701486
2014,1,25,30,20,79,4,90,34.5,0.070709866,0.125584495,15.51330201,32.56989958,-0.114683765,-0.049950528,0.335906426,0.070041812,0.4731,-0.121189415,-0.145756708
2014,1,26,29,19,78,3,320,33.4,0.070709866,0.125611973,15.93848729,33.67182426,-0.196388477,-0.049901263,0.335906426,0.069831683,0.3826,-0.121189415,-0.145811899
2014,1,27,29.7,21.7,79,3,90,36,0.070709866,0.125639437,17.6840523,33.42954718,-0.278093189,-0.049852044,0.335906426,0.069621761,0.0756,-0.121189415,-0.145867058
2014,1,28,30.5,21,74,3,110,33.5,0.070709866,0.125666888,15.27116457,33.49593113,-0.359797902,-0.049802869,0.335906426,0.069412047,0.4005,-0.121189415,-0.145922185
2014,1,29,29.6,22,76,2,320,32.3,0.070709866,0.070709866,17.33442793,34.06540244,-0.441502614,-0.441502614,0.335906426,0.335906426,0.4712,-0.121189415,-0.121189415
2014,1,30,29.2,21.4,74,3,290,32.9,0.070504848,0.125721745,16.34588713,33.80012405,-0.376154538,-0.049704653,0.32754914,0.06899324,0.0065,-0.109099183,-0.146032345
2014,1,31,33.2,21,77,3,110,42.6,0.070299831,0.125749153,18.52529496,34.41732773,-0.310806462,-0.049655611,0.319191853,0.068784148,0.4702,-0.097008952,-0.146087377
2014,2,1,31.5,23,84,2,320,41.2,0.070094814,0.125776546,21.61427065,34.42520299,-0.245458386,-0.049606615,0.310834567,0.068575262,0.0278,-0.08491872,-0.146142378
2014,2,2,31.2,23.3,83,4,180,40.1,0.069889796,0.125803926,21.21956433,34.87355083,-0.180110311,-0.049557662,0.302477281,0.068366584,0.2109,-0.072828488,-0.146197347
2014,2,3,29.6,21.4,85,1,220,34.1,0.069684779,0.125831291,20.63818703,33.72810729,-0.114762235,-0.049508754,0.294119995,0.068158113,0.4904,-0.060738257,-0.146252284
2014,2,4,29.3,21.6,88,2,290,35.3,0.069479761,0.125858642,19.50578722,33.48552676,-0.049414159,-0.049459891,0.285762709,0.067949849,0.4079,-0.048648025,-0.14630719
2014,2,5,30,22.6,86,2,270,36.3,0.069274744,0.125885979,19.17813138,34.40362257,0.015933916,-0.049411072,0.277405422,0.067741792,0.4154,-0.036557794,-0.146362064
2014,2,6,31,22.5,83,2,320,37.7,0.069069726,0.125913302,20.48932527,35.49993402,0.081281992,-0.049362297,0.269048136,0.067533941,0.4501,-0.024467562,-0.146416906
2014,2,7,30.8,22.6,82,2,290,37.4,0.068864709,0.12594061,21.04178983,36.8939271,0.146630068,0.146630068,0.26069085,0.067326297,0.4276,-0.012377331,-0.146471717
2014,2,8,31.2,22.6,83,2,290,36,0.068659692,0.125967905,20.30653762,37.58059452,0.066833651,-0.049264881,0.252333564,0.067118859,0.3765,-0.000287099,-0.146526497
2014,2,9,31.5,22.6,81,2,270,39.8,0.068454674,0.125995185,21.52174898,37.59746316,-0.012962766,-0.049216239,0.243976277,0.066911628,0.2035,0.011803133,-0.146581244
2014,2,10,31,21.7,83,2,320,37.4,0.068249657,0.126022451,21.12245022,34.12532632,-0.092759183,-0.049167642,0.235618991,0.066704603,0.3605,0.023893364,-0.14663596
2014,2,11,30.5,20.3,83,2,360,34.4,0.068044639,0.126049703,18.75553056,34.64943272,-0.172555599,-0.049119089,0.227261705,0.066497785,0.3861,0.035983596,-0.146690645
2014,2,12,29.8,21.7,83,3,290,35.5,0.067839622,0.126076941,19.51844185,35.40916901,-0.252352016,-0.04907058,0.218904419,0.066291172,0.3294,0.048073827,-0.146745298
2014,2,13,30,19.6,82,2,140,35.2,0.067634604,0.126104165,19.95494584,36.03317785,-0.332148433,-0.049022115,0.210547133,0.066084766,0.3993,0.060164059,-0.146799919
2014,2,14,29.9,19.2,87,2,290,34.4,0.067429587,0.067429587,18.06845303,34.63084665,-0.41194485,-0.41194485,0.202189846,0.202189846,0.3902,0.07225429,0.07225429
2014,2,15,30,20.4,81,3,90,32.2,0.067627483,0.12615857,18.44491536,33.88688117,-0.35603626,-0.048925318,0.199643551,0.065672571,0.4089,0.072210021,-0.146909067
2014,2,16,30,22,80,2,290,32.3,0.06782538,0.126185752,17.91569558,32.70244914,-0.30012767,-0.048876986,0.197097255,0.065466782,0.18,0.072165752,-0.146963594
2014,2,17,31,23.3,80,2,90,38.3,0.068023276,0.126212919,18.25595933,32.95220282,-0.24421908,-0.048828698,0.194550959,0.065261199,0.1874,0.072121483,-0.14701809
2014,2,18,30.3,20.6,83,2,270,34.7,0.068221173,0.126240072,18.15945019,34.92209721,-0.188310489,-0.048780453,0.192004663,0.065055822,0.0739,0.072077214,-0.147072553
2014,2,19,31.2,21.7,79,2,290,37.6,0.068419069,0.126267211,21.01320844,34.24113115,-0.132401899,-0.048732253,0.189458368,0.06485065,0.1158,0.072032945,-0.147126986
2014,2,20,29.5,22,86,4,110,34.5,0.068616965,0.126294336,18.93447005,34.74938882,-0.076493309,-0.048684097,0.186912072,0.064645683,0.1654,0.071988676,-0.147181386
2014,2,21,31.3,21.9,84,3,110,33.1,0.068814862,0.126321446,18.518043,34.67610362,-0.020584719,-0.048635985,0.184365776,0.064440922,0.0237,0.071944407,-0.147235756
2014,2,22,31.4,22.2,77,2,110,33.7,0.069012758,0.126348543,18.37683355,35.76374373,0.035323871,-0.048587917,0.181819481,0.064236366,0.4006,0.071900138,-0.147290093
2014,2,23,31,22,77,3,110,33.9,0.069210655,0.126375625,18.13182486,33.78081125,0.091232462,0.091232462,0.179273185,0.064032015,0.2532,0.071855869,-0.1473444
2014,2,24,31,23,78,3,320,34.5,0.069408551,0.126402694,17.460458,35.92837867,-0.057881673,-0.048491913,0.176726889,0.063827869,0.3333,0.0718116,-0.147398675
2014,2,25,31,23.6,81,2,90,37.7,0.069606447,0.126429748,19.09025753,36.23522426,-0.206995807,-0.048443977,0.174180594,0.063623928,,0.071767331,-0.147452918
2014,2,26,29.9,21.3,82,1,140,31.7,0.069804344,0.126456788,18.2674523,35.63971308,-0.356109941,-0.048396084,0.171634298,0.063420192,0.0106,0.071723062,-0.14750713
2014,2,27,31,23.4,74,2,320,34.3,0.07000224,0.126483813,18.53867511,35.14234032,-0.505224076,-0.048348236,0.169088002,0.063216661,0.317,0.071678793,-0.147561311
2014,2,28,30.5,21.5,79,2,40,36.6,0.070200137,0.126510825,18.82217714,37.01990615,-0.65433821,-0.048300431,0.166541706,0.063013334,0.3431,0.071634524,-0.14761546
2014,3,1,30.2,21.2,80,3,290,36,0.070398033,0.126537823,19.31486465,37.10567773,-0.803452344,-0.04825267,0.163995411,0.062810212,0.3915,0.071590255,-0.147669578
2014,3,2,30.8,21.4,81,2,290,35.7,0.070595929,0.070595929,19.22092149,36.1300881,-0.952566479,-0.952566479,0.161449115,0.161449115,0.3756,0.071545986,0.071545986
2014,3,3,30.6,21.6,79,2,220,33.6,0.071405395,0.126591775,19.40361142,36.5685115,-0.833217603,-0.048157279,0.153042547,0.062404582,0.2567,0.057744485,-0.147777719
2014,3,4,30.9,21.4,79,2,250,35.5,0.072214861,0.12661873,19.49747557,37.03341854,-0.713868727,-0.048109649,0.144635979,0.062202073,0.1772,0.043942984,-0.147831743
2014,3,5,31.2,23.2,80,2,320,37.6,0.073024327,0.126645671,19.84031845,37.38298963,-0.594519851,-0.048062063,0.136229411,0.061999768,0.321,0.030141483,-0.147885735
2014,3,6,31.4,22.6,81,2,360,36.3,0.073833793,0.126672598,19.71003514,36.51450926,-0.475170975,-0.048014521,0.127822843,0.061797668,0.3125,0.016339982,-0.147939696
2014,3,7,31.6,21.4,88,2,290,35.7,0.074643259,0.126699511,19.33875081,35.70480641,-0.355822099,-0.047967022,0.119416275,0.061595771,0.0184,0.002538482,-0.147993625
2014,3,8,30.5,21.8,84,2,290,37.4,0.075452724,0.126726409,20.40931005,35.59945637,-0.236473223,-0.047919567,0.111009707,0.061394079,0.1508,-0.011263019,-0.148047523
2014,3,9,31.4,22.2,80,2,290,34.8,0.07626219,0.126753294,19.80174816,37.59905394,-0.117124347,-0.047872156,0.102603139,0.06119259,0.245,-0.02506452,-0.14810139
2014,3,10,31,23,75,2,290,34.3,0.077071656,0.126780164,20.45219765,36.42993236,0.002224528,-0.047824788,0.094196571,0.060991305,0.2727,-0.038866021,-0.148155226
2014,3,11,31.2,23.2,72,2,110,35.8,0.077881122,0.12680702,21.24443796,34.61824457,0.121573404,0.121573404,0.085790003,0.060790224,0.045,-0.052667522,-0.14820903
