YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,29.3,23.5,83,2,350,32.5,0.64204584,0.330555566,21.31612309,27.60353162,0.21167642,-0.014434937,-0.257576996,-0.010730576,0.590914879,-0.041387864,-0.049662234
2014,1,2,30,21,81,2,320,32.8,0.64204584,0.330492311,19.62986852,27.23253679,0.21167642,-0.014645928,-0.257576996,-0.010775393,0.448638396,-0.041387864,-0.049770197
2014,1,3,29.3,20.4,87,1,340,32.4,0.64204584,0.330429089,18.56297221,29.2630311,0.21167642,-0.014856724,-0.257576996,-0.010820204,0.588144461,-0.041387864,-0.049878113
2014,1,4,29.5,22,87,2,340,33.7,0.64204584,0.330365899,20.68096475,29.05323444,0.21167642,-0.015067323,-0.257576996,-0.010865007,0.608398842,-0.041387864,-0.049985982
2014,1,5,29,23,88,3,40,31.5,0.64204584,0.330302743,20.5999435,25.98095583,0.21167642,-0.015277727,-0.257576996,-0.010909802,0.157447325,-0.041387864,-0.050093805
2014,1,6,27.7,23.5,92,2,320,28.6,0.64204584,0.64204584,20.75800474,25.25309617,0.21167642,0.21167642,-0.257576996,-0.257576996,0.109907283,-0.041387864,-0.041387864
2014,1,7,27.8,24,85,2,40,29,0.617426551,0.330176527,21.09145649,25.79342702,0.200807449,-0.015697947,-0.247767642,-0.010999372,0.02512951,-0.045636079,-0.050309309
2014,1,8,29.8,24.6,76,2,60,32.6,0.592807263,0.330113469,20.82010751,26.85133557,0.189938479,-0.015907764,-0.237958287,-0.011044145,0.426248201,-0.049884295,-0.050416991
2014,1,9,29.7,23.5,77,3,60,33.3,0.568187974,0.330050443,19.57492654,25.99058601,0.179069508,-0.016117385,-0.228148932,-0.011088912,0.218764027,-0.05413251,-0.050524626
2014,1,10,27.5,23,80,4,60,26.9,0.543568686,0.329987449,19.08737572,23.78360164,0.168200537,-0.01632681,-0.218339578,-0.011133671,0.098328683,-0.058380725,-0.050632214
2014,1,11,27.2,23.5,82,4,60,28.3,0.518949397,0.329924489,19.87916029,23.80667315,0.157331566,-0.01653604,-0.208530223,-0.011178422,0.157336249,-0.062628941,-0.050739756
2014,1,12,25.5,22.4,89,2,40,25.5,0.494330109,0.329861561,19.37809953,23.18719152,0.146462596,-0.016745074,-0.198720869,-0.011223166,0.103367851,-0.066877156,-0.05084725
2014,1,13,25.5,21.5,88,3,40,25,0.46971082,0.329798666,19.47744555,21.01426602,0.135593625,-0.016953913,-0.188911514,-0.011267903,0.00928201,-0.071125371,-0.050954698
2014,1,14,28.2,23,78,3,360,27.7,0.445091532,0.329735804,20.21692636,25.9312766,0.124724654,-0.017162557,-0.17910216,-0.011312633,0.151799305,-0.075373587,-0.051062099
2014,1,15,26.2,21.5,86,3,60,26.6,0.420472243,0.420472243,18.29857469,23.86030231,0.113855683,0.113855683,-0.169292805,-0.169292805,0.146258382,-0.079621802,-0.079621802
2014,1,16,26,20.5,80,4,60,25.6,0.451425941,0.329610177,18.79398502,22.92503843,0.13522758,-0.017579258,-0.181761861,-0.01140207,0.180584713,-0.073275308,-0.05127676
2014,1,17,24.7,20.2,92,3,340,23.2,0.482379638,0.329547413,18.68023497,22.66003372,0.156599477,-0.017787316,-0.194230916,-0.011446778,0.041649291,-0.066928813,-0.05138402
2014,1,18,27,21,80,3,40,27.4,0.513333336,0.329484681,17.91795318,23.00632945,0.177971373,-0.017995179,-0.206699972,-0.011491478,0.03512191,-0.060582319,-0.051491233
2014,1,19,24.7,20.5,86,4,60,21.7,0.544287034,0.329421982,18.17920722,21.85154798,0.19934327,-0.018202847,-0.219169027,-0.011536171,0.113209006,-0.054235825,-0.051598399
2014,1,20,24.4,20.5,90,3,360,22.7,0.575240731,0.329359316,18.27584932,22.81629597,0.220715167,-0.01841032,-0.231638083,-0.011580856,0.101028294,-0.04788933,-0.051705519
2014,1,21,26.3,21.4,87,3,40,23.8,0.606194429,0.329296683,18.921208,23.83424044,0.242087063,-0.018617598,-0.244107139,-0.011625534,0.035117504,-0.041542836,-0.051812592
2014,1,22,25.5,19.8,94,3,40,22.8,0.637148126,0.637148126,17.93157664,23.45482893,0.26345896,0.26345896,-0.256576194,-0.256576194,0.18810906,-0.035196342,-0.035196342
2014,1,23,25,19.5,84,3,60,23.2,0.586099002,0.329171514,17.53456592,22.09426322,0.216823846,-0.019031568,-0.212089422,-0.011714868,0.109366018,-0.052609896,-0.052026596
2014,1,24,24.9,21,86,4,60,24,0.535049878,0.329108979,17.83378755,22.26121658,0.170188731,-0.019238262,-0.167602649,-0.011759524,0.194778408,-0.070023451,-0.052133528
2014,1,25,27,21,81,3,60,27.1,0.484000754,0.329046476,16.270987,24.80242905,0.123553617,-0.01944476,-0.123115877,-0.011804173,0.588888959,-0.087437005,-0.052240413
2014,1,26,27.5,21.4,84,3,360,25.9,0.43295163,0.328984006,18.12074796,26.2894425,0.076918502,-0.019651064,-0.078629105,-0.011848815,0.301082689,-0.10485056,-0.052347251
2014,1,27,27.4,21.7,78,3,360,27.2,0.381902506,0.328921569,18.24218777,24.37487393,0.030283387,-0.019857173,-0.034142332,-0.011893449,0.469331136,-0.122264114,-0.052454043
