YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,29.4,19,80,2,90,31.3,0.109994627,0.166469939,20.53377521,28.99200944,0.128930252,-0.009356357,-0.117115969,0.040071556,0.544409631,-0.29839153,-0.163146749
2014,1,2,29,17.8,83,2,290,31.2,0.109994627,0.166459805,18.89204555,30.38739262,0.128930252,-0.009426195,-0.117115969,0.04005344,0.560617623,-0.29839153,-0.163248787
2014,1,3,28.6,20,81,2,90,30.4,0.109994627,0.166449673,19.22087355,29.89417648,0.128930252,-0.009495987,-0.117115969,0.040035326,0.552040984,-0.29839153,-0.163350768
2014,1,4,28.6,18.8,79,2,320,29.6,0.109994627,0.166439543,20.84715638,28.25667012,0.128930252,-0.009565734,-0.117115969,0.040017215,0.541021311,-0.29839153,-0.16345269
2014,1,5,29.8,17.8,78,2,360,31.9,0.109994627,0.166429414,20.99772445,27.78227656,0.128930252,-0.009635436,-0.117115969,0.039999106,0.523756762,-0.29839153,-0.163554554
2014,1,6,30.6,18.9,75,2,360,32.9,0.109994627,0.166419288,20.66353266,28.65553596,0.128930252,0.128930252,-0.117115969,0.039981,0.522412705,-0.29839153,-0.16365636
2014,1,7,30,18.2,78,2,90,31.1,0.109994627,0.166409164,20.46176542,30.38842382,0.143143089,-0.009774702,-0.117115969,0.039962896,0.556366393,-0.29839153,-0.163758109
2014,1,8,29.2,17.9,78,2,340,30.3,0.109994627,0.166399042,21.11456794,30.52108584,0.157355925,-0.009844267,-0.117115969,0.039944794,0.540669262,-0.29839153,-0.163859799
2014,1,9,30.5,20,72,5,40,31.9,0.109994627,0.166388922,20.92277181,27.88937827,0.171568762,-0.009913786,-0.117115969,0.039926694,0.514872541,-0.29839153,-0.163961432
2014,1,10,30,16.8,69,3,90,30.9,0.109994627,0.166378804,20.05532217,27.63657696,0.185781599,-0.00998326,-0.117115969,0.039908597,0.523572131,-0.29839153,-0.164063006
2014,1,11,30,17.6,64,3,90,30.1,0.109994627,0.166368689,19.76018859,27.200183,0.199994436,-0.010052688,-0.117115969,0.039890502,0.520876844,-0.29839153,-0.164164523
2014,1,12,29.2,20,62,3,40,29.6,0.109994627,0.166358575,20.47212121,27.49765683,0.214207273,-0.010122071,-0.117115969,0.03987241,0.28776209,-0.29839153,-0.164265982
2014,1,13,28.8,17.3,62,3,40,29,0.109994627,0.109994627,19.80000855,27.06119982,0.228420109,0.228420109,-0.117115969,-0.117115969,0.161235656,-0.29839153,-0.29839153
2014,1,14,29,21.6,70,5,360,28.9,0.109100845,0.166338354,20.30004556,27.50424087,0.209442027,-0.0102607,-0.089974538,0.039836232,0.24453709,-0.28829637,-0.164468727
2014,1,15,26.5,15.4,73,5,20,26.9,0.108207062,0.166328246,19.00612583,24.64553296,0.190463945,-0.010329946,-0.062833107,0.039818146,0.404270697,-0.278201211,-0.164570013
2014,1,16,27.5,14.9,66,3,40,27.7,0.10731328,0.16631814,19.18317639,26.01297538,0.171485862,-0.010399147,-0.035691675,0.039800063,0.50530082,-0.268106052,-0.164671241
2014,1,17,28.8,18.4,68,3,40,28.9,0.106419498,0.166308037,19.79050772,26.32288723,0.15250778,-0.010468302,-0.008550244,0.039781982,0.518378074,-0.258010892,-0.164772411
