YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,31.6,22.8,65,3,120,33,0.652997132,0.230645083,21.68541882,30.26303384,0.130075656,-0.060499146,-0.010128854,0.016561317,0.646406342,-0.033680215,0.104569354
2014,1,2,31.9,21.7,64,2,130,34.1,0.652997132,0.230614299,19.56961757,30.44157105,0.130075656,-0.060576941,-0.010128854,0.016379849,0.547948279,-0.033680215,0.104486506
2014,1,3,31,22.9,72,2,120,33.1,0.652997132,0.23058353,19.48015554,32.45346074,0.130075656,-0.060654526,-0.010128854,0.016198549,0.581876646,-0.033680215,0.104403739
2014,1,4,30,23.1,75,2,300,33.7,0.652997132,0.230552775,21.00135413,33.02737974,0.130075656,-0.060731902,-0.010128854,0.016017414,0.582155257,-0.033680215,0.10432105
2014,1,5,31.4,24.2,73,3,120,33.9,0.652997132,0.230522035,22.54563154,30.49480674,0.130075656,-0.060809069,-0.010128854,0.015836447,0.347659088,-0.033680215,0.104238442
2014,1,6,30.4,24.1,74,3,110,31,0.652997132,0.652997132,22.60389277,30.15944569,0.130075656,0.130075656,-0.010128854,-0.010128854,0.076816461,-0.033680215,-0.033680215
2014,1,7,30.3,23.1,72,2,110,31.2,0.632223555,0.230460596,21.63848384,29.82228201,0.12257735,-0.060962778,-0.004681962,0.01547501,0.098440972,-0.036850305,0.104073465
2014,1,8,31.2,23.5,69,3,110,32.5,0.611449979,0.230429899,22.00403925,31.7099482,0.115079045,-0.06103932,0.000764931,0.015294541,0.558769879,-0.040020395,0.103991096
2014,1,9,31.7,23.6,64,3,110,30.9,0.590676402,0.230399215,21.8832891,30.81708709,0.10758074,-0.061115654,0.006211824,0.015114238,0.506097825,-0.043190485,0.103908806
2014,1,10,28.8,22.1,64,4,110,28.3,0.569902826,0.230368546,21.39258064,28.65056469,0.100082435,-0.06119178,0.011658716,0.014934102,0.183484348,-0.046360575,0.103826596
2014,1,11,30.2,22.2,59,3,90,30.2,0.549129249,0.230337891,21.46433812,28.49042563,0.092584129,-0.061267697,0.017105609,0.014754131,0.474380271,-0.049530665,0.103744466
2014,1,12,30.6,24.2,64,3,120,31.1,0.528355673,0.230307251,21.39388346,28.82685084,0.085085824,-0.061343407,0.022552502,0.014574326,0.144625608,-0.052700755,0.103662416
2014,1,13,29.7,24.3,63,3,20,29.9,0.507582096,0.230276625,21.0827935,25.3971297,0.077587519,-0.061418909,0.027999394,0.014394687,0.053248344,-0.055870845,0.103580444
2014,1,14,28.8,22,68,2,270,30.1,0.48680852,0.230246013,18.8169063,30.7275302,0.070089213,-0.061494204,0.033446287,0.014215214,0.176940263,-0.059040935,0.103498553
2014,1,15,29.3,21.4,67,2,240,30.1,0.466034943,0.230215415,20.32065524,28.92824947,0.062590908,-0.061569291,0.03889318,0.014035907,0.258407285,-0.062211025,0.103416741
2014,1,16,30,23.1,56,3,100,29.5,0.445261367,0.230184832,20.4031689,28.31473047,0.055092603,-0.061644171,0.044340073,0.013856765,0.50698989,-0.065381115,0.103335008
2014,1,17,29.1,22.5,65,2,140,29.8,0.424487791,0.230154263,20.31635498,28.5509318,0.047594297,-0.061718844,0.049786965,0.013677789,0.16995733,-0.068551205,0.103253354
2014,1,18,28.3,22,58,3,90,27.9,0.403714214,0.230123708,20.23351524,28.00533396,0.040095992,-0.06179331,0.055233858,0.013498978,0.043556894,-0.071721295,0.10317178
2014,1,19,28.1,20.5,63,4,80,26.7,0.382940638,0.230093167,19.7671229,26.62522893,0.032597687,-0.061867569,0.060680751,0.013320333,0.315268272,-0.074891385,0.103090286
2014,1,20,27.4,22.7,69,2,120,27.5,0.362167061,0.230062641,19.56306886,27.56574806,0.025099381,-0.061941621,0.066127643,0.013141853,0.251106612,-0.078061475,0.10300887
2014,1,21,26.8,22.7,68,2,280,27,0.341393485,0.230032129,20.59294824,29.1818377,0.017601076,-0.062015467,0.071574536,0.012963538,0.037778348,-0.081231565,0.102927534
2014,1,22,28.5,22.2,67,2,280,28.2,0.320619908,0.320619908,20.65191257,29.54377437,0.010102771,0.010102771,0.077021429,0.077021429,0.252757775,-0.084401654,-0.084401654
2014,1,23,28.7,22.2,63,3,120,28.2,0.304100858,0.229971148,19.6346174,28.36758834,0.006247381,-0.062162539,0.078365597,0.012607404,0.328962156,-0.060047331,0.102765099
2014,1,24,28.4,19.4,62,4,110,28.1,0.287581808,0.229940679,18.71473969,29.07054292,0.002391992,-0.062235766,0.079709766,0.012429584,0.464143026,-0.035693007,0.102684
2014,1,25,29.5,18.8,58,3,120,28.2,0.271062757,0.229910225,15.56121992,30.38444666,-0.001463398,-0.062308787,0.081053934,0.01225193,0.569321423,-0.011338683,0.10260298
2014,1,26,28.9,21.5,65,2,300,28.4,0.254543707,0.229879784,18.45937504,33.12497092,-0.005318787,-0.062381601,0.082398103,0.01207444,0.283005253,0.01301564,0.10252204
2014,1,27,28.8,21.2,68,2,280,29.3,0.238024657,0.229849358,19.70219778,30.11590615,-0.009174177,-0.06245421,0.083742271,0.011897115,0.438182629,0.037369964,0.102441178
2014,1,28,30.2,21.5,62,2,120,30.1,0.221505607,0.229818946,19.89065748,31.11028227,-0.013029566,-0.062526614,0.08508644,0.011719955,0.481473435,0.061724288,0.102360395
2014,1,29,30.7,22.8,65,3,120,29.9,0.204986556,0.229788549,19.51897718,31.11161397,-0.016884956,-0.062598812,0.086430608,0.01154296,0.451942572,0.086078611,0.102279691
2014,1,30,28.2,20.6,71,2,90,27.7,0.188467506,0.229758166,18.9139702,30.0961455,-0.020740345,-0.062670804,0.087774777,0.011366129,0.132141148,0.110432935,0.102199067
2014,1,31,30.1,23.1,58,3,80,30.5,0.171948456,0.229727797,21.64184968,31.16373871,-0.024595735,-0.062742592,0.089118945,0.011189462,0.233441127,0.134787259,0.102118521
2014,2,1,31,24.5,72,3,140,34,0.155429405,0.229697442,22.41916684,30.43203536,-0.028451124,-0.062814174,0.090463114,0.01101296,0.06949716,0.159141583,0.102038054
2014,2,2,32.5,23.8,73,3,110,35,0.138910355,0.229667101,21.27055496,34.1909209,-0.032306514,-0.062885551,0.091807282,0.010836623,0.406557064,0.183495906,0.101957665
2014,2,3,29.8,23.2,81,2,270,33,0.122391305,0.229636775,21.52070054,32.2786019,-0.036161903,-0.062956724,0.093151451,0.01066045,0.305718752,0.20785023,0.101877356
2014,2,4,32.7,23.2,74,2,130,36.4,0.105872254,0.229606464,21.27748906,34.80000061,-0.040017293,-0.063027692,0.094495619,0.01048444,0.434522477,0.232204554,0.101797125
2014,2,5,32.9,23.6,71,3,130,34,0.089353204,0.229576166,22.78925766,34.25196147,-0.043872682,-0.063098455,0.095839788,0.010308595,0.372178358,0.256558877,0.101716973
2014,2,6,32.6,22.7,69,3,130,34.4,0.072834154,0.229545883,21.44784352,33.28366453,-0.047728072,-0.063169014,0.097183956,0.010132915,0.314805175,0.280913201,0.101636899
2014,2,7,32.7,24,66,3,120,34.5,0.056315104,0.056315104,21.93686064,36.8512354,-0.051583461,-0.051583461,0.098528125,0.098528125,0.577888792,0.305267525,0.305267525
2014,2,8,34.2,24.7,66,3,120,35.9,0.096038379,0.229485359,23.12124984,36.90326025,-0.038345673,-0.063309519,0.083103964,0.009782045,0.534559165,0.284352237,0.101476988
2014,2,9,32.7,24.4,66,3,130,34.1,0.135761654,0.229455119,21.24662685,35.63516581,-0.025107885,-0.063379466,0.067679804,0.009606855,0.312086992,0.263436949,0.10139715
2014,2,10,32.7,25.2,70,3,300,34.8,0.175484929,0.229424893,23.70939494,37.34675878,-0.011870097,-0.063449209,0.052255643,0.00943183,0.308999223,0.242521661,0.101317391
2014,2,11,30,22.8,73,2,120,31.4,0.215208205,0.229394681,22.43358661,33.53376368,0.001367692,-0.063518748,0.036831482,0.009256968,0.114201187,0.221606374,0.10123771
2014,2,12,30.9,21.6,65,3,110,31.2,0.25493148,0.229364484,20.38434313,32.3903185,0.01460548,-0.063588083,0.021407322,0.00908227,0.377881306,0.200691086,0.101158108
2014,2,13,31,21.4,63,3,120,31.5,0.294654755,0.229334301,18.50078384,35.33025684,0.027843268,-0.063657215,0.005983161,0.008907735,0.435230356,0.179775798,0.101078584
2014,2,14,30.9,22.2,63,3,120,31.3,0.334378031,0.229304132,21.11434081,35.60320418,0.041081056,-0.063726144,-0.009440999,0.008733364,0.508163832,0.15886051,0.100999138
2014,2,15,29.6,22.6,63,3,120,29.2,0.374101306,0.229273977,21.48988747,32.17503268,0.054318845,-0.063794869,-0.02486516,0.008559157,0.279882334,0.137945223,0.100919771
2014,2,16,30.5,22.2,66,4,110,31.7,0.413824581,0.229243837,21.61901363,31.96055502,0.067556633,-0.063863392,-0.04028932,0.008385112,0.244173694,0.117029935,0.100840482
2014,2,17,31.4,24.8,64,4,110,31.6,0.453547856,0.229213711,20.27595267,32.30186592,0.080794421,-0.063931711,-0.055713481,0.008211231,0.402445573,0.096114647,0.100761272
2014,2,18,32.2,21.9,62,3,130,33.5,0.493271132,0.229183599,19.68003982,32.63515578,0.094032209,-0.063999828,-0.071137641,0.008037513,0.326980383,0.075199359,0.100682139
2014,2,19,31.2,23.4,68,3,130,31.9,0.532994407,0.229153502,21.4009104,33.85943485,0.107269997,-0.064067743,-0.086561802,0.007863958,0.140412972,0.054284072,0.100603085
2014,2,20,32.3,23.2,61,3,120,31.6,0.572717682,0.229123419,21.6543183,32.99744178,0.120507786,-0.064135454,-0.101985962,0.007690566,0.470336047,0.033368784,0.100524109
2014,2,21,29.3,22,61,3,100,29.7,0.612440958,0.22909335,20.95790401,29.83099038,0.133745574,-0.064202964,-0.117410123,0.007517337,0.323908543,0.012453496,0.100445211
2014,2,22,29.7,22.8,62,3,120,29.4,0.652164233,0.229063295,21.26059248,30.08502537,0.146983362,-0.064270271,-0.132834283,0.007344271,0.303928763,-0.008461792,0.100366391
2014,2,23,29.2,21.1,66,3,120,30.2,0.691887508,0.691887508,21.27600497,30.33757415,0.16022115,0.16022115,-0.148258444,-0.148258444,0.225035524,-0.02937708,-0.02937708
2014,2,24,30.7,21.8,61,3,120,30.5,0.685887174,0.229003229,20.41800715,32.05808462,0.16656434,-0.064404279,-0.149289878,0.006998627,0.431328154,-0.028160062,0.100208985
2014,2,25,30.8,21.8,70,2,140,31.6,0.679886839,0.228973217,21.75586495,34.32293448,0.17290753,-0.064470981,-0.150321313,0.006826049,0.213690462,-0.026943045,0.100130399
2014,2,26,29,21.3,75,2,120,30.6,0.673886505,0.22894322,20.46883044,33.07570599,0.17925072,-0.064537481,-0.151352747,0.006653633,0.082337474,-0.025726028,0.100051891
2014,2,27,32.4,22.2,61,3,110,33.9,0.66788617,0.228913237,21.17088028,34.03104143,0.18559391,-0.064603779,-0.152384181,0.006481381,0.417718347,-0.024509011,0.099973461
2014,2,28,31.7,21.7,63,3,130,32.7,0.661885835,0.228883268,19.62663602,33.89431706,0.1919371,-0.064669876,-0.153415616,0.00630929,0.399535298,-0.023291993,0.099895109
2014,3,1,32.1,21.7,60,3,130,33.2,0.655885501,0.228853314,18.9849174,37.67387057,0.19828029,-0.064735771,-0.15444705,0.006137362,0.530148508,-0.022074976,0.099816834
2014,3,2,32.9,23.7,66,2,140,33.1,0.649885166,0.228823373,20.85333761,38.1061098,0.20462348,-0.064801466,-0.155478484,0.005965596,0.434433705,-0.020857959,0.099738637
2014,3,3,32.2,22.7,64,3,120,33.9,0.643884832,0.228793447,21.23079342,37.05899824,0.21096667,-0.064866959,-0.156509919,0.005793992,0.439987627,-0.019640942,0.099660519
2014,3,4,33,24.3,61,3,120,34.1,0.637884497,0.228763536,20.63171078,36.2567655,0.21730986,-0.064932252,-0.157541353,0.005622551,0.336647667,-0.018423924,0.099582477
2014,3,5,31.8,23.4,68,3,120,33.4,0.631884163,0.228733639,22.28673319,35.17857266,0.22365305,-0.064997344,-0.158572788,0.005451271,0.335815492,-0.017206907,0.099504514
2014,3,6,32.7,23.4,60,3,120,33.1,0.625883828,0.228703755,22.11926705,35.50359389,0.22999624,-0.065062235,-0.159604222,0.005280153,0.447050083,-0.01598989,0.099426628
2014,3,7,29.5,22.3,73,3,130,30.7,0.619883493,0.228673887,22.08956708,33.55861486,0.23633943,-0.065126926,-0.160635656,0.005109198,0.095681276,-0.014772873,0.09934882
2014,3,8,31.3,22.3,65,3,120,33.6,0.613883159,0.228644032,20.48491752,34.05323044,0.24268262,-0.065191417,-0.161667091,0.004938404,0.411734441,-0.013555855,0.099271089
2014,3,9,32.8,24.3,66,3,120,33.9,0.607882824,0.228614192,22.53624261,37.50450851,0.24902581,-0.065255707,-0.162698525,0.004767772,0.454547862,-0.012338838,0.099193436
2014,3,10,32.4,23.1,69,3,110,32.5,0.60188249,0.228584366,23.09316442,32.99273451,0.255369,-0.065319798,-0.16372996,0.004597301,0.124105643,-0.011121821,0.09911586
2014,3,11,30.3,23.8,73,4,100,32.4,0.595882155,0.595882155,22.94079819,31.95889868,0.26171219,0.26171219,-0.164761394,-0.164761394,0.102878476,-0.009904803,-0.009904803
2014,3,12,32.5,23.3,61,4,110,33.4,0.589002759,0.228524757,21.6363482,34.374878,0.25177857,-0.065447379,-0.153217566,0.004256845,0.335190915,-0.012175989,0.098960941
2014,3,13,33.7,22.3,61,3,130,36.2,0.582123363,0.228494974,23.13761906,37.40488773,0.241844951,-0.065510871,-0.141673738,0.004086859,0.405183986,-0.014447174,0.098883598
2014,3,14,34,26.3,61,4,120,37.1,0.575243967,0.228465206,23.4460384,36.16253372,0.231911332,-0.065574162,-0.13012991,0.003917035,0.41929127,-0.016718359,0.098806332
2014,3,15,32.9,25.6,63,4,110,34.7,0.568364571,0.228435451,23.36717013,33.62568224,0.221977712,-0.065637255,-0.118586082,0.003747371,0.23059804,-0.018989544,0.098729143
2014,3,16,32.7,26,60,5,110,33.3,0.561485175,0.228405711,22.83689001,34.73250113,0.212044093,-0.065700148,-0.107042254,0.003577869,0.394620401,-0.021260729,0.098652032
2014,3,17,32.2,22.6,60,4,100,32.2,0.554605779,0.228375985,21.94574863,34.33344132,0.202110473,-0.065762842,-0.095498426,0.003408529,,-0.023531915,0.098574998
2014,3,18,32.9,23,60,4,120,34.1,0.547726383,0.228346274,22.05313302,36.22011155,0.192176854,-0.065825338,-0.083954597,0.003239349,0.423642765,-0.0258031,0.098498041
2014,3,19,33,22.6,58,3,110,33.5,0.540846987,0.228316577,20.96595306,37.40028702,0.182243234,-0.065887634,-0.072410769,0.00307033,0.540965999,-0.028074285,0.098421161
2014,3,20,33.6,21.9,58,2,120,34.3,0.533967591,0.228286894,21.9801086,40.38711057,0.172309615,-0.065949732,-0.060866941,0.002901472,0.522983447,-0.03034547,0.098344358
2014,3,21,33.9,25,66,3,110,33.5,0.527088195,0.228257225,23.23740052,35.13806847,0.162375995,-0.066011631,-0.049323113,0.002732775,0.113653027,-0.032616655,0.098267633
2014,3,22,32.8,24.2,60,3,100,33.1,0.520208799,0.228227571,22.68238683,32.20108653,0.152442376,-0.066073332,-0.037779285,0.002564239,0.187593219,-0.034887841,0.098190984
2014,3,23,32.9,26.1,52,4,100,32.7,0.513329403,0.228197931,23.82724733,32.08833924,0.142508757,-0.066134835,-0.026235457,0.002395863,0.117178123,-0.037159026,0.098114413
2014,3,24,30.3,24.5,86,2,80,31.4,0.506450007,0.228168305,23.09555672,28.40881698,0.132575137,-0.066196139,-0.014691629,0.002227648,-0.012215872,-0.039430211,0.098037918
2014,3,25,32.4,25.2,76,4,110,36.1,0.499570611,0.228138693,23.93193764,31.03078802,0.122641518,-0.066257246,-0.003147801,0.002059594,0.2134605,-0.041701396,0.097961501
2014,3,26,33.4,25.4,69,3,120,38.9,0.492691215,0.228109096,23.95399227,32.63793925,0.112707898,-0.066318155,0.008396027,0.0018917,0.439077601,-0.043972581,0.09788516
2014,3,27,32.5,26.4,68,4,110,35.8,0.485811819,0.485811819,23.71705534,34.25995747,0.102774279,0.102774279,0.019939855,0.019939855,0.161282805,-0.046243766,-0.046243766
2014,3,28,33.6,25.3,63,4,120,37,0.474882336,0.228049945,24.37849451,35.53823798,0.094934856,-0.06643938,0.023461019,0.001556393,0.442718914,-0.048249393,0.09773271
2014,3,29,35,26.9,67,3,130,39.4,0.463952852,0.22802039,23.52340764,36.41532011,0.087095433,-0.066499696,0.026982183,0.001388981,0.366009625,-0.050255019,0.0976566
2014,3,30,34.3,25.2,59,4,120,36.5,0.453023369,0.22799085,24.33330407,36.78255363,0.079256011,-0.066559815,0.030503347,0.001221728,0.47644191,-0.052260646,0.097580566
2014,3,31,34.3,24.6,60,4,120,37.1,0.442093885,0.227961325,22.83036472,37.42100118,0.071416588,-0.066619736,0.03402451,0.001054635,0.394465031,-0.054266272,0.09750461
2014,4,1,35.5,26,62,2,120,38.7,0.431164402,0.227931813,23.5018949,38.58824027,0.063577165,-0.066679461,0.037545674,0.000887703,0.388289496,-0.056271899,0.09742873
2014,4,2,35.2,24.7,64,3,110,38.3,0.420234918,0.227902316,24.03050961,39.17454474,0.055737743,-0.066738989,0.041066838,0.00072093,0.304737138,-0.058277525,0.097352927
2014,4,3,35.7,26.7,57,3,120,36.3,0.409305435,0.227872833,23.47921755,39.08177381,0.04789832,-0.06679832,0.044588002,0.000554317,0.458778903,-0.060283152,0.0972772
2014,4,4,36.2,25.9,56,3,110,36.4,0.398375951,0.227843365,23.70701317,39.42330523,0.040058897,-0.066857454,0.048109166,0.000387864,0.426181437,-0.062288778,0.09720155
2014,4,5,34.6,24.8,56,3,120,35.2,0.387446468,0.22781391,23.95595039,38.77966546,0.032219475,-0.066916392,0.05163033,0.000221571,0.395892521,-0.064294404,0.097125977
2014,4,6,33.9,25.3,62,4,120,35.8,0.376516985,0.22778447,23.04029684,37.76779934,0.024380052,-0.066975134,0.055151494,5.54E-05,0.20979368,-0.066300031,0.09705048
2014,4,7,33.9,25.8,59,4,120,35.3,0.365587501,0.227755045,23.97619107,38.508365,0.016540629,-0.067033679,0.058672657,-0.000110537,0.502365224,-0.068305657,0.09697506
2014,4,8,33.8,26,61,3,120,35.5,0.354658018,0.227725633,23.96013397,39.46262764,0.008701207,-0.067092029,0.062193821,-0.000276351,0.115950206,-0.070311284,0.096899716
2014,4,9,34.7,26.4,61,3,120,35.7,0.343728534,0.227696236,24.33694159,40.73511427,0.000861784,-0.067150182,0.065714985,-0.000442006,0.33106042,-0.07231691,0.096824449
2014,4,10,34.4,25.3,61,4,120,37.1,0.332799051,0.227666853,24.36570802,40.36870862,-0.006977639,-0.06720814,0.069236149,-0.000607502,0.436455466,-0.074322537,0.096749257
2014,4,11,33.8,26.5,65,3,130,35.7,0.321869567,0.227637485,24.19949458,38.17961277,-0.014817061,-0.067265902,0.072757313,-0.000772838,0.175203436,-0.076328163,0.096674143
2014,4,12,33.8,25,61,3,130,35.7,0.310940084,0.310940084,23.43958932,40.17731626,-0.022656484,-0.022656484,0.076278477,0.076278477,0.183842459,-0.07833379,-0.07833379
2014,4,13,34.6,27.1,57,2,140,36.9,0.297932071,0.227578791,23.76182321,38.89590514,-0.073589273,-0.06738084,0.078396905,-0.001103034,0.280129596,-0.050626295,0.096524142
2014,4,14,33.8,26.5,57,3,140,35.7,0.284924058,0.227549465,24.8412973,41.98677104,-0.124522062,-0.067438016,0.080515334,-0.001267893,0.210713739,-0.0229188,0.096449256
2014,4,15,33.8,25.7,59,3,110,35.2,0.271916046,0.227520154,24.71026362,35.00084745,-0.175454852,-0.067494997,0.082633762,-0.001432593,0.183375803,0.004788694,0.096374446
2014,4,16,32.1,25.2,61,3,120,33.7,0.258908033,0.227490857,23.50168432,32.91857364,-0.226387641,-0.067551783,0.084752191,-0.001597134,0.068988681,0.032496189,0.096299713
2014,4,17,34.8,26.4,58,3,130,35.6,0.24590002,0.227461574,24.7399336,39.6512182,-0.27732043,-0.067608374,0.086870619,-0.001761516,0.278291878,0.060203683,0.096225055
2014,4,18,34.9,26.6,61,3,130,36.9,0.232892007,0.227432306,25.10992546,40.30862083,-0.328253219,-0.06766477,0.088989048,-0.00192574,0.370459624,0.087911178,0.096150474
2014,4,19,36.1,27.3,61,3,130,39.2,0.219883995,0.227403051,25.78383422,38.86563639,-0.379186009,-0.067720972,0.091107476,-0.002089805,0.287507466,0.115618672,0.096075969
2014,4,20,34.2,25.7,64,3,130,37.4,0.206875982,0.227373811,24.57646206,40.68728578,-0.430118798,-0.06777698,0.093225905,-0.002253711,0.377282118,0.143326167,0.096001539
