YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,30.5,23.3,67,3,250,32.3,0.321631032,0.301642533,21.32570404,30.64855944,-0.006647136,-0.030617124,0.006171374,-0.103744316,,-0.065407406,-0.058804277
2014,1,2,30.5,23.3,65,3,250,32.4,0.321631032,0.301609314,19.43253933,30.67776868,-0.006647136,-0.030768004,0.006171374,-0.103719594,0.0292,-0.065407406,-0.058801358
2014,1,3,30,23,69,2,250,32.5,0.321631032,0.301576109,19.50550632,32.79797623,-0.006647136,-0.030918636,0.006171374,-0.103694871,,-0.065407406,-0.05879845
2014,1,4,30.5,22.8,74,3,320,33.2,0.321631032,0.301542918,21.15338377,33.28502073,-0.006647136,-0.031069021,0.006171374,-0.103670148,,-0.065407406,-0.058795553
2014,1,5,29.6,24,71,2,140,32.4,0.321631032,0.301509741,22.60130869,30.79474737,-0.006647136,-0.031219159,0.006171374,-0.103645424,,-0.065407406,-0.058792667
2014,1,6,30.5,23.8,77,2,290,32,0.321631032,0.321631032,22.58228077,30.36416468,-0.006647136,-0.006647136,0.006171374,0.006171374,,-0.065407406,-0.065407406
2014,1,7,29.9,23.2,72,2,90,31.4,0.307613209,0.301443429,21.55459325,30.14950169,-0.020494993,-0.031518694,0.004857622,-0.103595975,-0.0013,-0.066062611,-0.058786928
2014,1,8,30.3,23.5,67,2,270,32.9,0.293595387,0.301410294,21.80242282,31.96996454,-0.03434285,-0.031668091,0.00354387,-0.103571249,,-0.066717817,-0.058784075
2014,1,9,31,24.8,66,2,290,33.2,0.279577565,0.301377173,21.97756794,31.04101206,-0.048190707,-0.031817242,0.002230118,-0.103546523,0.0154,-0.067373023,-0.058781233
2014,1,10,28.5,22,67,2,90,28.7,0.265559742,0.301344066,21.50302379,28.79716498,-0.062038564,-0.031966145,0.000916366,-0.103521797,,-0.068028229,-0.058778402
2014,1,11,30.2,22.5,62,2,40,29.9,0.25154192,0.301310973,21.52509718,28.63120352,-0.075886422,-0.032114803,-0.000397386,-0.103497071,,-0.068683434,-0.058775583
2014,1,12,29.5,23,66,2,20,29.9,0.237524098,0.301277894,21.36192572,29.07774916,-0.089734279,-0.032263214,-0.001711138,-0.103472343,,-0.06933864,-0.058772774
2014,1,13,30,22.4,68,3,20,30.5,0.223506275,0.30124483,21.07983457,26.0050286,-0.103582136,-0.032411379,-0.00302489,-0.103447616,0.0407,-0.069993846,-0.058769976
2014,1,14,30.2,22.8,65,3,340,31.2,0.209488453,0.301211779,18.97274212,31.0821492,-0.117429993,-0.032559299,-0.004338642,-0.103422888,0.0168,-0.070649051,-0.058767189
2014,1,15,29.8,22,64,4,40,30.2,0.195470631,0.301178742,20.41913197,29.16785509,-0.13127785,-0.032706972,-0.005652394,-0.103398159,,-0.071304257,-0.058764413
2014,1,16,29.5,22.2,59,3,70,28.4,0.181452808,0.301145719,20.52454823,28.48342553,-0.145125708,-0.0328544,-0.006966146,-0.103373431,,-0.071959463,-0.058761648
2014,1,17,29,21.6,69,3,320,28.2,0.167434986,0.301112711,20.37808001,28.9125676,-0.158973565,-0.033001582,-0.008279898,-0.103348702,,-0.072614668,-0.058758894
2014,1,18,28.6,21.7,58,3,40,28.3,0.153417164,0.301079716,20.27945519,28.24046332,-0.172821422,-0.033148519,-0.00959365,-0.103323972,0.0162,-0.073269874,-0.058756151
2014,1,19,27.2,21,63,3,20,26.4,0.139399341,0.301046735,19.7088373,26.82155235,-0.186669279,-0.03329521,-0.010907402,-0.103299242,0.036,-0.07392508,-0.058753418
2014,1,20,28.3,22,63,3,320,28.5,0.125381519,0.301013769,19.51600648,27.89178301,-0.200517136,-0.033441656,-0.012221154,-0.103274512,,-0.074580286,-0.058750697
2014,1,21,27.5,22.4,66,2,290,27.7,0.111363696,0.300980816,20.79743817,29.46016136,-0.214364993,-0.033587857,-0.013534906,-0.103249782,-0.0014,-0.075235491,-0.058747987
2014,1,22,28,21.1,66,2,220,27.9,0.097345874,0.097345874,20.81451127,29.6621222,-0.228212851,-0.228212851,-0.014848658,-0.014848658,,-0.075890697,-0.075890697
2014,1,23,28.5,21.6,64,3,250,27.4,0.096391748,0.300914953,19.67587852,28.40923953,-0.223277457,-0.033879525,-0.012086548,-0.10320032,0.0204,-0.07485166,-0.058742599
2014,1,24,27.9,20,63,2,90,27.1,0.095437622,0.300882042,18.48139807,29.23405738,-0.218342062,-0.034024992,-0.009324438,-0.103175589,0.0066,-0.073812622,-0.058739921
2014,1,25,28.4,20,62,2,250,28.2,0.094483495,0.300849146,15.70253128,30.66701663,-0.213406668,-0.034170215,-0.006562328,-0.103150857,0.0114,-0.072773585,-0.058737254
2014,1,26,28.9,20,70,3,270,28.1,0.093529369,0.300816263,18.35836855,33.35815623,-0.208471274,-0.034315193,-0.003800218,-0.103126125,0.0702,-0.071734548,-0.058734598
2014,1,27,28,20.6,70,3,250,28.5,0.092575243,0.300783395,19.69767715,30.47702151,-0.20353588,-0.034459927,-0.001038107,-0.103101393,,-0.070695511,-0.058731953
2014,1,28,30,21.8,64,3,250,30.2,0.091621117,0.300750541,19.83546859,31.38742634,-0.198600486,-0.034604417,0.001724003,-0.103076661,,-0.069656473,-0.058729319
2014,1,29,29,21,68,2,250,30.7,0.09066699,0.3007177,19.50715994,31.30504885,-0.193665092,-0.034748663,0.004486113,-0.103051928,0.0141,-0.068617436,-0.058726696
2014,1,30,26.5,21.5,71,2,90,26.8,0.089712864,0.300684874,18.77042278,30.23856927,-0.188729698,-0.034892665,0.007248223,-0.103027196,,-0.067578399,-0.058724083
2014,1,31,28.2,19.8,63,3,40,28.2,0.088758738,0.300652061,21.60030735,31.45087455,-0.183794304,-0.035036424,0.010010333,-0.103002463,,-0.066539362,-0.058721482
2014,2,1,30,20.5,72,4,360,32.5,0.087804612,0.300619263,22.51190927,30.72852258,-0.17885891,-0.035179939,0.012772444,-0.10297773,,-0.065500324,-0.058718891
2014,2,2,32.6,23,75,3,140,34.9,0.086850485,0.300586479,21.35970429,34.2957322,-0.173923516,-0.035323211,0.015534554,-0.102952997,,-0.064461287,-0.058716311
2014,2,3,29.5,23,79,3,250,31.6,0.085896359,0.300553709,21.7633055,32.56232083,-0.168988122,-0.035466239,0.018296664,-0.102928263,,-0.06342225,-0.058713742
2014,2,4,32.4,24.3,74,2,250,34.8,0.084942233,0.300520952,21.281787,34.8225598,-0.164052728,-0.035609025,0.021058774,-0.10290353,0.118,-0.062383213,-0.058711183
2014,2,5,31.5,24,72,3,320,35,0.083988107,0.30048821,22.6479152,34.45077662,-0.159117334,-0.035751567,0.023820884,-0.102878796,0.03,-0.061344175,-0.058708635
2014,2,6,31,24.4,71,3,270,34.1,0.08303398,0.300455482,21.43772971,33.67975021,-0.15418194,-0.035893867,0.026582995,-0.102854063,,-0.060305138,-0.058706099
2014,2,7,33,23.9,68,3,180,36.5,0.082079854,0.082079854,21.88253074,37.26335859,-0.149246546,-0.149246546,0.029345105,0.029345105,0.1347,-0.059266101,-0.059266101
2014,2,8,32.8,25,67,2,290,34.5,0.104581159,0.300390068,22.91819131,37.37064692,-0.128931704,-0.036177738,0.023245973,-0.102804595,0.0335,-0.057500561,-0.058701057
2014,2,9,32.6,24,66,3,270,34.9,0.127082465,0.300357382,21.29630329,36.17607003,-0.108616862,-0.03631931,0.017146841,-0.102779861,0.0713,-0.055735021,-0.058698553
2014,2,10,31.6,23.8,72,3,250,34.6,0.14958377,0.30032471,23.91799556,37.5732931,-0.088302021,-0.036460639,0.011047709,-0.102755128,0.0334,-0.053969482,-0.058696059
2014,2,11,29.5,23,79,2,250,31.1,0.172085075,0.300292052,22.46050828,33.82866517,-0.067987179,-0.036601727,0.004948576,-0.102730394,,-0.052203942,-0.058693576
2014,2,12,29.8,22,68,2,250,31.3,0.19458638,0.300259408,20.11012098,32.87802782,-0.047672338,-0.036742572,-0.001150556,-0.10270566,,-0.050438402,-0.058691104
2014,2,13,29.8,21.6,68,3,250,30.7,0.217087686,0.300226778,18.71235156,35.78127175,-0.027357496,-0.036883176,-0.007249688,-0.102680926,,-0.048672863,-0.058688642
2014,2,14,30,22,65,2,250,30.8,0.239588991,0.300194162,21.03059075,35.81633105,-0.007042654,-0.037023538,-0.01334882,-0.102656192,,-0.046907323,-0.058686191
2014,2,15,29,22,67,2,290,29.5,0.262090296,0.30016156,21.2870593,32.42196608,0.013272187,-0.037163658,-0.019447952,-0.102631458,,-0.045141783,-0.058683751
2014,2,16,30,23,69,2,250,31,0.284591601,0.300128972,21.44355273,32.09315795,0.033587029,-0.037303537,-0.025547084,-0.102606724,,-0.043376244,-0.058681322
