YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,31.6,25.9,78,4,90,37.9,0.070319616,0.117694324,23.67139467,28.50262302,-0.619931384,-0.437421281,0.474133435,0.47940077,0.2686,0.008283465,-0.139938067
2014,1,2,31.4,26.4,79,5,90,39.1,0.070319616,0.117738341,23.88136625,27.33986322,-0.619931384,-0.437257403,0.474133435,0.479097935,0.415882993,0.008283465,-0.139968269
2014,1,3,31.6,24.9,80,4,90,38.4,0.070319616,0.117782339,24.08022582,28.16424334,-0.619931384,-0.437093749,0.474133435,0.478795316,0.565861765,0.008283465,-0.139998455
2014,1,4,32,24.2,84,3,320,37.1,0.070319616,0.117826319,23.91100881,28.96092272,-0.619931384,-0.436930319,0.474133435,0.478492914,0.298443277,0.008283465,-0.140028624
2014,1,5,31.8,25.7,80,5,90,38.2,0.070319616,0.11787028,23.54862849,30.26210762,-0.619931384,-0.436767112,0.474133435,0.478190729,0.575603782,0.008283465,-0.140058777
2014,1,6,31.6,26.2,78,5,90,37.4,0.070319616,0.117914222,23.99421685,28.46431962,-0.619931384,-0.619931384,0.474133435,0.619931384,0.160214118,0.008283465,-0.140088914
2014,1,7,28.8,25.4,82,4,90,33.3,0.070319616,0.117958146,24.09282134,28.09417037,-0.577742844,-0.436441368,0.474133435,0.477587007,-0.005390217,0.008283465,-0.140119034
2014,1,8,31.2,24.8,78,5,90,36.6,0.070319616,0.118002051,23.36849848,29.49329408,-0.535554305,-0.436278831,0.474133435,0.477285471,0.621927174,0.008283465,-0.140149138
2014,1,9,28.2,25,81,5,60,30.8,0.070319616,0.118045937,23.5681402,25.31040531,-0.493365766,-0.436116517,0.474133435,0.476984151,0.00107606,0.008283465,-0.140179226
2014,1,10,30.8,24.5,72,6,90,35,0.070319616,0.118089805,23.82643725,28.65312177,-0.451177227,-0.435954426,0.474133435,0.476683047,0.513166807,0.008283465,-0.140209297
2014,1,11,31.1,23.6,72,3,90,33.8,0.070319616,0.118133654,23.93576384,28.07002801,-0.408988688,-0.435792557,0.474133435,0.47638216,0.092489844,0.008283465,-0.140239352
2014,1,12,31,24.3,78,3,340,34.6,0.070319616,0.118177484,22.63452647,24.67349753,-0.366800149,-0.435630911,0.474133435,0.476081488,0.012127731,0.008283465,-0.140269391
2014,1,13,31.8,24.5,79,5,350,34.3,0.070319616,0.118221296,22.88723265,27.77422793,-0.324611609,-0.435469488,0.474133435,0.475781032,0.050272826,0.008283465,-0.140299413
2014,1,14,29.4,25,79,6,350,32.2,0.070319616,0.118265089,23.39746131,28.70658396,-0.28242307,-0.435308286,0.474133435,0.475480793,0.008944565,0.008283465,-0.140329419
2014,1,15,31,22.8,79,4,360,33.7,0.070319616,0.118308864,22.13806135,28.87498402,-0.240234531,-0.435147307,0.474133435,0.475180768,0.022069198,0.008283465,-0.140359409
2014,1,16,30.4,22.3,78,4,90,33.1,0.070319616,0.11835262,20.53985018,27.85302706,-0.198045992,-0.43498655,0.474133435,0.47488096,0.033059204,0.008283465,-0.140389383
2014,1,17,31.3,23.9,75,4,360,34.5,0.070319616,0.118396357,22.08693255,28.77256241,-0.155857453,-0.434826014,0.474133435,0.474581367,0.294921739,0.008283465,-0.14041934
