YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,34,22.9,82,2,80,46.1,0.100441285,0.206208265,23.91897351,29.83245309,0.065932091,0.100102347,0.154645738,0.022864657,0.3966,-0.183025752,-0.245682708
2014,1,2,34.7,22.5,80,2,90,42.5,0.100441285,0.206181492,24.06938774,31.56014469,0.065932091,0.100208528,0.154645738,0.02274516,0.1795,-0.183025752,-0.245676544
2014,1,3,33.9,22.4,80,1,90,45.4,0.100441285,0.206154732,23.76716417,31.92922553,0.065932091,0.100314606,0.154645738,0.022625794,0.4783,-0.183025752,-0.245670384
2014,1,4,32.5,22.3,83,2,40,41.6,0.100441285,0.206127984,23.5974949,32.19314293,0.065932091,0.10042058,0.154645738,0.022506556,0.4695,-0.183025752,-0.245664228
2014,1,5,33.5,23.9,83,3,90,42.7,0.100441285,0.206101249,24.03908934,31.36746,0.065932091,0.100526451,0.154645738,0.022387448,0.08215,-0.183025752,-0.245658077
2014,1,6,33.3,23.4,81,4,90,44.9,0.100441285,0.100441285,23.79068835,31.210449,0.065932091,0.065932091,0.154645738,0.154645738,0.347525,-0.183025752,-0.183025752
2014,1,7,34.1,23.9,77,4,90,45.1,0.103488141,0.206047817,23.67514741,30.6438036,0.070445627,0.100737883,0.141789351,0.022149621,0.316625,-0.188378269,-0.245645789
2014,1,8,33.5,23.8,83,2,80,45.2,0.106534996,0.206021119,23.65519807,31.84212818,0.074959162,0.100843445,0.128932963,0.022030901,0.432,-0.193730787,-0.245639652
2014,1,9,34.6,22.1,69,3,60,43.9,0.109581852,0.205994434,23.26014054,31.57555603,0.079472698,0.100948904,0.116076575,0.02191231,0.4695,-0.199083304,-0.245633519
2014,1,10,33.9,23.3,67,5,90,41.9,0.112628707,0.205967762,22.10894184,30.03039906,0.083986233,0.10105426,0.103220187,0.021793848,0.4798,-0.204435822,-0.245627391
2014,1,11,32.5,22.8,80,3,40,40.1,0.115675562,0.205941102,23.06692992,29.58954868,0.088499769,0.101159512,0.090363799,0.021675516,0.4722,-0.209788339,-0.245621267
2014,1,12,29.6,24.1,80,2,30,34.2,0.118722418,0.205914454,22.03166309,27.71815981,0.093013304,0.101264663,0.077507411,0.021557312,0.0119,-0.215140857,-0.245615147
2014,1,13,32.3,24.2,78,3,40,39.9,0.121769273,0.205887819,21.47535551,24.33243135,0.09752684,0.10136971,0.064651023,0.021439237,-0.0077,-0.220493374,-0.245609033
2014,1,14,31.2,21.8,89,1,120,39.2,0.124816129,0.205861197,21.12512192,28.36356443,0.102040375,0.101474654,0.051794635,0.021321291,0.003,-0.225845892,-0.245602922
2014,1,15,30.6,22.9,83,4,60,36.3,0.127862984,0.205834587,21.63999851,30.47518884,0.106553911,0.101579496,0.038938247,0.021203474,0.014775,-0.231198409,-0.245596817
2014,1,16,32,23.1,84,3,40,38.9,0.13090984,0.20580799,22.03997556,28.58947537,0.111067446,0.101684235,0.026081859,0.021085786,0.1917,-0.236550927,-0.245590715
2014,1,17,30.3,23.2,79,2,90,36.6,0.133956695,0.205781405,21.54983339,28.88699991,0.115580982,0.101788872,0.013225471,0.020968226,0.0816,-0.241903444,-0.245584619
