YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,31,25,75,3,140,34.8,0.837753566,0.220569851,21.89059557,30.34508966,-0.041533318,-0.142839776,-0.196781587,-0.049708863,0.3548,0.001283329,0.094939991
2014,1,2,31.5,24.3,73,3,140,36.7,0.837753566,0.22052899,19.77837485,30.72265719,-0.041533318,-0.143151188,-0.196781587,-0.049664714,0.1181,0.001283329,0.094812424
2014,1,3,31.5,24.2,74,2,140,35.9,0.837753566,0.220488147,19.49312795,32.36220404,-0.041533318,-0.143462084,-0.196781587,-0.049620631,0.5151,0.001283329,0.09468495
2014,1,4,30.3,24.5,76,2,360,34.8,0.837753566,0.220447322,20.77142311,32.90715195,-0.041533318,-0.143772465,-0.196781587,-0.049576614,0.3211,0.001283329,0.09455757
2014,1,5,31,24.9,78,3,140,36.3,0.837753566,0.220406514,22.68463946,30.66668107,-0.041533318,-0.14408233,-0.196781587,-0.049532662,0.0406,0.001283329,0.094430283
2014,1,6,29.2,25,81,3,140,34.8,0.837753566,0.837753566,22.79978566,30.50593576,-0.041533318,-0.041533318,-0.196781587,-0.196781587,0.0658,0.001283329,0.001283329
2014,1,7,29.8,23.8,77,3,140,35.7,0.794414522,0.220324952,21.63952456,29.87451659,-0.054758502,-0.144700514,-0.179637716,-0.049444954,0.0214,-0.006882014,0.09417599
2014,1,8,31.1,24,72,3,140,34.6,0.751075478,0.220284197,22.21138222,31.97363737,-0.067983685,-0.145008834,-0.162493845,-0.049401198,0.2862,-0.015047357,0.094048983
2014,1,9,31.8,25,70,3,140,35.4,0.707736434,0.220243461,22.04703709,31.06433902,-0.081208869,-0.14531664,-0.145349975,-0.049357507,0.072,-0.0232127,0.093922069
2014,1,10,28,23.6,69,3,140,30.1,0.66439739,0.220202742,21.59007043,28.97320546,-0.094434053,-0.145623932,-0.128206104,-0.049313881,0.0082,-0.031378043,0.093795249
2014,1,11,30.5,23.4,65,3,110,31.2,0.621058346,0.22016204,21.63207148,28.8903486,-0.107659237,-0.14593071,-0.111062233,-0.04927032,0.3032,-0.039543386,0.093668521
2014,1,12,29.5,24.7,73,3,360,31.8,0.577719302,0.220121357,21.9088533,29.40841636,-0.12088442,-0.146236974,-0.093918363,-0.049226825,0.0296,-0.047708729,0.093541887
