YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,31,24,81,2,360,34,0.254040436,0.284983449,23.86725769,26.70006205,-0.006729538,-0.364759356,-0.061561333,-0.109820914,0.30412,-0.333278863,-0.266005774
2014,1,2,29.4,22.6,83,2,90,33.6,0.254040436,0.284962895,23.51930135,28.31384684,-0.006729538,-0.364776326,-0.061561333,-0.109942769,0.251115146,-0.333278863,-0.266012623
2014,1,3,28.6,23.6,90,2,90,32.6,0.254040436,0.284942343,23.23141886,29.25564664,-0.006729538,-0.364793206,-0.061561333,-0.110064471,0.032271897,-0.333278863,-0.266019494
2014,1,4,31,23.6,86,2,90,37.7,0.254040436,0.284921794,23.13329118,29.45545858,-0.006729538,-0.364809996,-0.061561333,-0.110186019,0.497138793,-0.333278863,-0.266026387
2014,1,5,26.2,22.4,94,2,270,25.6,0.254040436,0.284901247,22.59573771,27.58200989,-0.006729538,-0.364826695,-0.061561333,-0.110307415,-0.011425,-0.333278863,-0.2660333
2014,1,6,28.2,23.8,88,2,300,30.5,0.254040436,0.284880703,22.7730601,28.21975098,-0.006729538,-0.364843305,-0.061561333,-0.110428658,0.005987044,-0.333278863,-0.266040235
2014,1,7,30.2,23.6,84,2,40,35,0.254040436,0.284860162,22.95146332,28.49346313,-0.006729538,-0.364859825,-0.061561333,-0.110549748,0.344223723,-0.333278863,-0.266047191
2014,1,8,29.5,23.4,80,2,300,32.1,0.254040436,0.284839624,23.02553711,27.30488485,-0.006729538,-0.364876254,-0.061561333,-0.110670686,0.036512044,-0.333278863,-0.266054169
2014,1,9,29.2,22,70,2,30,31.4,0.254040436,0.284819088,22.96860752,27.02563089,-0.006729538,-0.364892595,-0.061561333,-0.110791471,0.093767883,-0.333278863,-0.266061168
2014,1,10,29.4,24,77,4,40,30,0.254040436,0.284798555,22.82468948,26.41151835,-0.006729538,-0.364908845,-0.061561333,-0.110912103,0.219669138,-0.333278863,-0.266068188
2014,1,11,25.8,23.4,78,3,20,26.2,0.254040436,0.284778024,22.81603902,23.84598185,-0.006729538,-0.364925005,-0.061561333,-0.111032583,0.017015511,-0.333278863,-0.266075229
2014,1,12,27.6,23.8,84,2,40,30,0.254040436,0.284757497,22.04582621,25.3360789,-0.006729538,-0.364941077,-0.061561333,-0.111152911,-0.004855517,-0.333278863,-0.266082292
2014,1,13,26.4,23.5,89,2,20,27.9,0.254040436,0.284736971,21.93454037,22.43451843,-0.006729538,-0.364957058,-0.061561333,-0.111273086,-0.005371034,-0.333278863,-0.266089375
2014,1,14,27.6,23,94,2,40,26.6,0.254040436,0.284716449,22.35616455,23.85591532,-0.006729538,-0.36497295,-0.061561333,-0.111393109,-0.013397628,-0.333278863,-0.26609648
2014,1,15,27.6,22.4,87,3,300,29.3,0.254040436,0.284695929,21.69327698,22.79430733,-0.006729538,-0.364988753,-0.061561333,-0.11151298,0.042483577,-0.333278863,-0.266103606
2014,1,16,25.2,21.2,86,4,320,24.5,0.254040436,0.284675412,21.08010381,22.36125399,-0.006729538,-0.365004467,-0.061561333,-0.111632699,0.086372628,-0.333278863,-0.266110754
