Station,RMSE_PAGASA_1day,RMSE_Model_1day,RMSE_PAGASA_2day,RMSE_Model_2day
Ambulong,4.333790388382297,2.4757248165331234,4.267585102689301,2.852547475762759
Baguio,2.460182920028509,2.0013808919723495,2.8149445897705094,2.378623209217729
Baler,5.943273508766024,2.2810876406470753,6.186582606562857,2.867304183203947
Basco,2.9000937016346335,2.257561785702438,3.7004259449302657,3.2806457579995514
Calapan,3.7477964540339657,1.9432301006031452,4.067340761426957,2.324945098537337
Clark,3.279995360548151,1.6280315704104265,3.5637974372729215,1.8467786044936079
Daet,3.059589344425447,2.107527405342911,3.2258803988719245,2.364326465414709
Dagupan,4.217175028071671,1.8008716985678075,4.297800246233152,1.8372549127198596
Iba,3.581064330493162,1.6753980522743401,3.389578016572975,1.7910379863997825
Infanta,4.051059979378452,2.147197711934128,4.226122181817768,2.7022710967769763
Laoag,3.3083885477084904,1.5080383321862536,3.951196846746455,1.831725249414933
Legazpi,5.96508865053116,2.828065600033495,5.680458493436261,3.057829353323922
NAIA,3.0590208720523915,1.692984795591724,3.2639166922446172,1.9403045858811454
Port Area,1.9201449220668556,1.4808099859511974,2.409401874180467,1.7254984805196398
Puerto Princesa,5.2798735986187495,1.7249699795495923,5.170663484463597,2.1124185082220057
San Jose,6.374635539453967,2.6125933505959598,5.7525325235745175,3.0161718749356834
Sangley Point,3.5729661286558176,1.85776567509186,3.771460333011374,2.149581410445291
Science Garden,1.7264250572384743,1.4860370404603842,2.2681394405413284,1.740757613249519
Sinait,2.8017463498139246,1.1295058289116,3.247791892026495,1.4185230148087524
Tanay,3.687242990306608,2.2695869691673085,4.412494611402055,2.5529975191739185
Tayabas,3.5764933031988315,2.5307980792122637,3.8059592860350624,2.841627108776905
Tuguegarao,3.0919776983278067,1.79570208239009,3.210292550667239,2.2555565444718
Virac Synop,4.5487098027424455,2.786403791225071,4.484550774846229,3.1950593188385823
