Date,Station,HI_1day_Actual,HI_1day_Model,HI_1day_PAGASA,Model_1day_RawError,PAGASA_1day_RawError,Model_1day_AbsError,PAGASA_1day_AbsError,HI_2day_Actual,HI_2day_Model,HI_2day_PAGASA,Model_2day_RawError,PAGASA_2day_RawError,Model_2day_AbsError,PAGASA_2day_AbsError
3/1/2023,Ambulong,31,33.865704,29,-2.865704,2,2.865704,2,30.5,34.38216,28,-3.88216,2.5,3.88216,2.5
3/2/2023,Ambulong,30.5,31.755863,28,-1.255863,2.5,1.255863,2.5,32.3,33.20224,29,-0.90224,3.3,0.90224,3.3
3/3/2023,Ambulong,32.3,31.320864,28,0.979136,4.3,0.979136,4.3,30.4,32.423153,30,-2.023153,0.4,2.023153,0.4
3/4/2023,Ambulong,30.4,32.999874,27,-2.599874,3.4,2.599874,3.4,31.1,34.36418,27,-3.26418,4.1,3.26418,4.1
3/5/2023,Ambulong,31.1,30.681028,27,0.418972,4.1,0.418972,4.1,32.3,32.289402,28,0.010598,4.3,0.010598,4.3
3/6/2023,Ambulong,32.3,31.907667,28,0.392333,4.3,0.392333,4.3,34.3,32.90869,28,1.39131,6.3,1.39131,6.3
3/7/2023,Ambulong,34.3,33.029716,29,1.270284,5.3,1.270284,5.3,33.2,33.983437,29,-0.783437,4.2,0.783437,4.2
3/8/2023,Ambulong,33.2,33.94548,30,-0.74548,3.2,0.74548,3.2,32.6,34.580875,30,-1.980875,2.6,1.980875,2.6
3/9/2023,Ambulong,32.6,34.076576,28,-1.476576,4.6,1.476576,4.6,30.2,34.56087,28,-4.36087,2.2,4.36087,2.2
3/10/2023,Ambulong,30.2,33.494465,28,-3.294465,2.2,3.294465,2.2,33.3,34.152863,28,-0.852863,5.3,0.852863,5.3
3/11/2023,Ambulong,33.3,31.458767,29,1.841233,4.3,1.841233,4.3,30.4,32.35824,29,-1.95824,1.4,1.95824,1.4
3/12/2023,Ambulong,30.4,33.78328,28,-3.38328,2.4,3.38328,2.4,34.1,34.329987,28,-0.229987,6.1,0.229987,6.1
3/13/2023,Ambulong,34.1,31.31491,30,2.78509,4.1,2.78509,4.1,35.6,32.83708,30,2.76292,5.6,2.76292,5.6
3/14/2023,Ambulong,35.6,34.28238,31,1.31762,4.6,1.31762,4.6,35.7,34.417694,31,1.282306,4.7,1.282306,4.7
3/15/2023,Ambulong,35.7,34.7003,32,0.9997,3.7,0.9997,3.7,33.9,34.69101,33,-0.79101,0.9,0.79101,0.9
3/16/2023,Ambulong,33.9,35.21926,31,-1.31926,2.9,1.31926,2.9,36.6,34.855984,31,1.744016,5.6,1.744016,5.6
3/17/2023,Ambulong,36.6,33.563274,32,3.036726,4.6,3.036726,4.6,34.3,34.426273,31,-0.126273,3.3,0.126273,3.3
3/18/2023,Ambulong,34.3,37.091236,30,-2.791236,4.3,2.791236,4.3,35.1,36.628414,30,-1.528414,5.1,1.528414,5.1
3/19/2023,Ambulong,35.1,34.8628,31,0.2372,4.1,0.2372,4.1,37.4,35.18593,31,2.21407,6.4,2.21407,6.4
3/20/2023,Ambulong,37.4,35.44539,32,1.95461,5.4,1.95461,5.4,40.8,35.436447,32,5.363553,8.8,5.363553,8.8
3/21/2023,Ambulong,40.8,36.719456,33,4.080544,7.8,4.080544,7.8,40.6,36.14868,34,4.45132,6.6,4.45132,6.6
3/22/2023,Ambulong,40.6,38.66957,34,1.93043,6.6,1.93043,6.6,38.9,37.760624,41,1.139376,-2.1,1.139376,2.1
3/23/2023,Ambulong,38.9,38.590855,35,0.309145,3.9,0.309145,3.9,39,37.902573,35,1.097427,4,1.097427,4
3/24/2023,Ambulong,39,38.09382,35,0.90618,4,0.90618,4,36.5,37.35482,36,-0.85482,0.5,0.85482,0.5
3/25/2023,Ambulong,36.5,37.898975,33,-1.398975,3.5,1.398975,3.5,38.1,37.512623,34,0.587377,4.1,0.587377,4.1
3/26/2023,Ambulong,38.1,37.114048,33,0.985952,5.1,0.985952,5.1,36.2,37.093597,34,-0.893597,2.2,0.893597,2.2
3/27/2023,Ambulong,36.2,37.657417,33,-1.457417,3.2,1.457417,3.2,35.1,37.79025,32,-2.69025,3.1,2.69025,3.1
3/28/2023,Ambulong,35.1,37.32726,31,-2.22726,4.1,2.22726,4.1,39,37.278183,31,1.721817,8,1.721817,8
3/29/2023,Ambulong,39,36.658726,34,2.341274,5,2.341274,5,39.1,36.97374,32,2.12626,7.1,2.12626,7.1
3/30/2023,Ambulong,39.1,38.161835,34,0.938165,5.1,0.938165,5.1,40.8,38.050472,33,2.749528,7.8,2.749528,7.8
3/31/2023,Ambulong,40.8,38.40675,33,2.39325,7.8,2.39325,7.8,37.7,38.344105,40,-0.644105,-2.3,0.644105,2.3
4/1/2023,Ambulong,37.7,39.60987,34,-1.90987,3.7,1.90987,3.7,38.9,39.199455,37,-0.299455,1.9,0.299455,1.9
4/2/2023,Ambulong,38.9,39.066673,34,-0.166673,4.9,0.166673,4.9,36,38.901424,34,-2.901424,2,2.901424,2
4/3/2023,Ambulong,36,39.252308,32,-3.252308,4,3.252308,4,34.2,39.421356,31,-5.221356,3.2,5.221356,3.2
4/4/2023,Ambulong,34.2,38.058098,31,-3.858098,3.2,3.858098,3.2,37.9,38.62276,31,-0.72276,6.9,0.72276,6.9
4/5/2023,Ambulong,37.9,37.43919,31,0.46081,6.9,0.46081,6.9,40.9,37.89713,32,3.00287,8.9,3.00287,8.9
4/6/2023,Ambulong,40.9,38.264603,31,2.635397,9.9,2.635397,9.9,36.4,38.7742,33,-2.3742,3.4,2.3742,3.4
4/7/2023,Ambulong,36.4,40.01855,33,-3.61855,3.4,3.61855,3.4,34.3,40.176888,34,-5.876888,0.3,5.876888,0.3
4/8/2023,Ambulong,34.3,38.278904,32,-3.978904,2.3,3.978904,2.3,36.1,38.769066,32,-2.669066,4.1,2.669066,4.1
4/9/2023,Ambulong,36.1,36.72838,33,-0.62838,3.1,0.62838,3.1,35.4,37.78135,32,-2.38135,3.4,2.38135,3.4
4/10/2023,Ambulong,35.4,37.86876,32,-2.46876,3.4,2.46876,3.4,29.9,38.39479,36,-8.49479,-6.1,8.49479,6.1
4/11/2023,Ambulong,29.9,37.939037,27,-8.039037,2.9,8.039037,2.9,30.1,38.475285,28,-8.375285,2.1,8.375285,2.1
4/12/2023,Ambulong,30.1,36.96619,30,-6.86619,0.1,6.86619,0.1,36,38.401707,31,-2.401707,5,2.401707,5
4/13/2023,Ambulong,36,35.745434,33,0.254566,3,0.254566,3,39.6,37.618492,31,1.981508,8.6,1.981508,8.6
4/14/2023,Ambulong,39.6,38.21189,29,1.38811,10.6,1.38811,10.6,40.4,38.572563,30,1.827437,10.4,1.827437,10.4
4/15/2023,Ambulong,40.4,38.989014,34,1.410986,6.4,1.410986,6.4,44.1,39.56784,39,4.53216,5.1,4.53216,5.1
4/16/2023,Ambulong,44.1,39.88556,35,4.21444,9.1,4.21444,9.1,39.1,39.86084,37,-0.76084,2.1,0.76084,2.1
4/17/2023,Ambulong,39.1,40.90886,35,-1.80886,4.1,1.80886,4.1,42.7,40.527977,34,2.172023,8.7,2.172023,8.7
4/18/2023,Ambulong,42.7,39.892235,36,2.807765,6.7,2.807765,6.7,41.1,40.051193,37,1.048807,4.1,1.048807,4.1
4/19/2023,Ambulong,41.1,41.110245,37,-0.010245,4.1,0.010245,4.1,41.8,40.404102,44,1.395898,-2.2,1.395898,2.2
