YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,24,12.4,73,2,90,25.1,0.131155959,0.241031289,15.22515251,28.41120429,0.264935027,0.225363869,-0.264935027,-0.231697188,0.615110837,-0.687194142,-0.540534002
2014,1,2,28.2,12,86,1,110,24.1,0.131155959,0.24105008,16.14706501,28.86142813,0.264935027,0.225439579,-0.264935027,-0.231747261,0.757040336,-0.687194142,-0.540430428
2014,1,3,22,13.4,80,1,340,24.2,0.131155959,0.241068865,14.38752505,28.55988953,0.264935027,0.225515216,-0.264935027,-0.231797281,0.664063232,-0.687194142,-0.540326944
2014,1,4,22.5,12.5,85,1,110,23.8,0.131155959,0.241087643,18.19669358,29.02926505,0.264935027,0.22559078,-0.264935027,-0.23184725,0.410968454,-0.687194142,-0.540223548
2014,1,5,22.8,12,84,2,140,23.4,0.131155959,0.241106414,16.58389103,28.16013625,0.264935027,0.22566627,-0.264935027,-0.231897166,0.585885721,-0.687194142,-0.540120241
2014,1,6,23.2,12.6,83,1,110,25.4,0.131155959,0.131155959,16.19273577,28.37476081,0.264935027,0.264935027,-0.264935027,-0.264935027,0.618195838,-0.687194142,-0.687194142
2014,1,7,24.8,12.2,85,1,110,24.3,0.135893489,0.241143937,15.15175289,29.01831458,0.259535443,0.225817032,-0.259535443,-0.231996841,0.506185019,-0.674579168,-0.539913893
2014,1,8,22.2,11.5,84,1,140,24.7,0.14063102,0.241162689,17.7655842,29.37872142,0.254135859,0.225892304,-0.254135859,-0.232046601,0.633530591,-0.661964193,-0.539810852
2014,1,9,22.6,12,85,1,140,23.5,0.14536855,0.241181433,17.34545679,28.28978792,0.248736275,0.225967502,-0.248736275,-0.232096308,0.400226534,-0.649349218,-0.5397079
2014,1,10,22,10.3,83,2,140,23.2,0.15010608,0.241200172,16.90690445,26.94267706,0.243336691,0.226042628,-0.243336691,-0.232145964,0.308352324,-0.636734244,-0.539605036
2014,1,11,19,9.6,83,2,140,25.1,0.154843611,0.241218903,15.02056418,25.44846005,0.237937107,0.22611768,-0.237937107,-0.232195567,0.271594975,-0.624119269,-0.539502261
2014,1,12,21.4,11.6,87,3,110,23.3,0.159581141,0.241237628,16.77316816,27.65630556,0.232537523,0.22619266,-0.232537523,-0.232245118,0.318176974,-0.611504294,-0.539399574
2014,1,13,23.8,12,83,1,140,24,0.164318671,0.241256346,15.48923653,26.78104306,0.227137939,0.226267567,-0.227137939,-0.232294618,0.304560185,-0.59888932,-0.539296976
2014,1,14,21.4,12.2,91,1,140,23.8,0.169056202,0.241275058,16.11593278,28.29627,0.221738355,0.226342401,-0.221738355,-0.232344065,0.055269725,-0.586274345,-0.539194466
2014,1,15,21.5,9.8,90,2,140,22.9,0.173793732,0.241293763,14.78149368,26.05642554,0.216338771,0.226417162,-0.216338771,-0.23239346,0.256668837,-0.573659371,-0.539092044
2014,1,16,18.2,10,78,1,110,27,0.178531262,0.241312462,13.05354975,26.54892049,0.210939187,0.226491851,-0.210939187,-0.232442804,0.215204816,-0.561044396,-0.538989711
2014,1,17,21,10.2,86,2,110,24,0.183268793,0.241331153,15.1037477,26.85456593,0.205539602,0.226566466,-0.205539602,-0.232492095,0.129947352,-0.548429421,-0.538887466
2014,1,18,18.3,8.1,79,2,140,31,0.188006323,0.241349839,14.21370117,23.83020536,0.200140018,0.22664101,-0.200140018,-0.232541335,0.112472396,-0.535814447,-0.53878531
2014,1,19,18.4,8.4,87,2,140,30.1,0.192743853,0.241368517,12.64221114,23.58916095,0.194740434,0.22671548,-0.194740434,-0.232590523,0.404867394,-0.523199472,-0.538683242
2014,1,20,20.5,10.5,89,2,110,22.1,0.197481384,0.241387189,13.93284833,26.10907774,0.18934085,0.226789878,-0.18934085,-0.232639659,0.332938538,-0.510584498,-0.538581262
2014,1,21,18,11.4,88,1,160,22.7,0.202218914,0.241405854,14.86224511,27.67513964,0.183941266,0.226864204,-0.183941266,-0.232688743,0.082533829,-0.497969523,-0.53847937
2014,1,22,20,9.2,89,2,110,25.3,0.206956444,0.206956444,14.91006807,27.62261212,0.178541682,0.178541682,-0.178541682,-0.178541682,0.264139743,-0.485354548,-0.485354548
2014,1,23,18.5,8.5,88,1,110,27.8,0.196509183,0.241443165,13.95741864,26.39951593,0.190304818,0.227012637,-0.190304818,-0.232786756,0.329448732,-0.516719306,-0.538275851
2014,1,24,20,9.5,90,1,110,26.7,0.186061921,0.241461811,13.64917255,26.31468302,0.202067954,0.227086745,-0.202067954,-0.232835685,0.522400336,-0.548084064,-0.538174223
2014,1,25,20.7,9.4,80,1,360,26.6,0.175614659,0.241480449,14.74615206,27.56127391,0.21383109,0.227160781,-0.21383109,-0.232884562,0.328926429,-0.579448822,-0.538072684
2014,1,26,19,9.4,88,1,110,22.7,0.165167398,0.241499082,16.2485766,27.88323169,0.225594226,0.227234744,-0.225594226,-0.232933388,0.279175811,-0.61081358,-0.537971232
