YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_min_C,skin_temperature_max_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,1,1,32,20.5,83,1,360,38.5,0.133434297,0.241356484,16.69775205,31.07720561,0.179793128,0.194507796,-0.179793128,-0.202867397,0.472413202,-0.499148911,-0.448830764
2014,1,2,32.3,20.2,82,1,360,37.7,0.133434297,0.241347267,16.69273605,30.40622652,0.179793128,0.194525787,-0.179793128,-0.202855059,0.455015313,-0.499148911,-0.448810913
2014,1,3,32.7,20.3,76,1,360,35.3,0.133434297,0.241338054,17.25366657,31.66847469,0.179793128,0.194543785,-0.179793128,-0.202842754,0.442249168,-0.499148911,-0.448791077
2014,1,4,31.8,21.2,84,1,360,38.8,0.133434297,0.241328846,19.17422948,32.78877441,0.179793128,0.194561791,-0.179793128,-0.202830484,0.449230565,-0.499148911,-0.448771257
2014,1,5,32.3,22,82,2,360,35.9,0.133434297,0.241319641,17.40153621,31.39010949,0.179793128,0.194579804,-0.179793128,-0.202818247,0.369733515,-0.499148911,-0.448751452
2014,1,6,31,21.8,81,1,360,37.7,0.133434297,0.133434297,18.08561669,30.62506949,0.179793128,0.179793128,-0.179793128,-0.179793128,0.077855658,-0.499148911,-0.499148911
2014,1,7,31.3,22,73,1,360,36.5,0.135857187,0.241301246,17.44743641,31.10043828,0.178667395,0.194615852,-0.178667395,-0.202793876,0.414625462,-0.496437183,-0.448711889
2014,1,8,31.6,22.8,80,1,360,37.1,0.138280077,0.241292055,18.01792086,31.76293574,0.177541662,0.194633886,-0.177541662,-0.202781741,0.438269024,-0.493725456,-0.448692131
2014,1,9,31.3,22.5,76,2,360,34.7,0.140702967,0.241282868,17.75296029,30.96000544,0.176415929,0.194651929,-0.176415929,-0.20276964,0.432824311,-0.491013728,-0.448672388
2014,1,10,30.2,22,81,2,40,33.1,0.143125856,0.241273685,17.76546373,29.39354659,0.175290196,0.194669978,-0.175290196,-0.202757573,0.271717948,-0.488302,-0.44865266
2014,1,11,29,20.5,84,3,40,32.2,0.145548746,0.241264507,15.28630911,28.20792602,0.174164463,0.194688035,-0.174164463,-0.202745539,0.229813736,-0.485590273,-0.448632948
2014,1,12,29.2,22.8,78,3,40,33.3,0.147971636,0.241255332,18.17310521,29.49989577,0.17303873,0.194706098,-0.17303873,-0.20273354,0.21044804,-0.482878545,-0.448613252
2014,1,13,29,21,69,2,360,30.2,0.150394526,0.241246163,16.23077876,29.41704071,0.171912997,0.194724169,-0.171912997,-0.202721574,0.162306334,-0.480166817,-0.44859357
2014,1,14,30.9,20.5,78,2,20,35.8,0.152817416,0.241236997,16.65841868,32.08436023,0.170787264,0.194742248,-0.170787264,-0.202709641,0.085968103,-0.47745509,-0.448573905
2014,1,15,31,21,86,4,40,37.4,0.155240306,0.241227836,15.30013178,29.20462755,0.169661531,0.194760333,-0.169661531,-0.202697743,0.167443424,-0.474743362,-0.448554254
2014,1,16,29,21.9,70,3,40,30,0.157663195,0.241218679,16.09748237,28.9841676,0.168535798,0.194778426,-0.168535798,-0.202685878,0.442469233,-0.472031634,-0.44853462
2014,1,17,30.2,21,66,2,360,32.1,0.160086085,0.241209526,15.01590681,30.40469572,0.167410065,0.194796526,-0.167410065,-0.202674046,0.220873504,-0.469319907,-0.448515
2014,1,18,29,21,60,3,40,28.7,0.162508975,0.241200378,15.95782954,27.5519698,0.166284332,0.194814633,-0.166284332,-0.202662249,0.088268405,-0.466608179,-0.448495396
2014,1,19,27.4,18.5,69,3,40,27.4,0.164931865,0.241191234,12.69205064,27.61826289,0.165158599,0.194832747,-0.165158599,-0.202650485,0.482800913,-0.463896451,-0.448475808
2014,1,20,29,20.5,75,1,20,30.9,0.167354755,0.241182094,14.26153498,29.86753282,0.164032866,0.194850868,-0.164032866,-0.202638754,0.252403625,-0.461184724,-0.448456235
2014,1,21,28.3,21,81,1,40,30.4,0.169777644,0.241172959,16.26678071,31.47285219,0.162907133,0.194868997,-0.162907133,-0.202627057,0.110908778,-0.458472996,-0.448436677
2014,1,22,30,20.6,79,3,40,34.5,0.172200534,0.172200534,16.3613462,31.07478121,0.1617814,0.1617814,-0.1617814,-0.1617814,0.305354376,-0.455761268,-0.455761268
2014,1,23,28.7,19.6,68,3,360,28.3,0.170238373,0.241154701,14.07502722,29.16349578,0.160903806,0.194905275,-0.160903806,-0.202603764,0.420396274,-0.461412427,-0.448397608
2014,1,24,29.2,16.2,78,1,360,32,0.168276211,0.241145578,13.14016455,29.61788503,0.160026213,0.194923425,-0.160026213,-0.202592167,0.486134377,-0.467063585,-0.448378096
2014,1,25,29,15.8,77,2,360,29.3,0.166314049,0.24113646,14.04225995,30.50999901,0.159148619,0.194941581,-0.159148619,-0.202580604,0.499561369,-0.472714744,-0.4483586
2014,1,26,30.5,19.2,80,1,360,34.1,0.164351887,0.241127346,15.40940077,32.40187379,0.158271026,0.194959745,-0.158271026,-0.202569075,0.455478642,-0.478365902,-0.44833912
2014,1,27,31.7,20.5,78,2,360,34.7,0.162389726,0.241118236,14.49230118,31.82256607,0.157393432,0.194977916,-0.157393432,-0.202557579,0.430154407,-0.484017061,-0.448319654
2014,1,28,30.6,19,67,1,360,31.2,0.160427564,0.241109131,14.06255845,31.82952505,0.156515839,0.194996094,-0.156515839,-0.202546116,0.457136171,-0.48966822,-0.448300204
2014,1,29,31,20.8,77,1,360,37,0.158465402,0.241100029,15.79685006,31.44768207,0.155638245,0.195014279,-0.155638245,-0.202534687,0.306877727,-0.495319378,-0.44828077
2014,1,30,30,19.5,72,1,360,31.2,0.15650324,0.241090933,13.98898779,30.53431439,0.154760651,0.195032472,-0.154760651,-0.202523291,0.254338876,-0.500970537,-0.44826135
2014,1,31,31,21.8,78,2,360,36.9,0.154541079,0.24108184,17.67846734,32.37865436,0.153883058,0.195050671,-0.153883058,-0.202511928,0.491413908,-0.506621695,-0.448241947
2014,2,1,29.6,23,88,2,360,34.8,0.152578917,0.241072752,21.05295923,32.77406627,0.153005464,0.195068877,-0.153005464,-0.202500599,0.079289309,-0.512272854,-0.448222558
2014,2,2,32.2,21.5,84,1,140,40,0.150616755,0.241063668,20.27563923,33.68872477,0.152127871,0.19508709,-0.152127871,-0.202489303,0.3067819,-0.517924012,-0.448203185
2014,2,3,32.8,23.1,82,1,180,37.6,0.148654594,0.241054588,22.45753881,34.70124629,0.151250277,0.19510531,-0.151250277,-0.20247804,0.454507226,-0.523575171,-0.448183827
2014,2,4,33,22.2,89,1,360,42.7,0.146692432,0.241045513,19.09547099,33.46843663,0.150372684,0.195123537,-0.150372684,-0.20246681,0.564404901,-0.52922633,-0.448164485
2014,2,5,32.5,22.5,84,1,360,40.3,0.14473027,0.241036442,19.01708667,33.8501932,0.14949509,0.195141771,-0.14949509,-0.202455614,0.503418684,-0.534877488,-0.448145158
2014,2,6,33.3,21.6,84,1,360,40.9,0.142768108,0.241027375,19.93686112,33.46118705,0.148617496,0.195160013,-0.148617496,-0.202444451,0.520516022,-0.540528647,-0.448125846
2014,2,7,33.3,22.5,79,1,360,38.2,0.140805947,0.140805947,19.66513954,36.4823892,0.147739903,0.147739903,-0.147739903,-0.147739903,0.59289385,-0.546179805,-0.546179805
2014,2,8,33.2,22.8,83,1,360,45.8,0.143679376,0.241009254,19.8555279,36.64797641,0.147342834,0.195196515,-0.147342834,-0.202422225,0.586017107,-0.54539794,-0.448087269
2014,2,9,33.5,23,79,2,140,41.2,0.146552805,0.2410002,19.61151546,36.23018784,0.146945766,0.195214777,-0.146945766,-0.202411161,0.412347272,-0.544616074,-0.448068003
2014,2,10,33,22.7,85,2,360,43.1,0.149426234,0.240991151,20.66564331,36.37157522,0.146548697,0.195233046,-0.146548697,-0.202400131,0.495879298,-0.543834208,-0.448048752
2014,2,11,32.6,22,79,1,360,37.8,0.152299664,0.240982105,18.67257763,35.54128324,0.146151629,0.195251322,-0.146151629,-0.202389133,0.436960075,-0.543052343,-0.448029517
2014,2,12,31.3,20.4,75,2,360,34.3,0.155173093,0.240973064,17.36487122,34.83296157,0.14575456,0.195269604,-0.14575456,-0.202378169,0.536029798,-0.542270477,-0.448010297
2014,2,13,32,19.5,80,1,360,37.6,0.158046522,0.240964028,17.54470097,34.14573223,0.145357492,0.195287894,-0.145357492,-0.202367238,0.575379789,-0.541488612,-0.447991093
2014,2,14,30.8,21.8,81,2,270,35.5,0.160919951,0.240954995,19.27922386,35.55293384,0.144960423,0.19530619,-0.144960423,-0.20235634,0.600376434,-0.540706746,-0.447971904
2014,2,15,30.6,20.5,85,1,360,36.3,0.163793381,0.240945967,17.42572139,32.59966618,0.144563355,0.195324494,-0.144563355,-0.202345475,0.552804137,-0.539924881,-0.44795273
2014,2,16,30.4,21.5,84,2,40,37.7,0.16666681,0.240936943,17.18095187,31.83374915,0.144166286,0.195342804,-0.144166286,-0.202334643,0.37771276,-0.539143015,-0.447933571
2014,2,17,29.6,21.8,78,1,360,30.4,0.169540239,0.240927923,17.95988638,32.1736363,0.143769218,0.195361121,-0.143769218,-0.202323844,0.351911832,-0.538361149,-0.447914428
2014,2,18,32.5,22,82,1,360,38.6,0.172413668,0.240918908,17.83178765,32.34220792,0.143372149,0.195379444,-0.143372149,-0.202313077,0.524347709,-0.537579284,-0.4478953
2014,2,19,31.6,21.7,82,1,360,37.4,0.175287098,0.240909897,21.2560569,34.3763355,0.142975081,0.195397775,-0.142975081,-0.202302344,0.506790615,-0.536797418,-0.447876187
2014,2,20,31,21.5,81,2,360,37.1,0.178160527,0.240900891,17.25232591,30.94457139,0.142578012,0.195416112,-0.142578012,-0.202291644,0.462704382,-0.536015553,-0.447857089
2014,2,21,30.6,20.8,83,3,40,37.4,0.181033956,0.240891888,16.63225332,32.51839764,0.142180944,0.195434456,-0.142180944,-0.202280976,0.653569214,-0.535233687,-0.447838007
2014,2,22,31.5,22.5,67,2,160,33.8,0.183907385,0.24088289,17.29025873,32.39078792,0.141783875,0.195452807,-0.141783875,-0.202270342,0.591651445,-0.534451821,-0.44781894
2014,2,23,29.2,20.2,78,1,40,32.2,0.186780814,0.186780814,16.51857793,31.26969464,0.141386807,0.141386807,-0.141386807,-0.141386807,0.483974434,-0.533669956,-0.533669956
2014,2,24,31.4,19,74,1,360,33.6,0.195200353,0.240864907,16.09034776,33.68846511,0.143960432,0.19548953,-0.143960432,-0.202249171,0.65077947,-0.524596883,-0.447780852
2014,2,25,32,23,80,2,360,40.3,0.203619892,0.240855921,19.30312184,34.09909987,0.146534056,0.195507901,-0.146534056,-0.202238635,0.600411243,-0.51552381,-0.447761831
2014,2,26,30.4,20,83,1,360,36.3,0.21203943,0.24084694,17.76011869,28.67297562,0.149107681,0.195526279,-0.149107681,-0.202228132,0.449504054,-0.506450737,-0.447742825
2014,2,27,31.7,20.5,76,1,360,34.1,0.220458969,0.240837964,17.66725276,33.61619098,0.151681306,0.195544664,-0.151681306,-0.202217661,0.603046286,-0.497377664,-0.447723834
2014,2,28,33,20.5,74,1,360,36.8,0.228878507,0.240828991,18.1509052,34.52923819,0.154254931,0.195563055,-0.154254931,-0.202207223,0.644380666,-0.488304592,-0.447704859
2014,3,1,32.9,21,79,1,90,38.3,0.237298046,0.240820023,19.47152733,35.04626606,0.156828556,0.195581453,-0.156828556,-0.202196818,0.595236987,-0.479231519,-0.447685898
2014,3,2,33,21.5,81,1,360,41.9,0.245717584,0.24081106,20.02721065,34.79885772,0.159402181,0.195599858,-0.159402181,-0.202186446,0.517298036,-0.470158446,-0.447666953
2014,3,3,33.5,22.2,81,1,360,42.6,0.254137123,0.2408021,21.77509695,35.11099161,0.161975805,0.19561827,-0.161975805,-0.202176106,0.602715847,-0.461085373,-0.447648024
2014,3,4,33.4,23,77,1,360,38.8,0.262556661,0.240793145,20.20344943,34.05190263,0.16454943,0.195636688,-0.16454943,-0.202165799,0.462404564,-0.4520123,-0.447629109
2014,3,5,33.5,22.2,82,1,360,42.4,0.2709762,0.240784194,21.42229532,36.34538739,0.167123055,0.195655113,-0.167123055,-0.202155525,0.485367135,-0.442939227,-0.44761021
2014,3,6,33.3,22.2,81,2,140,42,0.279395739,0.240775248,19.41115042,36.23950909,0.16969668,0.195673544,-0.16969668,-0.202145283,0.635656002,-0.433866155,-0.447591325
